# y : intensity
#y2 y3 time y5 y4 y1
1.8293 0.3032 0.47 1.1555 0.3802 2.5384
1.617 0.419 0.48 0.6253 0.3483 2.1631
0.9215 0.434 0.49 0.3976 0.3383 2.1853
0.4549 0.4927 0.5 0.3258 0.4363 1.7659
0.3062 0.5225 0.51 0.5103 0.507 1.3331
0.5073 0.5138 0.52 0.7326 0.6916 0.9996
0.8387 0.4826 0.53 1.2636 0.767 0.6963
1.6533 0.4606 0.54 1.6486 0.9547 0.4986
2.1802 0.4127 0.55 2.1739 1.3082 0.5213
2.5442 0.3928 0.56 2.0396 1.3757 0.6894
2.1004 0.2963 0.57 2.371 1.614 0.971
2.1211 0.2109 0.58 2.0953 1.9996 1.4054
1.5783 0.112 0.59 1.616 2.1289 2.0307
0.9213 0.0076 0.6 1.0495 2.2848 2.4332
0.4844 -0.105 0.61 0.6379 2.4223 2.7163
0.4202 -0.2046 0.62 0.3121 2.4036 2.6722
0.6231 -0.304 0.63 0.186 2.4741 2.2878
1.1542 -0.401 0.64 0.258 2.3351 2.042
1.787 -0.5887 0.65 0.5073 2.4486 1.9553
2.3627 -0.6695 0.66 0.9461 1.9693 1.5041
2.4951 -0.7453 0.67 1.4344 1.9585 0.9969
2.2204 -0.8834 0.68 1.7061 1.589 0.7642
1.9593 -0.8362 0.69 1.9905 1.5453 0.664
1.3126 -0.884 0.7 2.1286 1.2114 0.767
0.8076 -0.9353 0.71 1.7293 1.0072 1.0065
0.505 -1.0536 0.72 1.4053 0.8242 1.4194
0.4513 -0.9935 0.73 0.9852 0.6429 1.9678
0.838 -0.8673 0.74 0.4529 0.5355 2.307
1.3265 -0.8872 0.75 0.0947 0.3786 2.5
1.9612 -0.7757 0.76 -0.1205 0.3143 2.6343
2.4876 -0.6747 0.77 -0.1296 0.3215 2.9624
2.5371 -0.4717 0.78 0.0699 0.3693 2.7871
2.2256 -0.3294 0.79 0.4654 0.4754 2.0733
1.6599 -0.17 0.8 0.9153 0.5989 1.6719
1.223 0.0108 0.81 1.2532 0.7441 1.3156
0.6794 0.2098 0.82 1.4241 0.9917 1.03
0.3763 0.4269 0.83 1.5861 1.1277 0.8477
0.439 0.6756 0.84 1.5948 1.4076 0.8262
0.8162 0.9122 0.85 1.109 1.5757 0.863
1.3722 1.1757 0.86 0.7032 1.7947 1.1902
1.7888 1.3572 0.87 0.2129 1.7511 1.5568
2.3683 1.5636 0.88 -0.2171 1.8205 2.0627
2.1788 1.7482 0.89 -0.5045 1.981 2.5051
2.0587 1.736 0.9 -0.5947 2.1142 2.7751
1.38 2.2605 0.91 -0.395 2.0144 2.5284
0.9597 2.1263 0.92 -0.0867 1.8331 2.6735
0.4494 2.4202 0.93 0.3277 1.7947 2.4832
0.2473 2.3293 0.94 0.777 1.7589 1.9418
0.381 2.3359 0.95 1.0695 1.6104 1.4936
0.8331 2.3897 0.96 1.2762 1.1947 1.1752
1.4859 2.8188 0.97 1.2441 0.9453 0.9091
1.7111 2.4817 0.98 0.8646 0.759 0.8323
2.1171 2.4772 0.99 0.509 0.4898 0.77
2.0486 2.3418 1.0 -0.0196 0.2721 1.055
1.5856 2.4066 1.01 -0.4875 0.0961 1.4132
1.2465 2.308 1.02 -0.725 -0.0558 1.8102
0.6062 2.1884 1.03 -0.8335 -0.1592 2.2209
0.1767 1.8636 1.04 -0.7896 -0.2271 2.3414
0.0634 1.9531 1.05 -0.5765 -0.2513 2.5538
0.2737 1.6851 1.06 -0.1284 -0.1715 2.9509
0.8285 1.4641 1.07 0.3162 -0.0938 2.609
1.3304 1.2676 1.08 0.6815 0.0356 2.3816
1.6064 1.1258 1.09 0.8368 0.1854 1.7949
1.8051 0.959 1.1 0.8807 0.3904 1.2126
1.8307 0.8142 1.11 0.6786 0.615 0.9042
1.3908 0.6391 1.12 0.3431 0.8069 0.6693
0.8139 0.4232 1.13 -0.1366 0.9889 0.6514
0.2512 0.2395 1.14 -0.5579 1.212 0.8082
-0.0967 0.1069 1.15 -0.8857 1.359 1.0287
-0.1159 -0.0077 1.16 -1.1801 1.3248 1.3029
0.1657 -0.1156 1.17 -1.0903 1.5082 1.6911
0.6654 -0.2214 1.18 -0.8677 1.4225 2.0829
1.1964 -0.2928 1.19 -0.428 1.3015 2.3714
1.697 -0.295 1.2 0.018 1.2754 2.6903
1.6776 -0.3595 1.21 0.4011 1.1622 2.4925
1.5629 -0.3709 1.22 0.7446 0.9422 2.0597
0.9324 -0.3445 1.23 0.8207 0.8015 1.7026
0.3866 -0.2967 1.24 0.6154 0.5415 1.4451
-0.0944 -0.2457 1.25 0.3578 0.2742 0.9827
-0.3603 -0.1727 1.26 -0.0895 0.0334 0.6133
-0.317 -0.1035 1.27 -0.57 -0.1998 0.4818
0.0626 -0.0166 1.28 -0.9632 -0.3985 0.4584
0.5465 0.0755 1.29 -1.0436 -0.626 0.663
1.1481 0.19 1.3 -1.128 -0.6911 1.0019
1.3931 0.2537 1.31 -0.9888 -0.7877 1.3899
1.4448 0.4012 1.32 -0.5232 -0.8157 1.8473
1.1606 0.5032 1.33 -0.0706 -0.7741 2.2451
0.6553 0.5218 1.34 0.3581 -0.7323 2.2717
0.0441 0.6069 1.35 0.6844 -0.6757 2.1071
-0.4502 0.6997 1.36 0.9307 -0.4933 2.0363
-0.6147 0.7305 1.37 0.8671 -0.3633 1.8514
-0.4869 0.8076 1.38 0.6331 -0.1397 1.3449
-0.0282 0.7728 1.39 0.1866 0.0716 0.8869
0.5034 0.8266 1.4 -0.2618 0.2791 0.5022
0.9251 0.8144 1.41 -0.6256 0.5354 0.2477
1.16 0.8725 1.42 -0.9118 0.6614 0.1461
1.2589 0.8059 1.43 -0.9164 0.852 0.233
0.8646 0.6618 1.44 -0.7254 0.8759 0.5284
0.297 0.618 1.45 -0.4255 0.9779 0.9473
-0.2723 0.5829 1.46 0.0471 1.0275 1.2403
-0.6954 0.5661 1.47 0.568 0.9353 1.5716
-0.803 0.4151 1.48 0.918 0.8312 2.0872
-0.5578 0.3452 1.49 1.1409 0.6728 2.0897
-0.0806 0.315 1.5 1.2188 0.5758 2.0044
0.4996 0.2063 1.51 1.076 0.3151 1.5154
0.9285 0.1491 1.52 0.6219 0.0989 1.1447
1.1906 0.0651 1.53 0.2108 -0.1098 0.8947
1.031 0.019 1.54 -0.1686 -0.3773 0.4105
0.5157 -0.0238 1.55 -0.4362 -0.5901 0.0463
-0.0415 -0.0481 1.56 -0.5988 -0.6875 -0.1466
-0.5746 -0.0626 1.57 -0.4126 -0.9159 -0.14
-0.9934 -0.051 1.58 -0.1348 -1.0748 0.0187
-0.873 -0.0228 1.59 0.3343 -1.1132 0.3154
-0.5734 0.0278 1.6 0.8992 -1.0424 0.7828
-0.0705 0.0937 1.61 1.3554 -1.0615 1.0691
0.5115 0.197 1.62 1.4834 -0.8417 1.5092
0.7972 0.2708 1.63 1.7659 -0.7326 1.5835
0.9674 0.4361 1.64 1.6118 -0.5574 1.5184
0.732 0.5661 1.65 1.3606 -0.4009 1.5505
0.3085 0.7456 1.66 0.8796 -0.1821 1.2387
-0.3033 0.8366 1.67 0.3827 0.0562 0.7716
-0.7851 1.155 1.68 0.0818 0.2816 0.2718
-1.12 1.1774 1.69 -0.0617 0.5432 -0.1145
-1.0086 1.333 1.7 0.0008 0.7512 -0.3823
-0.5666 1.739 1.71 0.2524 0.9168 -0.5368
0.002 1.6492 1.72 0.6824 1.0213 -0.428
0.5184 2.1316 1.73 1.284 1.102 -0.1936
0.8326 1.9727 1.74 1.8385 1.126 0.1587
0.9153 2.1313 1.75 1.9981 1.0065 0.6211
0.6219 2.5882 1.76 2.3683 0.9522 0.9787
0.1004 2.4856 1.77 1.9194 0.7492 1.2614
-0.4998 2.5961 1.78 2.045 0.691 1.4514
-0.9142 2.6051 1.79 1.4389 0.5033 1.1628
-1.0366 3.0489 1.8 1.1239 0.2722 1.105
-0.8796 3.0489 1.81 0.6784 0.0659 0.6362
-0.3925 2.8429 1.82 0.4261 -0.1406 0.1944
0.1429 3.1532 1.83 0.4153 -0.2861 -0.232
0.6764 2.9971 1.84 0.6376 -0.4645 -0.5255
0.9693 2.9228 1.85 1.0461 -0.6464 -0.7875
0.8828 2.5917 1.86 1.6177 -0.6014 -0.8097
0.5046 2.3168 1.87 1.9751 -0.683 -0.6382
-0.0089 2.5711 1.88 2.3766 -0.7189 -0.3642
-0.5064 2.2675 1.89 2.4618 -0.6255 0.0339
-0.8864 2.1118 1.9 2.7382 -0.4525 0.3978
-1.0403 1.6735 1.91 2.4863 -0.2924 0.811
-0.7918 1.7157 1.92 2.0515 -0.0947 1.0347
-0.1967 1.5193 1.93 1.5618 0.1346 0.9934
0.3495 1.1212 1.94 1.116 0.3819 0.8445
0.799 0.973 1.95 0.9038 0.6113 0.5943
1.0863 0.7686 1.96 0.7875 0.8556 0.1637
0.8773 0.5884 1.97 0.9943 1.0163 -0.2947
0.5533 0.3475 1.98 1.3645 1.4054 -0.6316
-0.0547 0.1595 1.99 1.5905 1.5841 -0.9714
-0.5364 0.0036 2.0 2.2063 1.7089 -1.1636
-0.8661 -0.1535 2.01 2.4665 1.5477 -1.0545
-0.8056 -0.2519 2.02 2.9421 1.7792 -0.7364
-0.4374 -0.3853 2.03 3.149 1.7551 -0.4436
0.0647 -0.489 2.04 2.7676 1.6456 -0.0451
0.6346 -0.5134 2.05 2.3131 1.5267 0.3627
1.0492 -0.5431 2.06 1.9716 1.2339 0.5808
1.2882 -0.5695 2.07 1.5273 1.1133 0.7946
0.9424 -0.5585 2.08 1.101 0.8602 0.7472
0.5619 -0.5545 2.09 1.091 0.666 0.5124
-0.0198 -0.4504 2.1 1.119 0.5462 0.1508
-0.5191 -0.4157 2.11 1.3351 0.3452 -0.2811
-0.7277 -0.3238 2.12 1.6541 0.2617 -0.7065
-0.5305 -0.1724 2.13 2.2598 0.1437 -1.1343
-0.1666 -0.0759 2.14 2.5329 0.075 -1.2685
0.3968 0.0479 2.15 3.1862 0.0706 -1.2323
0.9703 0.1773 2.16 2.8142 0.1166 -1.2769
1.2833 0.3431 2.17 2.5653 0.213 -0.9128
1.2527 0.4515 2.18 2.7574 0.339 -0.4854
1.1542 0.5451 2.19 2.1178 0.4775 -0.0624
0.6092 0.6807 2.2 1.6212 0.6735 0.2924
0.0733 0.8677 2.21 1.1331 0.9727 0.5088
-0.3346 0.9031 2.22 0.9489 1.1145 0.6307
-0.4442 0.9818 2.23 1.0256 1.4943 0.4821
-0.2751 1.0422 2.24 1.2329 1.8179 0.1982
0.2305 1.1481 2.25 1.6135 2.0295 -0.1876
0.8128 1.3118 2.26 1.826 2.1152 -0.627
1.4136 1.1477 2.27 2.4482 2.2048 -1.0219
1.5189 1.2571 2.28 2.5094 2.5358 -1.2859
1.7205 1.2792 2.29 2.9091 2.2366 -1.3912
1.1325 1.2609 2.3 2.5316 2.3689 -1.3596
0.7977 1.2751 2.31 2.3165 2.3027 -1.2858
0.2222 1.2468 2.32 1.9654 2.2809 -0.8561
-0.1317 1.0204 2.33 1.4261 2.3047 -0.4001
-0.1976 0.9419 2.34 1.1245 2.0396 -0.0098
0.1037 0.9573 2.35 0.7805 1.6988 0.334
0.6153 0.9036 2.36 0.6631 1.4922 0.4781
1.1301 0.7745 2.37 0.7347 1.438 0.425
1.8096 0.8113 2.38 1.001 1.1852 0.293
1.7598 0.693 2.39 1.5277 1.1121 -0.0638
1.7901 0.661 2.4 2.0089 0.8909 -0.5024
1.3722 0.6025 2.41 2.4524 0.8704 -0.8662
0.9068 0.5689 2.42 2.4767 0.7305 -1.3577
0.3492 0.5877 2.43 2.3202 0.6869 -1.4238
0.0813 0.5302 2.44 1.9142 0.7455 -1.3953
0.1366 0.625 2.45 1.7968 0.7939 -1.3592
0.5298 0.6528 2.46 1.2866 1.0781 -1.1911
0.9567 0.6747 2.47 0.6667 1.0792 -0.6315
1.5263 0.7742 2.48 0.3687 1.3128 -0.2615
2.0074 0.8246 2.49 0.1579 1.5954 0.1116
2.3676 0.9778 2.5 0.2365 2.0049 0.3378
1.9169 1.0971 2.51 0.4914 2.1926 0.4465
1.4065 1.038 2.52 0.8942 2.1014 0.3782
1.0692 1.3244 2.53 1.3317 2.685 0.1164
0.4929 1.5174 2.54 1.7286 2.7245 -0.2603
0.3132 1.6874 2.55 1.7849 2.8945 -0.7225
0.4438 1.8826 2.56 1.7511 2.8049 -1.1124
0.9042 2.0535 2.57 1.667 2.6893 -1.2433
1.5708 2.1077 2.58 1.2239 2.6381 -1.5986
2.062 1.939 2.59 0.8845 3.0629 -1.617
2.5986 2.3846 2.6 0.3193 2.4253 -1.2799
2.4293 2.3194 2.61 -0.0803 2.2721 -0.9394
2.0399 2.4835 2.62 -0.2887 2.4563 -0.4573
1.7946 2.569 2.63 -0.3546 2.0738 -0.0638
1.064 2.8714 2.64 -0.1383 1.9475 0.2521
0.7115 2.4774 2.65 0.2174 1.4913 0.4898
0.608 2.5194 2.66 0.6947 1.4829 0.4659
0.6974 2.6028 2.67 1.0877 1.2703 0.3127
1.1736 2.716 2.68 1.4374 1.1716 0.018
1.8721 2.4043 2.69 1.3651 1.0068 -0.3684
2.5518 2.4088 2.7 1.1474 0.8713 -0.7356
2.447 2.5542 2.71 1.0235 0.8583 -1.2062
2.5906 2.2846 2.72 0.4295 0.8384 -1.4888
2.2208 2.0761 2.73 -0.0302 0.9713 -1.4956
1.8042 1.895 2.74 -0.4195 1.1634 -1.2008
1.2018 1.8486 2.75 -0.7832 1.2111 -1.084
0.8721 1.6495 2.76 -0.7971 1.4919 -0.6761
0.7696 1.3719 2.77 -0.7252 1.5757 -0.1897
1.0431 0.9806 2.78 -0.3331 1.9945 0.1946
1.6312 0.8895 2.79 0.0916 2.1993 0.4801
2.2513 0.6104 2.8 0.5661 2.3716 0.6477
2.6756 0.3585 2.81 0.9259 2.6451 0.5833
2.6217 0.1879 2.82 1.0897 2.3867 0.3351
2.8376 -0.0311 2.83 0.9108 2.8203 -0.0507
2.4028 -0.2067 2.84 0.71 2.6583 -0.461
1.7893 -0.4001 2.85 0.2433 2.6532 -0.8704
1.215 -0.5862 2.86 -0.2354 2.5503 -1.1657
0.8576 -0.6628 2.87 -0.73 2.602 -1.3978
0.8331 -0.7936 2.88 -1.019 2.1658 -1.3525
1.3582 -0.8271 2.89 -1.0115 2.24 -1.1342
1.7749 -0.8711 2.9 -0.9169 2.0452 -0.722
2.4747 -0.9827 2.91 -0.7512 1.6844 -0.3084
3.0287 -0.937 2.92 -0.2698 1.3495 0.1091
2.7408 -0.8852 2.93 0.1474 1.2615 0.4535
2.8237 -0.8587 2.94 0.5186 1.0113 0.6356
2.0722 -0.9057 2.95 0.8261 0.7334 0.7915
1.6071 -0.8093 2.96 0.7513 0.6055 0.5396
1.0712 -0.5678 2.97 0.6243 0.4687 0.2824
0.8072 -0.4783 2.98 0.2151 0.3471 -0.1022
1.0785 -0.337 2.99 -0.2449 0.3396 -0.5606
1.3938 -0.1885 3.0 -0.7254 0.3711 -0.9365
2.073 -0.0379 3.01 -1.0931 0.4429 -1.0339
2.2828 0.1413 3.02 -1.3183 0.4842 -1.1788
2.6564 0.308 3.03 -1.0352 0.6274 -1.1058
2.878 0.4737 3.04 -0.9619 0.9006 -0.7334
2.5526 0.6561 3.05 -0.4522 0.9415 -0.3785
2.1839 0.7156 3.06 0.0136 1.2551 0.0314
1.4437 1.0072 3.07 0.4245 1.2688 0.4103
1.0578 0.9751 3.08 0.7505 1.4491 0.7088
0.911 1.1576 3.09 0.8688 1.8333 0.9314
0.9523 1.282 3.1 0.6457 1.6912 0.7973
1.5043 1.4225 3.11 0.3896 1.9638 0.5996
1.9264 1.4765 3.12 -0.0238 1.7683 0.2847
2.5648 1.5911 3.13 -0.4458 1.9806 -0.1354
2.5153 1.6062 3.14 -0.8092 1.661 -0.5204
2.6834 1.5666 3.15 -1.0327 1.7297 -0.8388
2.4747 1.6214 3.16 -1.0264 1.5308 -1.0246
1.6604 1.5401 3.17 -0.8885 1.2075 -0.9355
1.103 1.5656 3.18 -0.392 0.9384 -0.7767
0.816 1.4363 3.19 0.0669 0.7736 -0.5119
0.6828 1.3106 3.2 0.5208 0.4734 -0.0678
1.0124 1.3042 3.21 0.8047 0.2158 0.3685
1.4897 1.273 3.22 1.0461 -0.0078 0.6712
1.9568 1.1291 3.23 1.0299 -0.2287 0.9376
2.3408 1.0296 3.24 0.7687 -0.372 0.9617
2.8613 1.0035 3.25 0.3914 -0.5267 0.9036
2.3622 0.9498 3.26 -0.0662 -0.6412 0.6501
2.1148 0.7924 3.27 -0.4816 -0.6419 0.2378
1.315 0.8041 3.28 -0.7041 -0.6066 -0.1898
0.9386 0.6865 3.29 -0.6864 -0.4816 -0.6003
0.5974 0.7708 3.3 -0.582 -0.4384 -0.8679
0.553 0.7094 3.31 -0.2006 -0.2309 -0.877
0.9441 0.7331 3.32 0.254 -0.0711 -0.7849
1.4321 0.7492 3.33 0.7091 0.1117 -0.545
1.8748 0.6649 3.34 1.1704 0.3202 -0.1862
2.3144 0.6949 3.35 1.4754 0.4593 0.2554
2.5343 0.7893 3.36 1.3788 0.6806 0.6427
1.9035 0.8779 3.37 1.2837 0.7817 0.9409
1.4832 1.0127 3.38 0.8975 0.8748 1.041
0.9568 1.0361 3.39 0.4753 0.9589 1.0876
0.4865 1.0706 3.4 0.0432 0.9813 0.9642
0.2391 1.3458 3.41 -0.2458 0.8133 0.5162
0.3714 1.2953 3.42 -0.3486 0.7395 0.123
0.7372 1.4957 3.43 -0.2148 0.6347 -0.2729
1.3498 1.6358 3.44 0.0785 0.4711 -0.6536
1.8213 1.8364 3.45 0.4999 0.2965 -0.8031
2.0306 1.7307 3.46 1.1314 0.0349 -0.8166
2.1611 1.6968 3.47 1.3533 -0.2215 -0.679
1.6358 1.7718 3.48 1.8583 -0.428 -0.3332
1.0384 1.9639 3.49 1.9255 -0.7125 0.056
0.5097 2.0371 3.5 1.8616 -0.9083 0.5022
0.0959 1.9369 3.51 1.5315 -1.1654 0.8558
-0.0547 1.8679 3.52 0.8985 -1.3131 1.104
0.1251 1.8765 3.53 0.4994 -1.2948 1.2199
0.5979 1.8503 3.54 0.1852 -1.5066 1.0388
1.1111 1.6475 3.55 0.0296 -1.5172 0.7511
1.6455 1.5043 3.56 0.0823 -1.4394 0.3939
1.9539 1.5188 3.57 0.344 -1.3828 -0.04
1.7842 1.3381 3.58 0.6884 -1.2261 -0.4294
1.3021 1.146 3.59 1.2074 -1.0454 -0.6725
0.6598 0.9905 3.6 1.6576 -0.7213 -0.8149
0.0892 0.8694 3.61 1.8527 -0.5679 -0.8077
-0.2811 0.6716 3.62 2.321 -0.3818 -0.5079
-0.4041 0.4214 3.63 1.8906 -0.1614 -0.1571
-0.1177 0.2009 3.64 1.699 0.0193 0.2759
0.3861 -0.0128 3.65 1.3975 0.1687 0.5956
0.9289 -0.2189 3.66 0.9111 0.2476 0.9631
1.4143 -0.4344 3.67 0.5054 0.3215 1.2391
1.5323 -0.5659 3.68 0.2786 0.3803 1.0994
1.3033 -0.7299 3.69 0.2626 0.2997 0.9884
0.8382 -1.0389 3.7 0.4624 0.2378 0.5673
0.1819 -1.0248 3.71 0.9117 0.0935 0.1731
-0.3856 -1.1527 3.72 1.3646 -0.0651 -0.2668
-0.6589 -1.2203 3.73 1.631 -0.2869 -0.649
-0.7276 -1.5052 3.74 2.2762 -0.4451 -0.7637
-0.3597 -1.5939 3.75 2.4461 -0.7821 -0.9297
0.1761 -1.4325 3.76 2.0759 -1.0215 -0.7657
0.681 -1.4758 3.77 2.0825 -1.1876 -0.4354
1.055 -1.5548 3.78 1.7197 -1.3193 -0.051
0.9972 -1.3591 3.79 1.0729 -1.5989 0.3992
0.7473 -1.1654 3.8 0.6493 -1.7602 0.8101
0.281 -1.2202 3.81 0.4084 -1.6347 1.0256
-0.303 -1.032 3.82 0.2645 -1.8233 1.1292
-0.767 -0.8463 3.83 0.4106 -1.7474 0.9671
-0.9588 -0.6829 3.84 0.6909 -1.6153 0.6842
-0.837 -0.5871 3.85 1.1731 -1.3247 0.2973
-0.5855 -0.3931 3.86 1.7331 -1.1982 -0.1328
0.0022 -0.168 3.87 1.9606 -1.0781 -0.5563
0.5003 0.0388 3.88 2.3438 -0.8415 -0.8277
0.7593 0.2499 3.89 2.1171 -0.6152 -1.0695
0.776 0.4145 3.9 1.9969 -0.3993 -1.0318
0.3928 0.638 3.91 1.5477 -0.2124 -0.7422
-0.1504 0.771 3.92 1.2307 -0.0029 -0.4462
-0.6906 1.026 3.93 0.7017 0.149 0.0007
-1.1944 1.066 3.94 0.301 0.3059 0.3731
-1.3661 1.3686 3.95 0.092 0.36 0.712
-1.171 1.2356 3.96 0.1338 0.4122 0.8959
-0.6809 1.3399 3.97 0.3455 0.3198 0.9173
-0.1139 1.6396 3.98 0.7889 0.2584 0.7647
0.3257 1.6383 3.99 1.2064 0.167 0.3936
0.5108 1.5364 4.0 1.5388 0.0046 -0.056
0.4767 1.5795 4.01 1.6832 -0.1637 -0.5391
0.0419 1.6274 4.02 1.9326 -0.3967 -0.7872
-0.5248 1.6182 4.03 1.7799 -0.5905 -1.041
-0.9993 1.5798 4.04 1.404 -0.8447 -1.1781
-1.4943 1.3643 4.05 0.8189 -0.9672 -0.9691
-1.4317 1.2642 4.06 0.4073 -1.0603 -0.7525
-1.3584 1.1386 4.07 -0.0304 -1.3342 -0.4479
-0.794 1.0723 4.08 -0.2884 -1.4706 -0.0104
-0.1997 0.9285 4.09 -0.3291 -1.3238 0.3813
0.2537 0.8414 4.1 -0.1822 -1.4968 0.5547
0.3671 0.7609 4.11 0.1605 -1.2409 0.7081
0.2079 0.6438 4.12 0.5849 -1.1369 0.5652
-0.2795 0.6455 4.13 0.9666 -1.0148 0.3445
-0.7917 0.5033 4.14 1.3933 -0.9177 -0.0388
-1.3288 0.4166 4.15 1.4094 -0.6397 -0.5186
-1.6414 0.3696 4.16 1.1956 -0.429 -0.958
-1.7604 0.2823 4.17 0.9044 -0.1658 -1.157
-1.2541 0.2558 4.18 0.4969 0.0796 -1.3265
-0.7105 0.219 4.19 -0.0077 0.2924 -1.381
-0.1989 0.2177 4.2 -0.4723 0.5389 -1.1423
0.1839 0.2031 4.21 -0.806 0.625 -0.802
0.2676 0.1981 4.22 -0.9267 0.8603 -0.4401
-0.0127 0.2292 4.23 -0.7739 0.8305 -0.08
-0.5077 0.2647 4.24 -0.5596 0.8173 0.2581
-1.1767 0.3379 4.25 -0.1108 0.7813 0.4191
-1.6362 0.4334 4.26 0.2966 0.7096 0.4135
-1.9164 0.4634 4.27 0.6083 0.6049 0.2521
-1.6095 0.5061 4.28 0.8582 0.5354 -0.0639
-1.1904 0.6642 4.29 0.7102 0.3595 -0.5106
-0.6168 0.6411 4.3 0.4491 0.1345 -0.936
-0.1119 0.6932 4.31 0.0645 -0.0704 -1.4169
0.1754 0.8766 4.32 -0.4305 -0.2535 -1.6158
0.1765 0.859 4.33 -1.0126 -0.4477 -1.7107
-0.1416 0.8074 4.34 -1.3743 -0.6399 -1.599
-0.7409 0.9107 4.35 -1.4076 -0.7649 -1.2442
-1.1288 0.9862 4.36 -1.4477 -0.8601 -1.0595
-1.5418 0.8982 4.37 -1.0736 -0.7696 -0.5591
-1.8491 0.9618 4.38 -0.8343 -0.7515 -0.1983
-1.5593 0.7968 4.39 -0.3621 -0.763 0.081
-0.9731 0.7148 4.4 0.0017 -0.5897 0.1903
-0.4355 0.7087 4.41 0.2198 -0.4714 0.1194
0.0095 0.542 4.42 0.2508 -0.2318 -0.1437
0.2519 0.4583 4.43 0.0415 -0.0166 -0.4775
0.1597 0.3066 4.44 -0.3276 0.2226 -0.9331
-0.2508 0.1644 4.45 -0.7556 0.4715 -1.3998
-0.8506 0.0151 4.46 -1.4444 0.728 -1.8033
-1.4069 -0.144 4.47 -1.6059 0.9151 -2.0317
-1.7469 -0.3378 4.48 -1.8894 1.0679 -1.8815
-1.5861 -0.5388 4.49 -1.831 1.1898 -1.9229
-1.3412 -0.7073 4.5 -1.6902 1.4846 -1.3232
-0.8684 -0.8117 4.51 -1.3396 1.4146 -1.0155
-0.2632 -1.1709 4.52 -0.8638 1.5484 -0.6534
0.2067 -1.2471 4.53 -0.5013 1.4029 -0.3154
0.3845 -1.3232 4.54 -0.228 1.3625 -0.0871
0.169 -1.4846 4.55 -0.1406 1.0294 -0.0688
-0.2595 -1.7949 4.56 -0.2773 1.0507 -0.2382
-0.7968 -1.7077 4.57 -0.5603 0.8124 -0.5735
-1.1852 -1.8114 4.58 -0.9715 0.6067 -0.8549
-1.6899 -1.7805 4.59 -1.6057 0.347 -1.2554
-1.3985 -1.9104 4.6 -2.0445 0.1184 -1.9479
-1.0163 -1.8969 4.61 -2.1967 -0.0564 -2.1019
-0.5637 -2.0146 4.62 -2.1193 -0.2125 -2.2368
0.0254 -1.7167 4.63 -2.0948 -0.3437 -2.1889
0.4099 -1.9657 4.64 -1.8165 -0.4545 -1.9521
