# y : intensity
#y4 y2 y1 y5 time y3
0.5931 -0.5786 -1.2332 0.0483 0.34 2.9238
0.3218 -0.4775 -1.0873 0.4343 0.35 2.7413
0.6248 -0.3209 -1.264 1.3729 0.36 2.6442
1.559 -0.2289 -1.1986 2.1577 0.37 2.5757
2.3612 -0.0664 -1.0541 1.8938 0.38 2.3917
2.6983 0.0783 -1.0752 0.7465 0.39 1.9746
2.6266 0.2312 -0.9344 0.168 0.4 1.6698
1.6509 0.3731 -0.7932 0.6289 0.41 1.3565
1.0765 0.4453 -0.5917 1.5369 0.42 0.9385
0.7011 0.5901 -0.5052 2.4205 0.43 0.7599
1.0693 0.6486 -0.2945 1.7178 0.44 0.4671
1.8217 0.6754 -0.1581 0.7854 0.45 0.2226
2.4848 0.8582 -0.0015 0.3057 0.46 0.0587
1.9428 0.7985 0.1648 0.7437 0.47 -0.0638
1.2175 0.8043 0.3019 1.9447 0.48 -0.139
0.2328 0.7915 0.44 2.5668 0.49 -0.1743
-0.3491 0.8184 0.5454 1.7695 0.5 -0.1428
-0.3144 0.7144 0.6765 0.8004 0.51 -0.0725
0.267 0.6541 0.7641 0.3908 0.52 0.0145
0.8586 0.7357 0.8284 1.0175 0.53 0.1423
0.9824 0.669 0.9347 2.0673 0.54 0.2506
0.62 0.6352 0.9261 2.3058 0.55 0.3768
-0.2133 0.5168 0.9984 1.9334 0.56 0.4843
-0.9451 0.4843 1.1173 0.9712 0.57 0.6036
-0.8556 0.4529 1.1631 0.4282 0.58 0.591
-0.2645 0.5376 1.0158 1.1141 0.59 0.6128
0.6676 0.5067 0.9911 2.2551 0.6 0.5885
1.481 0.5759 1.038 2.4563 0.61 0.5119
1.4446 0.6538 1.0627 1.9588 0.62 0.2954
0.8052 0.7106 0.9375 0.9017 0.63 0.114
0.277 0.7408 0.8502 0.4876 0.64 -0.139
0.1363 0.9457 0.8535 1.2126 0.65 -0.3797
0.5911 1.0129 0.78 2.296 0.66 -0.6794
1.5042 1.1681 0.6726 2.5761 0.67 -0.9967
2.6552 1.2353 0.6836 1.8767 0.68 -1.2634
2.78 1.3 0.5819 0.8894 0.69 -1.6413
2.1842 1.418 0.5507 0.6044 0.7 -2.0489
1.6991 1.5942 0.601 1.2799 0.71 -1.9594
1.1266 1.8887 0.542 2.2285 0.72 -2.194
1.0369 1.8473 0.5842 2.6644 0.73 -2.6893
1.6007 1.8867 0.5621 1.7989 0.74 -2.6698
2.1493 2.1384 0.5227 0.8148 0.75 -2.4403
2.4343 2.2264 0.5792 0.6359 0.76 -2.6796
2.4039 1.9877 0.6919 1.2103 0.77 -2.5335
1.39 2.0879 0.6365 2.3332 0.78 -2.1804
0.4986 1.8931 0.7244 2.6944 0.79 -2.2237
-0.0033 1.9616 0.7241 1.6056 0.8 -1.933
0.2096 1.5248 0.903 0.8353 0.81 -1.7146
0.8359 1.5976 0.9704 0.5737 0.82 -1.4669
1.3553 1.2695 0.9694 1.4144 0.83 -1.4181
1.1901 1.1151 1.0876 2.3348 0.84 -1.1656
0.4138 0.8777 0.9621 2.2722 0.85 -0.9242
-0.4869 0.6371 1.1977 1.8174 0.86 -0.8851
-1.1267 0.435 1.1777 0.669 0.87 -0.7228
-1.1161 0.1919 1.2437 0.6128 0.88 -0.6835
-0.3564 -0.0269 1.2272 1.3722 0.89 -0.7003
0.42 -0.2229 1.2145 2.3546 0.9 -0.8619
0.828 -0.4333 1.1772 2.1729 0.91 -0.9511
0.6861 -0.6035 1.2112 1.6275 0.92 -1.1637
0.0026 -0.7589 1.0568 0.6803 0.93 -1.1366
-0.5142 -0.8276 1.0592 0.5535 0.94 -1.2951
-0.5474 -0.9085 0.9614 1.2215 0.95 -1.6136
0.0713 -0.8739 0.8101 2.1117 0.96 -1.6834
1.1163 -0.9604 0.6623 2.434 0.97 -1.9831
1.9183 -0.7873 0.538 1.4164 0.98 -1.9687
2.0706 -0.7342 0.4659 0.4936 0.99 -1.9889
1.49 -0.589 0.3289 0.5227 1.0 -2.075
0.7599 -0.405 0.183 1.3002 1.01 -2.0156
0.4417 -0.195 0.0643 2.1087 1.02 -2.0332
0.689 0.0413 -0.0563 2.1536 1.03 -1.7828
1.4499 0.2922 -0.1661 1.2411 1.04 -1.4464
2.0605 0.5539 -0.2768 0.4287 1.05 -1.2982
2.5549 0.8202 -0.3558 0.4194 1.06 -0.8836
1.8561 1.136 -0.4765 1.4128 1.07 -0.5554
1.0179 1.3955 -0.538 2.033 1.08 -0.2756
0.1634 1.5899 -0.5761 2.2362 1.09 0.0364
-0.0773 2.0906 -0.6186 1.0137 1.1 0.3708
0.2809 2.3237 -0.5174 0.2696 1.11 0.6787
0.7928 2.6251 -0.5325 0.3661 1.12 0.8944
1.1753 2.4021 -0.467 1.2373 1.13 1.0998
0.8168 2.5599 -0.437 2.0184 1.14 1.1846
-0.0304 3.0168 -0.289 1.8449 1.15 1.3374
-0.9161 2.7465 -0.1764 0.9635 1.16 1.185
-1.5389 2.7877 -0.0122 0.1337 1.17 1.3103
-1.3806 2.9375 0.1513 0.2824 1.18 1.2932
-0.7407 2.6886 0.3313 1.2213 1.19 1.1414
-0.0644 2.4334 0.5293 1.8514 1.2 0.9624
0.0958 2.4826 0.7772 1.7724 1.21 0.8411
-0.362 2.4848 1.056 0.7721 1.22 0.5828
-1.1643 2.0773 1.2564 -0.0178 1.23 0.4333
-1.6016 2.0422 1.3745 0.1661 1.24 0.3158
-1.5446 1.6131 1.5142 1.1035 1.25 0.2291
-0.8653 1.4082 1.7636 1.9081 1.26 0.177
0.1491 1.2084 1.8995 1.5573 1.27 0.1834
0.8582 0.8577 2.4187 0.5304 1.28 0.1872
0.7788 0.6254 2.4957 -0.1552 1.29 0.303
0.1698 0.4065 2.2782 0.0921 1.3 0.4449
-0.397 0.2422 2.6633 1.0499 1.31 0.5917
-0.6129 0.0739 2.5545 1.8693 1.32 0.8378
-0.0502 -0.0604 2.8851 1.4299 1.33 1.0138
0.7732 -0.1609 2.5451 0.353 1.34 1.1606
1.5249 -0.2207 2.8961 -0.3273 1.35 1.4763
1.7078 -0.2744 2.593 0.0159 1.36 1.8153
1.0953 -0.282 2.7173 0.9141 1.37 2.1466
0.2285 -0.2775 2.2905 1.5939 1.38 2.1798
-0.3749 -0.2341 2.1489 1.2499 1.39 2.4555
-0.444 -0.1413 2.3308 0.206 1.4 2.5965
0.1297 -0.04 1.8972 -0.4338 1.41 2.399
0.7132 0.063 1.6107 -0.0532 1.42 2.4519
0.8477 0.1892 1.5309 0.8835 1.43 2.3782
0.3932 0.3062 1.3974 1.5044 1.44 2.2262
-0.6223 0.4644 1.1514 1.042 1.45 1.869
-1.3883 0.61 0.7596 0.0232 1.46 1.8281
-2.088 0.668 0.568 -0.5753 1.47 1.5438
-1.6166 0.7644 0.2644 -0.1304 1.48 1.1869
-1.0271 0.9732 0.0581 0.8661 1.49 0.9195
-0.5418 1.0652 -0.1669 1.3297 1.5 0.699
-0.6416 1.0242 -0.3476 0.8286 1.51 0.4493
-1.2125 1.1521 -0.5607 -0.1449 1.52 0.2491
-1.9796 1.1439 -0.7463 -0.6796 1.53 0.0919
-2.7908 1.2852 -0.8324 -0.1741 1.54 -0.0382
-2.5545 1.1785 -0.9796 0.7346 1.55 -0.1089
-1.6404 1.0615 -1.0089 1.2495 1.56 -0.1187
-0.7234 1.1122 -0.9495 0.7645 1.57 -0.0987
-0.2727 1.0119 -1.0004 -0.2956 1.58 -0.0252
-0.5264 0.9056 -0.8933 -0.8075 1.59 0.0829
-1.1922 0.9586 -0.9006 -0.2125 1.6 0.243
-1.7157 0.9012 -0.8604 0.8017 1.61 0.3656
-1.5313 0.8041 -0.7064 1.1614 1.62 0.5344
-0.8478 0.767 -0.5116 0.5534 1.63 0.6632
0.1581 0.6428 -0.3252 -0.4334 1.64 0.828
0.7555 0.5931 -0.1146 -0.8103 1.65 0.9508
0.8832 0.6591 0.084 -0.2619 1.66 1.0504
0.2423 0.649 0.3343 0.7772 1.67 0.9319
-0.4706 0.6432 0.5284 1.0911 1.68 1.0097
-0.8403 0.7064 0.7665 0.4529 1.69 0.8965
-0.6631 0.843 0.9382 -0.5885 1.7 0.7007
0.0707 0.7719 1.2652 -0.9325 1.71 0.6254
0.6661 0.8657 1.598 -0.2551 1.72 0.3411
0.8069 0.9565 1.528 0.7606 1.73 0.1
0.1236 1.2372 1.9875 1.0216 1.74 -0.191
-0.7914 1.2481 2.0429 0.3706 1.75 -0.4284
-1.6657 1.4352 2.0621 -0.6074 1.76 -0.7637
-1.9977 1.4431 2.4975 -1.0063 1.77 -1.0919
-1.3779 1.6136 2.4791 -0.2471 1.78 -1.2905
-0.8883 1.7621 2.693 0.6762 1.79 -1.4221
-0.5534 1.8602 2.5827 0.9213 1.8 -1.5427
-0.8986 1.7754 2.6842 0.2481 1.81 -1.9016
-1.6707 1.9655 2.45 -0.7389 1.82 -1.6334
-2.6505 1.9523 2.252 -1.0277 1.83 -1.7622
-2.8418 1.7121 2.6547 -0.2021 1.84 -1.664
-2.6564 1.8278 2.4737 0.8269 1.85 -1.4815
-1.6445 1.731 2.0467 0.8827 1.86 -1.5509
-1.0823 1.3811 2.278 0.1591 1.87 -1.1893
-0.8719 1.3727 2.1248 -0.8454 1.88 -0.9882
-1.3016 1.1357 1.8426 -1.007 1.89 -0.8605
-1.8618 0.9912 1.6265 -0.158 1.9 -0.5478
-2.4253 0.6406 1.601 0.7285 1.91 -0.4041
-2.1181 0.4065 1.2238 0.9692 1.92 -0.2529
-1.1341 0.1771 1.1913 0.1123 1.93 -0.11
-0.1814 -0.069 0.9225 -0.8455 1.94 -0.0155
0.4202 -0.3379 0.8327 -0.8815 1.95 0.0182
0.2595 -0.5395 0.7451 -0.0718 1.96 0.0045
-0.3037 -0.7206 0.6309 0.8066 1.97 -0.0581
-1.0086 -0.8736 0.5326 0.9996 1.98 -0.1575
-1.1229 -1.0489 0.4384 0.0823 1.99 -0.318
-0.5352 -1.2748 0.2958 -0.8211 2.0 -0.4666
0.3613 -1.2776 0.2552 -0.7979 2.01 -0.6745
0.981 -1.3487 0.237 0.0205 2.02 -0.8301
0.9232 -1.3475 0.2122 0.8457 2.03 -1.1428
0.2467 -1.2648 0.2285 0.861 2.04 -1.3554
-0.7155 -1.2225 0.2377 0.0665 2.05 -1.3145
-1.1883 -1.2741 0.2837 -0.8597 2.06 -1.7038
-1.362 -0.937 0.2816 -0.7032 2.07 -1.7246
-0.7506 -0.842 0.3892 0.1265 2.08 -1.5939
-0.1558 -0.6048 0.3896 1.0038 2.09 -1.4791
-0.0218 -0.3515 0.4699 0.9223 2.1 -1.498
-0.594 -0.1071 0.5799 0.0557 2.11 -1.371
-1.4136 0.1651 0.5739 -0.7853 2.12 -1.3092
-2.4845 0.4489 0.6489 -0.6118 2.13 -0.8901
-2.6265 0.6774 0.8057 0.2386 2.14 -0.7372
-2.2232 1.0651 0.8409 1.1202 2.15 -0.4022
-1.3054 1.1343 0.9608 0.9207 2.16 -0.1497
-0.8085 1.5986 0.9951 0.0754 2.17 0.1014
-0.9168 1.7452 0.9359 -0.728 2.18 0.3252
-1.5947 1.9659 1.0519 -0.5018 2.19 0.5478
-2.2577 1.9765 0.9191 0.4391 2.2 0.688
-2.292 2.1584 1.0516 1.1032 2.21 0.8306
-1.8253 2.3107 0.9899 1.0989 2.22 0.8543
-1.0152 2.2151 0.9192 0.0968 2.23 0.9008
-0.0822 2.1801 0.9649 -0.667 2.24 0.9579
0.3441 2.0586 0.8633 -0.3761 2.25 0.8356
0.1052 1.9887 0.9121 0.557 2.26 0.6863
-0.5345 1.7482 0.835 1.2137 2.27 0.466
-0.866 1.5863 0.7957 1.1051 2.28 0.3273
-0.7502 1.4493 0.7611 0.1495 2.29 0.1195
-0.0121 1.0911 0.7228 -0.5484 2.3 -0.0908
0.8551 0.8228 0.7215 -0.2569 2.31 -0.2947
1.3496 0.5175 0.5828 0.7667 2.32 -0.3872
1.4131 0.3088 0.588 1.3784 2.33 -0.6042
0.6816 0.0373 0.5569 1.1862 2.34 -0.6629
-0.119 -0.225 0.5657 0.1972 2.35 -0.6313
-0.5275 -0.4157 0.6037 -0.482 2.36 -0.6207
-0.2326 -0.6196 0.6404 -0.0979 2.37 -0.6031
0.4804 -0.779 0.559 0.8444 2.38 -0.47
0.9562 -0.9396 0.6259 1.4835 2.39 -0.2513
1.016 -1.0977 0.7532 1.1452 2.4 -0.0651
0.2608 -1.2588 0.7813 0.2515 2.41 0.1507
-0.7625 -1.3659 0.8632 -0.3632 2.42 0.4122
-1.5431 -1.2227 1.0321 0.0637 2.43 0.6931
-1.6464 -1.4781 1.0987 1.1839 2.44 0.8955
-0.9412 -1.2137 1.2764 1.5451 2.45 1.0183
-0.3425 -1.3676 1.279 1.3425 2.46 1.191
0.0069 -1.1702 1.3639 0.3217 2.47 1.3615
-0.3348 -1.013 1.6233 -0.2256 2.48 1.5302
-1.151 -0.9454 1.5487 0.2318 2.49 1.3815
-1.6214 -0.8729 1.6085 1.2784 2.5 1.4009
-2.1161 -0.684 2.0095 1.799 2.51 1.2762
-1.2649 -0.5851 1.7944 1.4672 2.52 1.2
-0.4139 -0.4406 1.967 0.3684 2.53 1.0103
0.3403 -0.3058 2.2638 -0.0966 2.54 0.7307
0.6258 -0.2142 2.1671 0.4334 2.55 0.4648
0.1824 -0.1438 2.3106 1.3517 2.56 0.2528
-0.435 -0.0711 2.2463 1.8848 2.57 0.0181
-0.7255 -0.0139 2.1338 1.3952 2.58 -0.2175
-0.3059 0.0181 2.1893 0.4217 2.59 -0.4082
0.6154 0.0328 1.856 0.0145 2.6 -0.5975
1.5279 0.0248 1.6553 0.5929 2.61 -0.7329
2.2155 -0.0035 1.7909 1.5228 2.62 -0.6732
1.906 -0.0455 1.5878 1.9969 2.63 -0.8158
1.1013 -0.0917 1.4565 1.629 2.64 -0.65
0.524 -0.1762 1.1696 0.5257 2.65 -0.6739
0.3972 -0.2438 1.0546 0.1364 2.66 -0.5082
0.9481 -0.3034 0.836 0.6834 2.67 -0.287
1.6656 -0.3828 0.5392 1.8828 2.68 -0.1022
2.0631 -0.4512 0.3346 2.2999 2.69 0.1101
2.0939 -0.5216 0.1636 1.4584 2.7 0.3063
1.2466 -0.5634 -0.0437 0.5574 2.71 0.4844
0.1953 -0.5713 -0.253 0.2402 2.72 0.7003
-0.3421 -0.5598 -0.4272 0.8204 2.73 0.9482
-0.3059 -0.5837 -0.5713 1.9156 2.74 0.9708
0.2993 -0.495 -0.7503 2.2826 2.75 0.9569
0.8701 -0.4787 -0.9061 1.5191 2.76 1.1319
0.9933 -0.4346 -0.8687 0.5917 2.77 0.9237
0.4199 -0.387 -0.9951 0.3587 2.78 0.9398
-0.4416 -0.2521 -1.1348 1.0927 2.79 0.7052
-1.2141 -0.1671 -1.1114 2.1565 2.8 0.5323
-1.2971 -0.0617 -1.0942 2.3632 2.81 0.357
-0.6239 0.0525 -0.893 1.6086 2.82 0.1058
0.255 0.1529 -0.8672 0.6279 2.83 -0.1302
0.8082 0.2653 -0.6945 0.451 2.84 -0.362
0.8701 0.3507 -0.56 1.1305 2.85 -0.5354
0.2333 0.4272 -0.4368 2.1267 2.86 -0.755
-0.3523 0.4596 -0.1999 2.1687 2.87 -0.8439
-0.5082 0.4929 0.0019 1.6513 2.88 -0.9935
0.0515 0.4835 0.2543 0.6296 2.89 -1.0355
0.9554 0.4993 0.5071 0.4539 2.9 -0.9939
1.9145 0.3791 0.7693 1.3743 2.91 -0.9056
2.4496 0.3005 0.9325 2.1548 2.92 -0.746
1.9093 0.2058 1.2532 2.585 2.93 -0.5679
1.2783 0.0553 1.3838 1.5586 2.94 -0.4283
0.8824 -0.1244 1.7672 0.6022 2.95 -0.1956
0.9666 -0.3481 1.738 0.562 2.96 0.0663
1.8381 -0.5305 2.1624 1.3339 2.97 0.2907
2.6749 -0.8052 2.4735 2.2281 2.98 0.579
3.0551 -0.9535 2.2172 2.5563 2.99 0.7526
2.7657 -1.2411 2.481 1.6411 3.0 0.8972
1.8692 -1.455 2.4919 0.6833 3.01 1.1047
0.859 -1.8264 2.7411 0.6173 3.02 1.0333
0.4954 -2.0908 2.6449 1.3704 3.03 1.2176
0.7765 -2.3279 2.7015 2.365 3.04 1.0015
1.4515 -2.5469 2.6808 2.3274 3.05 0.9798
1.6994 -2.4574 2.3367 1.4966 3.06 0.8405
1.6151 -2.4681 2.3816 0.5673 3.07 0.7634
0.925 -2.5688 1.9941 0.6198 3.08 0.5194
-0.0889 -2.7618 2.2366 1.5988 3.09 0.3182
-0.6632 -2.6701 1.9598 2.26 3.1 0.0853
-0.6468 -2.366 1.4908 2.1366 3.11 -0.1326
-0.0623 -2.6983 1.4691 1.5167 3.12 -0.3191
0.7432 -2.2716 1.107 0.5722 3.13 -0.4844
0.9521 -2.1119 0.8912 0.609 3.14 -0.5996
0.6891 -1.8331 0.6941 1.5223 3.15 -0.7528
-0.0282 -1.6101 0.4389 2.2675 3.16 -0.7308
-0.6694 -1.3628 0.1523 2.1245 3.17 -0.7076
-0.6617 -1.238 -0.0707 1.4109 3.18 -0.5863
0.0192 -0.7693 -0.267 0.4434 3.19 -0.5482
0.9297 -0.5245 -0.4408 0.536 3.2 -0.353
1.8013 -0.3124 -0.6722 1.5931 3.21 -0.165
1.9092 -0.0164 -0.7868 2.3043 3.22 0.0449
1.472 0.2179 -0.8749 1.962 3.23 0.2574
0.8837 0.4379 -1.0597 1.0715 3.24 0.4718
0.5997 0.6091 -0.9865 0.342 3.25 0.6369
1.0059 0.8412 -1.0862 0.5534 3.26 0.8665
1.7779 0.9503 -1.1153 1.6427 3.27 1.072
2.3855 0.9449 -1.1622 2.4194 3.28 1.1659
2.9425 0.9714 -1.1545 1.8438 3.29 1.2091
2.3253 1.0541 -0.9959 0.9505 3.3 1.215
1.7398 0.9257 -0.8439 0.2425 3.31 1.072
0.8794 0.8334 -0.7431 0.5226 3.32 0.9319
0.7724 0.6428 -0.654 1.549 3.33 0.813
1.1974 0.5565 -0.502 2.3302 3.34 0.5324
1.9426 0.3371 -0.346 1.8664 3.35 0.3239
2.2578 0.1179 -0.1731 0.8559 3.36 0.0783
1.8823 -0.1506 -0.0056 0.1156 3.37 -0.1871
0.915 -0.4107 0.1633 0.4445 3.38 -0.3994
-0.088 -0.6108 0.364 1.2813 3.39 -0.6286
-0.6391 -0.981 0.4603 2.1129 3.4 -0.826
-0.5193 -1.2373 0.6699 1.6891 3.41 -1.0588
0.1428 -1.517 0.8058 0.594 3.42 -1.0938
0.6625 -1.4992 0.9377 -0.036 3.43 -1.1758
0.7303 -1.954 0.99 0.287 3.44 -1.3167
0.2006 -1.8612 1.1774 1.3415 3.45 -1.1159
-0.6643 -1.9571 1.1591 1.9962 3.46 -1.1064
-1.2949 -2.3054 1.2656 1.4623 3.47 -1.0562
-1.0432 -2.5123 1.231 0.3826 3.48 -0.803
-0.4771 -2.1627 1.3256 -0.2094 3.49 -0.5837
0.4889 -2.2856 1.2068 0.1842 3.5 -0.4156
1.0146 -2.097 1.2284 1.2021 3.51 -0.1935
0.9392 -2.0512 1.132 1.5609 3.52 -0.0264
0.3621 -1.9393 1.2233 1.1889 3.53 0.1431
-0.193 -1.9765 0.9526 0.1982 3.54 0.2279
-0.308 -1.9695 0.9399 -0.359 3.55 0.3366
0.2818 -1.6827 0.9366 0.0802 3.56 0.3348
1.1658 -1.7667 0.8001 1.1431 3.57 0.3591
1.8659 -1.4866 0.6852 1.6412 3.58 0.2759
2.0795 -1.252 0.6183 0.893 3.59 0.13
1.6293 -1.2763 0.4657 -0.05 3.6 -0.0466
0.8118 -1.1234 0.4218 -0.5685 3.61 -0.2277
0.4052 -1.0214 0.3455 -0.0553 3.62 -0.5192
0.4779 -0.9016 0.2969 0.8589 3.63 -0.7338
1.1265 -0.7975 0.2183 1.3462 3.64 -0.9383
1.8661 -0.6704 0.177 0.6771 3.65 -1.0812
2.0866 -0.7022 0.1287 -0.3074 3.66 -1.5381
1.4832 -0.5855 0.1168 -0.7559 3.67 -1.4199
0.5019 -0.6963 0.0841 -0.1836 3.68 -1.5897
-0.4377 -0.7274 0.0973 0.7385 3.69 -1.9273
-0.8703 -0.648 0.1017 1.2518 3.7 -1.6906
-0.5091 -0.7304 0.1228 0.4534 3.71 -1.6402
0.0599 -0.805 0.1411 -0.5464 3.72 -1.7619
0.4771 -0.7822 0.1772 -0.9103 3.73 -1.5449
0.2495 -0.9785 0.2024 -0.3666 3.74 -1.3365
-0.4982 -0.9849 0.2545 0.5671 3.75 -1.0537
-1.426 -1.1101 0.2846 1.0174 3.76 -0.9206
-1.9654 -1.0454 0.3127 0.2079 3.77 -0.5874
-1.7346 -1.0813 0.3479 -0.8112 3.78 -0.363
-0.9671 -1.1123 0.3176 -1.1454 3.79 -0.0955
-0.2844 -1.027 0.3599 -0.5074 3.8 0.1049
0.0314 -1.0239 0.3644 0.4262 3.81 0.2954
-0.2704 -1.0939 0.3576 0.6826 3.82 0.435
-0.9586 -0.9053 0.35 -0.0315 3.83 0.5349
-1.3314 -0.842 0.3271 -1.0821 3.84 0.545
-1.2858 -0.76 0.2335 -1.2981 3.85 0.5674
-0.6127 -0.5836 0.2028 -0.6705 3.86 0.531
0.3279 -0.5006 0.1378 0.3427 3.87 0.3712
1.1175 -0.3981 0.0429 0.4938 3.88 0.2719
1.1515 -0.3097 -0.0548 -0.3063 3.89 0.0967
0.4844 -0.1824 -0.1383 -1.2355 3.9 -0.0753
-0.1871 -0.0673 -0.2447 -1.4022 3.91 -0.2638
-0.5206 0.0251 -0.3628 -0.6885 3.92 -0.4098
-0.1054 0.1005 -0.4638 0.162 3.93 -0.61
0.6287 0.1589 -0.6292 0.2656 3.94 -0.5993
1.2139 0.184 -0.6753 -0.5165 3.95 -0.6891
1.3389 0.1795 -0.7445 -1.3772 3.96 -0.7559
0.7565 0.1595 -0.9618 -1.5447 3.97 -0.6585
-0.1145 0.0901 -0.9556 -0.7859 3.98 -0.5903
-0.834 0.0059 -1.0198 0.0197 3.99 -0.4792
-1.065 -0.1125 -1.1059 0.0879 4.0 -0.2399
-0.5699 -0.2724 -1.2257 -0.8007 4.01 -0.0157
-0.0208 -0.4146 -1.3031 -1.8359 4.02 0.2507
0.2127 -0.5852 -1.2851 -1.8784 4.03 0.5406
-0.2242 -0.8354 -1.1547 -1.0487 4.04 0.8706
-1.2747 -0.9847 -1.017 -0.1269 4.05 1.071
-2.295 -1.2886 -0.9972 -0.1147 4.06 1.2599
-2.4571 -1.587 -0.9918 -1.0059 4.07 1.5273
-2.1838 -1.8192 -0.8108 -1.9373 4.08 1.8555
-1.4218 -1.8664 -0.6904 -2.0587 4.09 2.0513
-0.837 -1.9771 -0.5333 -1.001 4.1 2.1714
-0.8326 -2.1942 -0.3946 -0.2235 4.11 2.0608
-1.249 -2.4656 -0.2145 -0.3211 4.12 2.2003
-2.3035 -2.2438 -0.0173 -1.251 4.13 2.1337
-2.3383 -2.5559 0.1599 -1.9246 4.14 1.7817
-2.459 -2.6865 0.3722 -1.8642 4.15 1.5923
-1.3729 -2.7065 0.5792 -1.1644 4.16 1.4168
-0.4421 -2.3987 0.7973 -0.3686 4.17 1.2568
0.0856 -2.507 0.938 -0.4206 4.18 1.1338
-0.0499 -2.0765 0.9973 -1.2788 4.19 0.9325
-0.6356 -1.8585 1.3029 -2.3587 4.2 0.6021
-1.1827 -1.7027 1.3126 -2.3325 4.21 0.5306
-1.118 -1.6991 1.406 -1.3216 4.22 0.3979
-0.659 -1.4078 1.5143 -0.4829 4.23 0.3253
0.3082 -1.1154 1.5754 -0.5628 4.24 0.3
0.858 -0.6812 1.3966 -1.4442 4.25 0.3317
0.9386 -0.4315 1.5354 -2.2906 4.26 0.4431
0.3121 -0.1148 1.3326 -2.3801 4.27 0.5267
-0.5749 0.157 1.2783 -1.2124 4.28 0.6532
-0.9872 0.4566 1.3612 -0.5086 4.29 0.8995
-1.0611 0.6672 1.0574 -0.7276 4.3 1.0715
-0.4233 0.9284 1.0194 -1.7921 4.31 1.3256
0.1906 1.0685 0.7044 -2.2946 4.32 1.4997
0.2459 1.3455 0.5643 -2.2447 4.33 1.6557
-0.3214 1.4652 0.2706 -1.3816 4.34 1.858
-1.2816 1.402 0.0486 -0.5611 4.35 1.9667
-2.055 1.5566 -0.1881 -0.8842 4.36 1.7198
-2.4784 1.357 -0.4561 -1.9157 4.37 1.9288
-2.0812 1.2744 -0.675 -2.5788 4.38 1.7483
-1.3388 1.2387 -1.0732 -2.139 4.39 1.6866
-0.9281 0.9934 -1.2598 -1.2297 4.4 1.3596
-1.0183 0.8396 -1.4407 -0.6006 4.41 1.2935
-1.9908 0.6936 -1.6951 -1.0332 4.42 1.0076
-2.5393 0.4346 -1.7483 -1.7718 4.43 0.6578
-2.8263 0.2422 -1.9015 -2.6348 4.44 0.3271
-2.4485 -0.0191 -2.0609 -2.0576 4.45 0.0003
-1.5135 -0.2676 -2.2772 -1.1317 4.46 -0.3089
-0.8519 -0.4671 -2.4108 -0.564 4.47 -0.6333
-0.4921 -0.7844 -2.5664 -0.948 4.48 -0.8485
-0.6857 -0.8681 -2.5179 -1.9581 4.49 -0.9967
-1.3149 -1.2519 -2.3593 -2.4392 4.5 -1.2756
-1.6684 -1.3399 -2.2659 -2.0585 4.51 -1.2674
-1.499 -1.4382 -2.4495 -1.2514 4.52 -1.382
-0.7961 -1.6162 -2.0841 -0.6433 4.53 -1.2117
0.2228 -1.6296 -2.1352 -1.1191 4.54 -1.3143
0.8433 -1.7558 -1.655 -2.0234 4.55 -1.0236
0.6916 -1.7934 -1.508 -2.7789 4.56 -1.1084
0.0997 -1.5121 -1.3306 -2.2034 4.57 -0.822
-0.6321 -1.614 -1.1725 -1.0651 4.58 -0.653
