01. 01. 2010		  10e1c0 19857.21884219925
01/01/2010	    	 4f7316 1.8083e+04
2010-01-15	    63c8b5    1.0722e+04
01/15/2010   	347e14  	1.0320e+04
2010-01-15   	 774105 	1.9110e+04
2010-01-16   	 	7783bd   1.5776e+04
2010-01-16 : 	  23f55d    1.8647e+04
16.01.2010  680ce1  1.7451e+04
2010-01-16      216c88 	  1.3766e+04
01/16/2010 	   04baeb 	 19935.195508790803
2010-01-16	   	126b0c  	 17429.27090177427
2010-01-16  	   55d7fa  14130.722220688065
2010-01-17      6b68c0 	15062.487945516606
17. 01. 2010  		904941  1.3540e+04
2010-01-18 	 26922d 1.9174e+04
01/18/2010     5d5974    1.7704e+04
01/18/2010   394b90  1.7616e+04
2010-01-18 : 7545a2 17961.946204987336
18. 01. 2010    64544a  		1.1350e+04
01/18/2010      7f08f8   1.1010e+04
2010-01-18 	   95f14e   18922.59177158931
2010-01-19  :   915052 1.9389e+04
2010-01-19	     	 0266c7 1.4794e+04
2010-01-19       	90b53d    1.7006e+04
01/19/2010    835f25 1.1348e+04
2010-01-19     2977f5	 15568.185007210044
2010-01-19      25919e  1.5821e+04
01/19/2010	   	 41eb59	1.2357e+04
2010-01-20	    7493d2    1.2836e+04
20. 01. 2010       8f151e  	 18689.03048421342
20. 01. 2010 			    2a59f3    1.2379e+04
2010-01-20 	   922bb4	 1.2033e+04
2010-01-20  	7002f3  1.3427e+04
2010-01-20	 	  8435f3   1.6961e+04
20. 01. 2010       603f30   	1.6860e+04
01/20/2010    5ef0a8  1.9215e+04
20.01.2010  	 	 91ab0d 		1.8181e+04
2010-01-20   195b9f   1.9509e+04
2010-01-21    	02729a  1.1473e+04
21. 01. 2010      	 51871f 18883.353328997928
01/21/2010		   	719c0e	 1.3469e+04
2010-01-21  :  00cf08 1.7624e+04
21. 01. 2010  5c8afd 		 1.1465e+04
22. 01. 2010  		 988237	 1.4462e+04
2010-01-22		 		 5f5a0a    1.4544e+04
01/22/2010   		3ab332 1.9216e+04
2010-01-22  	  01316c   1.5392e+04
01/22/2010     72bb22   	1.1691e+04
2010-01-22   96b5b1   1.9556e+04
22.01.2010    	339d3f  1.7052e+04
2010-01-22  68b18c 1.7889e+04
22. 01. 2010  66a13b	  1.3476e+04
23.01.2010		   4b406d 	1.7883e+04
2010-01-23    4a138e 	 	15568.735882285779
23.01.2010	  	   1d9227  1.1528e+04
23.01.2010    23b12b	  1.6356e+04
01/23/2010 		  4cff4b 15985.03223858395
01/23/2010     3823af	1.2631e+04
2010-01-24    8193a2 1.4139e+04
24.01.2010      2377eb		16079.672697043574
2010-01-24     	7f7f63 15576.157102527519
2010-01-24      88215f	  19842.74792418133
25. 01. 2010   		4922f9  	 1.9377e+04
01/25/2010  724253 	 1.1359e+04
25. 01. 2010  	:	  35ec00    1.3845e+04
2010-01-25       1dcb8e  1.1056e+04
2010-01-25   6c7ed4	  1.0091e+04
2010-01-26     	2a72cf 1.7742e+04
01/26/2010      1a0c9b   1011.8974811944487
2010-01-26 		    758bba	  1.7892e+04
2010-01-26	   	   6c64be   1.8913e+04
26.01.2010	 143c87	 1.5750e+04
01/26/2010     589df8	   12231.659078403814
2010-01-26     0db587 1.0429e+04
26. 01. 2010    423cee  13486.392250695797
2010-01-27    3ac583    1.6201e+04
27.01.2010	 	 		46d420	1.2553e+04
01/27/2010 	   2cd45b 1.1799e+04
01/27/2010	 58009c	1.2057e+04
27.01.2010   	 64199c	  1.8632e+04
2010-01-27 	 86206c  1.3045e+04
01/27/2010		 1742ad   	11105.857772870813
2010-01-27      2d66a1	   1.3311e+04
27.01.2010    		0f3f20 1.5345e+04
2010-01-28   	 236b37   1.8962e+04
2010-01-28	 	 	  185be9	5.4745e+02
2010-01-28	  04ff39 	  1.4977e+04
01/28/2010 	 	    206c34    6.0742e+02
2010-01-28		 	  	811726 8.9275e+01
01/29/2010	   7888e4  1.9412e+04
29. 01. 2010     1c7125   1.4764e+04
2010-01-29    : 123d29 1.8693e+04
01/29/2010     51a275 1.8770e+04
2010-01-29	       80e76c 13173.43531780767
2010-01-29 	     38f774   1.3573e+04
2010-01-29  	 8f24db 	1.6279e+04
30.01.2010 	  0a5d4f   1.4792e+04
2010-01-30 	  	 	0d8054    1.0254e+04
2010-01-30     	546e55    1.4283e+04
2010-01-30    02ed1b 14343.198430194856
2010-01-30	 :	5f26ed 	  1.4985e+04
2010-01-30  	   73b921 1.7177e+04
2010-01-30  :   4ccc19 1.3063e+04
2010-01-30    	03b3c5 1.7199e+04
01/30/2010     986de7  1676.1653470328883
2010-01-30   	5d13b1  	1.1037e+04
2010-01-30		      0bacb2  	 1.6981e+04
2010-01-30      1a858e  4.7955e+02
31. 01. 2010    716b4f 1.2654e+04
2010-01-31     	4328ba 1.2492e+04
2010-01-31       5a8ae0  1.3562e+04
31.01.2010  	 7da681  	 2.5420e+02
2010-01-31	 4b84f2   1.4779e+04
31.01.2010    0c88f2 	  1.6285e+04
2010-02-01    	  8baca0	   9.0230e+02
2010-02-01  	 8243b3   16520.218960318933
01.02.2010     	 50db00	 1.8382e+04
2010-02-01       23c110	 1.7933e+04
01.02.2010      08bcf5   1.2926e+04
02. 02. 2010     8610bd  1.7681e+04
02. 02. 2010      95b9ee  1.0507e+04
02/02/2010     8aa64c  1.2688e+04
02. 02. 2010    4ab9a7 	19711.065577989815
2010-02-02 :	  2d189d	 1.6572e+04
02.02.2010 	 30ca11  13944.647781508225
02. 02. 2010  	   2b7c39  1.4108e+04
2010-02-02   	  642275  1.5827e+04
03.02.2010		 	  0410cc   	1.4975e+04
2010-02-03    :	   189372  1.8913e+04
2010-02-03	 	 	   8be40c   5.7700e+02
03. 02. 2010	 658a48   1.4050e+04
02/03/2010   871845 	  1.8071e+04
03.02.2010 	3b50ac 	 1.3528e+04
2010-02-04    	 108fa1	  1.0926e+04
2010-02-04 	 	438e33  1.2682e+04
04.02.2010  83888b   1.8798e+04
04.02.2010 		   	 31a197    11074.491021716212
2010-02-05 	     0cc8a0	  1.4084e+04
2010-02-05    007587  	 1.0091e+04
02/05/2010			   44435b  	1.8075e+04
05.02.2010		 		 4371c7   1.4497e+04
2010-02-05	  	5a06ce 14262.086488702938
2010-02-05	 :  4321d9 1.0597e+04
06.02.2010	  	 86b340 268.38381043586776
2010-02-06   8b27a0 	19100.698601404292
2010-02-06   519fb6 14460.385264924607
02/06/2010     	24015e 	1.6100e+04
2010-02-06	   304e5e   1.8038e+04
02/07/2010   484652	16467.070581574244
02/07/2010  : 52e87b	   1.8675e+04
2010-02-07   02c9d9   1.0030e+04
2010-02-07  	1d1ab7 1.0002e+04
2010-02-08	     64f4d0 1.8777e+04
08.02.2010     	 7d67a8 14101.748387894382
2010-02-08	    145608   1.4278e+04
2010-02-08	       40eec2		 1.2528e+04
2010-02-08   88f283  	1.0754e+04
2010-02-08      690080    1.6340e+04
2010-02-08 	 	 015668  	 1.7058e+04
02/08/2010     82f66c 1.7361e+04
2010-02-08        47826a 11845.982984941345
2010-02-08     937323 	1.7141e+04
08. 02. 2010	   	  1206d3 	11542.322257590367
2010-02-08   93504e    1.3178e+04
09.02.2010    518d13  1.6303e+04
2010-02-09  	 :	46c440 1.0125e+04
2010-02-09  	6a1270   1.7418e+04
09.02.2010	 	  569fa7    1.6471e+04
2010-02-09    7936b8 1.1014e+04
2010-02-09		 85bdbd 1.2291e+04
09.02.2010  	 1b10b7  	 19488.046338535176
09. 02. 2010	 5568b5    1.5940e+04
09.02.2010  65706c 12032.499113056707
2010-02-10     458aa6  1.0849e+04
2010-02-10  : 369668  1.7208e+04
02/10/2010  	 1792ba   1.4671e+04
2010-02-10 	  	310caa  1.9513e+04
02/10/2010 	   272afa 1.1402e+04
11. 02. 2010   613ed6  1.8541e+04
11. 02. 2010   	    2f50a6  1.8326e+04
02/11/2010    415194 1.4164e+04
2010-02-11 	 	  5dfe97   1.5687e+04
11. 02. 2010    	 6c99d0   1.4745e+04
11. 02. 2010      1fb71c  1.9657e+04
11.02.2010      91ab0d  5.9648e+02
2010-02-11    5350c2	   1.7107e+04
2010-02-12	 	  	 73a053	1.3662e+04
2010-02-12	  :	   05cb4c   18463.99953093734
12. 02. 2010	  26871c 16810.03690086205
12.02.2010 	  	 8ac934 1.4584e+04
2010-02-12	  	 457461 1.9985e+04
12.02.2010 	 29a02c 	12404.8316788942
2010-02-12     88ac40  6.5659e+02
12.02.2010 	 440977   1.8441e+04
02/12/2010  		 0331b0	10910.063025597292
12.02.2010  		  0b0ee3 1.9835e+04
2010-02-12   41dbd3	1.0907e+04
13.02.2010  :  3c08d7    1.6147e+04
02/13/2010 :	 	 367d0f 3.7709e+02
02/13/2010    791eac  2.8465e+02
2010-02-13	   4ef9a2 1.4999e+04
2010-02-14   	  180474  1.7665e+04
2010-02-14    :   4ce42c  	1.1030e+04
02/14/2010    	 	511e10 1.7353e+04
2010-02-14    0a936f	 4.5689e+02
2010-02-14   	   419943    1.8363e+04
2010-02-14	   2e3f4f 1.9230e+04
14.02.2010   632ce2  	1.5856e+04
2010-02-14     915ef4	  18988.548480880545
2010-02-15	   0611d4    1.5631e+04
2010-02-15     8f3bfd 1.7883e+04
2010-02-15    	632f77    19285.89700621516
2010-02-15  : 	10dd64   1.6741e+04
15. 02. 2010		     2ca73c  15960.489112636227
15.02.2010 	  563a00  1.8901e+04
2010-02-15 		 	  0fdb57 	 	1.0532e+04
15. 02. 2010    	8891db  		1.3145e+04
15.02.2010       1a6fa3	   1.3469e+04
02/15/2010   006a33   1.7880e+04
2010-02-15     204329   1.5783e+04
02/16/2010	   	 0c8158 1.8982e+04
2010-02-16  		  3e2793   1.7147e+04
16.02.2010   	 2a773d   1.0551e+04
2010-02-16  	  347e14  	 7.2981e+02
16. 02. 2010 	  0578df 1.4985e+04
02/16/2010  3a7a91 12394.983473958746
16. 02. 2010  	  469fe9	  1.8626e+02
2010-02-16 		 51ca93 	  1.1432e+04
02/16/2010      	 69450e	  1618.1987872302295
02/16/2010 	  959faf 1.6245e+04
17.02.2010    02f8d5 1.7801e+04
2010-02-17   	: 2e7043 	  1.8313e+04
2010-02-17    	  31cccc  1.4068e+04
17. 02. 2010 		    7389e3   1.5332e+04
02/17/2010 	: 		362a51 	 	16812.51366836343
02/17/2010  	  0e0a74 	 1.2620e+04
2010-02-18      	0266c7    3.9385e+02
18.02.2010    2f843a    1.8291e+04
2010-02-18   	 66ada4   694.2159520016578
02/18/2010  326038    7.0903e+02
18. 02. 2010			 :	  377fe7    13447.143091895108
02/18/2010  	 6ba545   1.2340e+04
18.02.2010      	005485 18121.52982265668
2010-02-18   32f521 	 6.2541e+02
02/19/2010	   	  8c10d4 1056.3000452330489
2010-02-19   		  66a13b    7.9919e+02
2010-02-19	 		:	   2d57ee 1.4659e+03
2010-02-19		     8313af	 976.1182084171156
2010-02-19 	   96016c	  1.1123e+04
2010-02-19   63e7cc 1.4293e+04
2010-02-19    	7545a2    1.6413e+03
2010-02-20      8268da    1.1052e+04
20.02.2010	  	   	34de28  1.2615e+04
2010-02-20     9368ea  1.2357e+03
02/20/2010    	1ce68a	 1.8023e+04
20.02.2010       96d68a		  1.6064e+04
20. 02. 2010	    	36cd66 1.8678e+04
20. 02. 2010    :   19f940    1.0751e+04
21.02.2010	   :  2b1563   1.0008e+04
2010-02-21    3eebf1   1.3225e+04
02/21/2010   060394   1.9846e+04
21.02.2010     62b1cb   	12913.986942391351
21.02.2010 	      29217a   1.0714e+04
21.02.2010			   66453a    1.1068e+04
02/21/2010			 1c279e  1.8740e+04
02/21/2010      615e85	  	1.8633e+04
2010-02-21			   61237a  	11450.331823643806
2010-02-22	 : 68b18c 4.8973e+00
22. 02. 2010     87a9e8    11277.263665767718
2010-02-22 	 	   	516a4d  	 1.7349e+04
2010-02-22 	   	7f08f8  	 4.5594e+02
2010-02-22    	51871f   469.6700504183847
2010-02-23		     5de5fb   1.9254e+04
2010-02-23  	 	 2745ae	 13039.425937142876
2010-02-23   	 023d93	   1.7374e+04
2010-02-23	     6bfcfe 	1.8641e+04
02/23/2010	      43cc7a  	 1.1239e+04
2010-02-23   	   	6987ed	 	1.7944e+04
2010-02-23	   	92186e  1.8972e+04
2010-02-23  	 649ed4    1.1713e+03
02/23/2010     250ed5   1.4960e+04
23.02.2010   	258fb5 1.7714e+04
24.02.2010      353acc   1.8012e+04
2010-02-24 	 	:  0b16f1    12649.317721962658
2010-02-24   4b406d 2.3898e+02
24. 02. 2010      2b58ae    1.2994e+04
2010-02-24   18be7e	  5.8583e+02
24.02.2010	  	  75c743  1.8636e+04
25. 02. 2010      917f94 1.1843e+04
2010-02-25   53dbf2    14081.572348039166
2010-02-25      746e31 	 1.0175e+04
2010-02-25  	  2cd45b   2.2149e+02
25.02.2010     5eff55 1.5548e+04
25.02.2010  95ae8a 1.8960e+04
25. 02. 2010      607058  3.8800e+02
25.02.2010		  9496e9 9.2304e+01
02/26/2010 	  :    987fd6 1.5706e+04
2010-02-26 :    157d7c    7.3439e+02
2010-02-26    	 72bb22		  1.0711e+03
2010-02-26	  3823af 4.1071e+02
26.02.2010    			6b262a  1.9149e+04
2010-02-26  	  714f50    16390.295113258107
2010-02-27   	036419    1.4536e+04
2010-02-27 		  546e55 1.2816e+03
2010-02-27     6be1fc 1.6386e+04
2010-02-27 	  2bc92e    1.0333e+04
02/28/2010   1a9d61    1.3417e+04
2010-02-28   6268a9 1.4498e+04
28.02.2010     835f25  	1.2141e+02
28.02.2010  	   723c37    1.7372e+04
02/28/2010    	3ac583  28.323868176091782
28. 02. 2010 	      32d927	  1.3082e+04
02/28/2010  		24a52a   1.5003e+04
2010-02-28    51a275	 	8.1547e+02
2010-03-01   5fe774		18615.05134323501
01.03.2010     0bbdd6  1.7648e+04
2010-03-01      511f4d  	18958.298274106357
2010-03-01    	   651752  1.0166e+02
03/01/2010   	   52e14e	 870.5250664982076
03/01/2010   	88611b    1.4128e+04
2010-03-01  	 	573dba  1.4775e+04
02.03.2010  		63c8b5	  	9.3017e+02
2010-03-02	   	 1b4c60 	 9.7290e+00
02. 03. 2010	     90b53d 	  1.5265e+03
02. 03. 2010   67b9b4  	 1.5224e+04
2010-03-02	 		133708  1.6579e+04
03/03/2010  	 6976e7 		 12340.185485321423
03. 03. 2010  	  03b3c5	2.8615e+02
2010-03-03    	0e52db  	 14279.785702930603
2010-03-03 	  02c61d    1.9733e+04
03/03/2010  	8ab7f4   1.6066e+04
03.03.2010   	 1b10b7 	 1.5326e+03
03/03/2010		   2b7c39 	  4.7788e+02
03/03/2010	     50f05e  1.5791e+04
2010-03-03      4e8d9f  7.5307e+02
03/03/2010   08d83b   1.9015e+04
03.03.2010   		  169dc5	 	 1.1539e+04
03/03/2010  	    30c2a2	 	1.0234e+04
2010-03-04       260dc4 1.8113e+04
2010-03-04	  		 434389 1.3886e+04
04.03.2010       387bc6    1.3343e+04
04.03.2010	   	  8147ba 19969.94481116992
2010-03-04  4c6360 1.0627e+04
2010-03-04 			103641	  10708.952098607715
2010-03-04  	   68f296 	 1.0816e+03
03/04/2010       26cd14 	 1.9593e+04
2010-03-04      8193a2   829.2845015253033
03/05/2010 	09d111   1.4615e+04
2010-03-05 	   374228  1.5571e+04
05.03.2010  	07751e  1.4039e+04
2010-03-05	    1420c8  1.1753e+04
05.03.2010 	   4bf8bc   1.3427e+04
05. 03. 2010   891c89 	 1.3097e+04
05.03.2010    	 937323   3.5261e+02
05. 03. 2010	 :	052648   1.5133e+04
2010-03-05  3a34ca   1.2843e+04
05. 03. 2010	  	: 722523   	12617.908513822806
05.03.2010 :	80b53e 272.49119446457865
2010-03-05    	  06d9ef    1.8440e+04
2010-03-05  	  	7d39ac 	1.3193e+04
2010-03-05  	 	378f4f 13009.505500183071
03/06/2010     6a1270	  6.0774e+02
03/06/2010 	 31e814    15980.627562333379
06.03.2010  		9635c4		1.4097e+04
2010-03-06   1edc32 	  1.4395e+04
2010-03-06   	: 	 304ee3 	  1.3509e+04
03/07/2010 			   	33cfc7 1.3577e+04
2010-03-07   	 04204a    1.0266e+04
2010-03-07      2db93d   1.0781e+04
2010-03-07 	    73ffa7   14710.217621874419
03/07/2010    341a79 1.6257e+04
03/08/2010    	8a2ee6  	18968.12480012532
08.03.2010   189372	  1.8083e+03
03/08/2010  :  	 74c1a2    1.6632e+04
08. 03. 2010   7c8609  16255.805052488302
2010-03-09  	3af9dd		 1.4907e+04
2010-03-09 	   394b90 4.6979e+02
2010-03-09    	5d5974	9.2666e+02
2010-03-09	  850c4d 3.6227e+02
2010-03-09  	     2f2026 		 13325.041837877176
03/09/2010   	1d83dc 	  1.2778e+04
09.03.2010 	     471959	 		1.6556e+04
2010-03-09	  8969eb 16753.944819375898
03/09/2010 	 94dac3    1.9412e+04
2010-03-09  6d65e8  	1.0662e+03
09.03.2010 :  64f4d0    2.8663e+02
09.03.2010     587bed 	 1.9821e+02
10. 03. 2010	     10ff0a	  1.3614e+04
03/10/2010 	1206d3	5.5639e+02
2010-03-10   8d95da 1.6391e+04
10. 03. 2010  	3d0e59 		1.5209e+04
03/10/2010     4cce58   1.5822e+04
10. 03. 2010 	    1eeda8   1.0289e+04
03/10/2010 	   4c0fda 	 1.0606e+04
2010-03-10	  	 86206c  3.9687e+02
2010-03-10     1b18ef 	14987.677760460327
2010-03-10	 	  96b5b1		 1921.5992182644902
2010-03-10		  2c6c1c 		 14291.37711584473
03/10/2010      	35d02e  1.1337e+04
10. 03. 2010  	  6b76fc 	1.6892e+04
2010-03-11    	69265d    1.7516e+04
2010-03-11	 	 	70cbfe    14509.022834407608
11.03.2010	     2a849b  	1.6134e+04
2010-03-11	  		2ca73c   	1085.839154581206
2010-03-11 	1605b3	  7.0676e+02
2010-03-11    635825	  	10427.718928851575
11.03.2010     85bdbd 903.3229011965377
2010-03-11	   4ae0f7 3.4020e+01
03/11/2010    :  2c2f39    1.1309e+04
11. 03. 2010     	3bf54d	 1414.067714489908
11. 03. 2010	 	10c425   	1.5195e+04
2010-03-11   265509    1.6240e+04
11. 03. 2010	 	  253511  1.9654e+04
2010-03-12  	 		 183561   19163.792752944708
12. 03. 2010   		8f59c1 1.2498e+04
2010-03-12 		  123d29	 9.1818e+02
2010-03-12    0f3f20	1.3511e+03
2010-03-12    806405 			1.3525e+04
12.03.2010   	 0a5d4f	521.922617009868
2010-03-12   0db587		1011.0738883460357
12. 03. 2010     1809d8 	1.8469e+04
12.03.2010    0e595b  1.0315e+04
03/13/2010		    3406b4 1.5399e+04
13.03.2010   7ad341  	 1.5062e+04
13.03.2010  	   3fc758  1.5880e+04
2010-03-13     08bcf5 7.3218e+02
13. 03. 2010    6820b6 1.7095e+04
2010-03-14 	  125c0c		  1.8781e+04
2010-03-14   	 719c0e    6.5930e+02
2010-03-14	    690080   1.4503e+03
03/14/2010  7389e3    1232.9066723329531
2010-03-14   	  988237    6.4268e+02
2010-03-14       5c938d 1.1199e+04
2010-03-14  	8d4183   1.8727e+04
14.03.2010  	 	  5121e9  1.9512e+04
2010-03-14    7de931 1.0538e+04
2010-03-14 	   	569fa7	 8.2033e+02
03/14/2010				52e87b    5.0462e+02
2010-03-15   582e70   1.1577e+04
2010-03-15      5e998b	1.7748e+04
03/15/2010  6fdbcc	  1.3742e+04
03/15/2010   6d6a79 	 1.8041e+04
15.03.2010		    	957de0 	  1.8747e+04
15.03.2010       26c755 	  1.2458e+04
2010-03-15      05a80b		 14299.160221469096
03/15/2010      63364c 		1.8455e+04
15.03.2010  :  589df8 	  911.3748186188151
03/15/2010   79240b 1.9045e+04
15. 03. 2010 		 	007587 5.8922e+02
2010-03-16	    5f5a0a  	1.0292e+03
03/16/2010     780234   1.4476e+04
2010-03-16 	    2bf080 	 1.3880e+04
16.03.2010    	158364    1.4149e+04
03/16/2010  	 	 4e03f0	 	1.1239e+04
2010-03-16  : 4febc3 		1.6778e+04
16.03.2010    2859d0  	15454.04639218068
03/16/2010     9664b0 	 1.5742e+04
2010-03-17  84481e 		1.5442e+04
2010-03-17  			  29f955  15314.379074626477
2010-03-17	     0f2943   1.5358e+04
17.03.2010		   	  92169f   9.3192e+02
2010-03-17 	  	721df6  1.4946e+04
2010-03-17    57cff2 1.3697e+04
2010-03-17     7c5643  1.7990e+04
17.03.2010   8d5a76 	  1.1473e+04
2010-03-17		42ff0b  	19787.167339586515
2010-03-18  536603	 1.3349e+04
2010-03-18    8ae7d8   1.5225e+04
2010-03-18   44a986   16938.869754497213
2010-03-18 		    76d5a1 1.6362e+04
18.03.2010       9301c0	 1.6305e+04
03/18/2010     0eb5c2   	1.1377e+04
2010-03-18	 75c743	  1.0057e+03
2010-03-18   	:    4a5da9 1678.52558148806
03/18/2010		    	 0410cc   1.0075e+03
03/19/2010  	1d1ab7	2.2768e+01
2010-03-19    61237a 	 5.5349e+02
2010-03-19	   62b1cb	2.0666e+02
2010-03-19 	  	 238308 9.7255e+02
2010-03-19      3e2793 574.3173434927562
2010-03-19     	58f648 	 	1.4905e+04
03/19/2010 	 012ba0   1.2765e+04
19.03.2010    86d30d   	1.6892e+04
2010-03-19	      3c08d7  	4.2750e+02
2010-03-19	 	    	188355 1.0574e+04
19.03.2010  1d97ce  1.9706e+04
2010-03-19		      73b921 3.7550e+02
19. 03. 2010	 	  12d1e2   1.3835e+04
19.03.2010       3214d3 		 1.3966e+04
2010-03-20  	  5ca215 	 1.5234e+04
20.03.2010     0bf9d8   1.7135e+04
20.03.2010      5b92ed			1.4590e+04
2010-03-20      0bacb2	  1.1574e+03
2010-03-20  	  310caa 	5.8893e+02
2010-03-20   	 	61abdf    1.0554e+04
2010-03-20     	 3a3197  	 1.4821e+04
03/20/2010     6a972c  1.0858e+04
03/20/2010     519fb6  		4.3590e+02
20. 03. 2010	 	:  4a49c1 	1.7097e+04
2010-03-20 	    809fb4    1.6708e+04
03/21/2010   	 250ed5  287.88571679780665
2010-03-21	      23c053  	1.4921e+04
21. 03. 2010   		 085513    1.1002e+04
2010-03-21   5b9a83  1.3369e+04
21. 03. 2010   	 1339d6 1.9059e+04
2010-03-21 	 0b1850	1.0275e+04
2010-03-21    662fdd    1.9217e+04
21.03.2010     	3112ee		 17120.83081634303
03/21/2010 	2d66a1 	2.7589e+01
2010-03-21 	 32d8c6   1.2110e+03
03/21/2010  17c96f  1.0170e+04
03/21/2010  	51ef18	16626.572788538662
22. 03. 2010 			4f7316   1.6008e+03
2010-03-22    28150b  1.1109e+04
2010-03-22     41db8e  	1.0185e+04
2010-03-22	      1f2794  1.5143e+04
03/22/2010  	 	758bba 	 	5.7375e+01
22. 03. 2010	  	3ab332 523.8004041232374
03/22/2010  76d15c	  	1.8497e+04
22.03.2010  	7002f3 1.4254e+02
03/22/2010    		36b8a4 	16199.70380356373
2010-03-23  		    5eff55	  383.32978285039565
23.03.2010      3c8bd0	7.5851e+02
03/23/2010 	 	0c04ce 1.9005e+04
2010-03-23  47d1c1   12395.945786656437
03/23/2010 	95a7ca			1.0309e+04
23. 03. 2010  :  7bac1e  1.1165e+04
23. 03. 2010    	 79951c    1.4177e+04
2010-03-23	      05919a  1.3250e+04
2010-03-23     97fc25   1.3212e+04
23.03.2010   	    8fd798 1.4021e+04
2010-03-23     71f465	1.2939e+04
24.03.2010    : 	 95f581  1.7511e+04
03/24/2010    1b6722  	 1.9974e+04
2010-03-24	    8ba05e 16925.467162164987
2010-03-24  		   5dfe97 	 1.1120e+03
03/24/2010  	 10dd64 	7.2262e+02
2010-03-24   0d8054 	8.9275e+02
2010-03-24   8ebbb2 	  1.3394e+04
2010-03-24   3a4808   1.5685e+04
24. 03. 2010	     959f6f 	 1.2671e+04
2010-03-25     8235dd 1.9953e+04
2010-03-25     17199c  4.0153e+02
2010-03-25	    6c7ed4 	 4.9093e+02
2010-03-25     	 680ce1 1.4463e+03
2010-03-25	 		4ab9a7 1.5171e+03
2010-03-25    	627aa4 	 1.9905e+04
2010-03-25  	   82f66c  1.0145e+03
2010-03-26 	      27620c	 1.6615e+04
2010-03-26    126b0c  3.8365e+02
03/26/2010   	46e0eb 1.5087e+04
2010-03-26   	03e31c   8.3910e+02
03/26/2010	     30ca11	   2.8394e+02
03/26/2010  8f3bfd   1.7212e+03
