# label : secret experiment #3487
# y : intensity
#y2 y5 y4 time y1 y3 y6
-1.1071 2.2543 1.4613 0.43 1.8745 0.5162 0.3651
-1.2126 2.6856 1.8323 0.44 1.601 0.2276 0.3547
-1.2445 2.6894 2.4135 0.45 1.3183 0.0496 0.7534
-1.3693 2.8586 2.3807 0.46 1.0725 0.0284 1.4688
-1.2291 2.8731 2.4627 0.47 0.8949 0.1377 1.9709
-1.1738 2.9693 2.08 0.48 0.8117 0.394 2.3746
-1.3144 3.0564 1.888 0.49 0.6242 0.6399 2.0031
-1.3289 2.9784 1.4995 0.5 0.5971 1.0724 1.5555
-1.1383 2.7322 1.05 0.51 0.537 1.26 1.0379
-1.0984 2.8467 0.7006 0.52 0.5394 1.5152 0.4884
-1.1329 2.8932 0.6056 0.53 0.5125 1.5757 0.3995
-1.0661 2.4721 0.5808 0.54 0.642 1.6144 0.8495
-0.978 2.3135 0.9087 0.55 0.7964 1.4768 1.5466
-0.7687 2.4067 1.1323 0.56 0.9323 1.3134 2.127
-0.752 2.1354 1.7121 0.57 1.0989 0.8251 2.5686
-0.5688 2.0999 2.1852 0.58 1.204 0.4449 2.0731
-0.4185 1.7599 2.6 0.59 1.4494 -0.0022 1.9295
-0.3101 1.6897 2.6906 0.6 1.7826 -0.3343 1.1086
-0.1325 1.2889 2.5168 0.61 1.884 -0.5422 0.595
0.0309 1.2785 2.2468 0.62 1.8281 -0.6678 0.4104
0.1878 1.0866 2.0753 0.63 2.155 -0.6113 0.7096
0.389 0.8529 1.6376 0.64 2.0926 -0.5236 1.301
0.5009 0.7046 1.2369 0.65 2.1516 -0.2114 1.9425
0.6354 0.619 0.8904 0.66 2.3759 0.0956 2.545
0.8784 0.4696 0.661 0.67 2.121 0.4288 2.48
1.0215 0.3546 0.7094 0.68 1.8844 0.7178 1.9149
1.1126 0.2586 0.9523 0.69 2.0773 0.9558 1.0969
1.3421 0.2027 1.1983 0.7 1.8786 0.9327 0.6498
1.4739 0.1654 1.6622 0.71 1.4156 0.9416 0.3742
1.579 0.151 2.1398 0.72 1.4419 0.7295 0.6544
1.6027 0.1566 2.52 0.73 0.9943 0.3438 1.091
1.9593 0.2161 2.3658 0.74 0.9262 -0.0278 1.8623
1.7901 0.2509 2.3837 0.75 0.5489 -0.4522 2.3686
1.8804 0.2914 2.4565 0.76 0.4069 -0.7298 2.51
2.049 0.4246 2.0599 0.77 0.1757 -1.0811 2.0089
2.2197 0.4853 1.4534 0.78 -0.0033 -1.1753 1.1784
2.1908 0.6237 1.1925 0.79 -0.1438 -1.1877 0.6565
2.1503 0.6778 0.7655 0.8 -0.2487 -1.1635 0.3136
2.1815 0.7927 0.5431 0.81 -0.2807 -0.8904 0.4274
2.2461 0.844 0.5486 0.82 -0.2948 -0.4944 0.8974
2.3271 1.0338 0.6887 0.83 -0.2516 -0.1261 1.5434
2.0567 1.0366 1.0189 0.84 -0.1691 0.26 2.132
2.32 1.1313 1.5467 0.85 -0.0496 0.4971 2.1533
2.1935 1.2048 1.8461 0.86 0.0936 0.6509 1.8811
2.0511 1.2224 2.2131 0.87 0.272 0.6969 1.2159
1.833 1.1397 2.3568 0.88 0.4564 0.6399 0.5275
1.7297 1.117 2.476 0.89 0.5674 0.4193 0.2137
1.6469 1.2508 2.4818 0.9 0.7708 0.0856 0.2746
1.6413 1.1458 2.037 0.91 0.8808 -0.2624 0.7747
1.7681 1.1426 1.6433 0.92 0.9962 -0.6715 1.263
1.6017 0.9778 0.9824 0.93 1.253 -0.9763 1.786
1.3845 0.8356 0.6983 0.94 1.3298 -1.0763 1.9221
1.3077 0.6942 0.351 0.95 1.1554 -1.1091 1.8228
1.1248 0.5251 0.2943 0.96 1.2112 -0.8999 1.0799
1.11 0.3224 0.3912 0.97 1.133 -0.6737 0.467
1.0211 0.113 0.707 0.98 0.9737 -0.3792 0.052
0.8637 -0.0634 1.1384 0.99 0.944 0.0168 0.0414
0.7194 -0.2647 1.6119 1.0 0.7462 0.441 0.4949
0.6055 -0.4399 1.9244 1.01 0.4986 0.7953 1.156
0.5421 -0.6576 1.9213 1.02 0.3135 1.1767 1.8145
0.3792 -0.8387 2.1579 1.03 0.0798 1.1748 2.0508
0.3338 -0.9949 1.8434 1.04 -0.1491 1.1736 1.5296
0.2298 -1.0735 1.5854 1.05 -0.3966 1.072 1.1521
0.1842 -1.3142 1.3222 1.06 -0.5299 0.8116 0.3895
0.1157 -1.5194 0.7747 1.07 -0.7846 0.5715 -0.1251
0.0628 -1.4785 0.4082 1.08 -0.9125 0.2494 -0.2097
0.0194 -1.6303 0.0971 1.09 -0.9816 -0.0394 0.1525
-0.0163 -1.7053 -0.0182 1.1 -0.8856 -0.2254 0.7781
-0.0445 -1.5107 0.0533 1.11 -1.0528 -0.3334 1.2631
-0.0606 -1.5692 0.3173 1.12 -0.9148 -0.2561 1.6207
-0.0651 -1.7535 0.6444 1.13 -0.8035 -0.0488 1.5876
-0.0521 -1.5863 1.058 1.14 -0.7065 0.277 0.993
-0.0387 -1.3732 1.3854 1.15 -0.5627 0.6658 0.2546
-0.0182 -1.4656 1.6041 1.16 -0.3231 1.1297 -0.2936
0.0148 -1.1661 1.8625 1.17 -0.1325 1.4964 -0.3991
0.0487 -1.1527 1.6825 1.18 0.0977 1.8356 -0.1384
0.0927 -1.0322 1.4005 1.19 0.304 1.9365 0.499
0.1463 -0.7753 0.9235 1.2 0.5183 2.2943 0.982
0.2135 -0.6651 0.56 1.21 0.6858 2.2991 1.5191
0.295 -0.5657 0.1259 1.22 0.781 2.1058 1.4628
0.3327 -0.4387 -0.2064 1.23 0.9898 1.7586 0.8127
0.394 -0.2993 -0.3586 1.24 0.9742 1.3068 0.1575
0.5088 -0.1864 -0.332 1.25 1.0191 0.9968 -0.3879
0.5695 -0.087 -0.1176 1.26 0.976 0.8572 -0.6537
0.6983 -0.0087 0.234 1.27 1.0315 0.6549 -0.4456
0.8007 0.0471 0.597 1.28 0.9336 0.5714 0.1364
0.8439 0.0949 1.1083 1.29 0.7319 0.7428 0.7985
0.9012 0.1163 1.4625 1.3 0.6274 0.9565 1.2405
0.9415 0.0965 1.4452 1.31 0.4206 1.3452 1.103
0.9395 0.0652 1.4749 1.32 0.2863 1.7767 0.7123
1.1616 0.015 1.1222 1.33 0.0773 2.3335 0.0947
1.1658 -0.057 0.7375 1.34 -0.0971 2.4537 -0.5419
1.3094 -0.1411 0.2867 1.35 -0.2501 2.6349 -0.801
1.1887 -0.2505 -0.1257 1.36 -0.4362 3.0893 -0.5899
1.3422 -0.4111 -0.4738 1.37 -0.5529 2.8352 -0.1268
1.2554 -0.5064 -0.6792 1.38 -0.6191 2.8962 0.5347
1.2941 -0.6138 -0.7031 1.39 -0.6163 2.2203 0.9944
1.3003 -0.867 -0.4574 1.4 -0.5568 2.2342 1.1085
1.3723 -0.8957 -0.141 1.41 -0.468 1.6521 0.6487
1.4331 -1.1615 0.2781 1.42 -0.3639 1.51 0.0632
1.4223 -1.1631 0.6387 1.43 -0.2204 1.164 -0.6121
1.5058 -1.2918 0.9724 1.44 -0.037 1.0825 -1.0195
1.49 -1.558 1.1409 1.45 0.1928 1.01 -0.8771
1.5433 -1.5186 1.1051 1.46 0.4095 1.1118 -0.3726
1.4999 -1.6128 0.8472 1.47 0.7015 1.489 0.3049
1.4306 -1.5824 0.5766 1.48 0.9184 1.5771 0.8364
1.362 -1.7706 0.1207 1.49 1.2023 1.9245 0.9646
1.482 -1.7769 -0.3173 1.5 1.4542 2.57 0.6646
1.3096 -1.478 -0.7072 1.51 1.6799 2.9517 0.0802
1.4174 -1.5808 -0.9556 1.52 1.8468 2.9793 -0.5453
1.3396 -1.3384 -0.9815 1.53 1.7982 2.6997 -0.9669
1.2818 -1.374 -0.813 1.54 1.9954 2.5138 -0.9599
1.1659 -1.1099 -0.4649 1.55 2.0301 2.6565 -0.5193
1.1347 -1.0998 -0.028 1.56 1.7613 2.0326 0.1375
1.0881 -0.8983 0.4268 1.57 1.9058 1.5629 0.6963
1.1541 -0.7549 0.7704 1.58 1.7898 1.1911 0.9031
1.0767 -0.6366 0.9522 1.59 1.5701 0.909 0.7821
1.0121 -0.4162 1.003 1.6 1.3531 0.6724 0.1494
1.0825 -0.2183 0.8008 1.61 1.362 0.5296 -0.5548
1.0318 -0.0536 0.4702 1.62 1.1244 0.5938 -0.9496
0.9604 0.1184 0.0728 1.63 0.9197 0.7839 -1.0769
0.969 0.2597 -0.3909 1.64 0.6678 0.9708 -0.572
0.8798 0.4511 -0.752 1.65 0.5609 1.2105 0.044
0.9304 0.5467 -0.9829 1.66 0.4376 1.6313 0.6375
0.9381 0.6715 -1.1069 1.67 0.3871 1.8741 1.0481
0.9113 0.6871 -0.9221 1.68 0.3335 2.2656 0.7555
1.0055 0.7699 -0.6468 1.69 0.307 2.2512 0.3129
0.9402 0.811 -0.2099 1.7 0.351 2.0869 -0.3834
1.0399 0.8424 0.2547 1.71 0.3933 1.9932 -0.9237
1.0027 0.86 0.5956 1.72 0.5683 1.4121 -0.9323
1.0457 0.7641 0.9055 1.73 0.7273 1.1038 -0.689
1.0623 0.6839 0.8903 1.74 0.8781 0.6226 -0.0072
1.0955 0.6419 0.8217 1.75 1.2127 0.2542 0.6355
1.1104 0.4872 0.5575 1.76 1.3697 -0.0576 1.0417
1.0024 0.3617 0.133 1.77 1.6234 -0.279 0.9101
1.1346 0.2526 -0.2758 1.78 1.7587 -0.3094 0.4491
1.0464 0.1254 -0.7328 1.79 1.9878 -0.2102 -0.1888
1.0902 -0.0286 -0.9557 1.8 2.2379 -0.0229 -0.763
1.0975 -0.1841 -1.0451 1.81 2.4289 0.2829 -0.9718
1.0545 -0.3515 -0.835 1.82 2.2191 0.6329 -0.6418
1.1165 -0.4881 -0.6653 1.83 2.3945 0.955 0.0057
1.2391 -0.5619 -0.2228 1.84 2.3105 1.1728 0.6684
1.0343 -0.7376 0.1937 1.85 2.3384 1.3804 1.1341
1.0959 -0.871 0.5775 1.86 2.2955 1.3908 1.0281
1.1845 -0.8385 0.8564 1.87 2.2662 1.2165 0.7425
1.2163 -0.9961 1.1021 1.88 2.2003 0.7893 0.0827
1.1184 -0.9572 0.8899 1.89 1.706 0.4899 -0.4589
1.0629 -1.0442 0.6858 1.9 1.7813 0.1152 -0.7848
0.9749 -1.0137 0.3148 1.91 1.5506 -0.2925 -0.4648
1.0734 -0.9958 -0.0974 1.92 1.1011 -0.6478 0.0724
0.9345 -0.9762 -0.49 1.93 0.9031 -0.7819 0.7825
0.892 -0.78 -0.7989 1.94 0.7793 -1.0131 1.1431
0.8936 -0.804 -0.8148 1.95 0.5758 -0.8928 1.2474
0.9501 -0.6138 -0.8205 1.96 0.4772 -0.7776 0.9486
0.8979 -0.5326 -0.536 1.97 0.3272 -0.4716 0.4051
0.7812 -0.3731 -0.1528 1.98 0.2838 -0.1065 -0.2004
0.7608 -0.2457 0.2679 1.99 0.2676 0.2591 -0.5142
0.648 -0.0855 0.7277 2.0 0.2549 0.5452 -0.3456
0.6607 0.0604 1.1029 2.01 0.3255 0.8124 0.1951
0.5822 0.195 1.1971 2.02 0.4252 0.9066 0.91
0.5431 0.3383 1.0914 2.03 0.5989 0.9561 1.3353
0.4855 0.46 0.9696 2.04 0.6711 0.8243 1.6106
0.4264 0.5679 0.5786 2.05 0.8925 0.4896 1.196
0.3203 0.6552 0.1934 2.06 1.0209 0.1463 0.6802
0.274 0.738 -0.2156 2.07 1.2089 -0.2487 0.1003
0.2119 0.7661 -0.4838 2.08 1.317 -0.6031 -0.2631
0.1509 0.7985 -0.698 2.09 1.4013 -0.8192 -0.1729
0.1089 0.7711 -0.5806 2.1 1.6891 -0.9617 0.3248
0.0761 0.7889 -0.3814 2.11 1.7854 -0.8884 0.9688
0.0316 0.6448 -0.008 2.12 1.8729 -0.8202 1.5227
0.0008 0.5719 0.4006 2.13 1.691 -0.5146 1.6773
-0.0224 0.5345 0.8995 2.14 1.7171 -0.1155 1.6567
-0.0405 0.3606 1.1891 2.15 1.5877 0.293 1.0028
-0.051 0.2671 1.4535 2.16 1.5017 0.6461 0.4085
-0.0593 0.1008 1.3325 2.17 1.1944 1.0261 0.0388
-0.0501 -0.053 1.3549 2.18 0.9248 1.3329 0.0441
-0.0383 -0.2217 0.8775 2.19 0.7275 1.3464 0.4414
-0.0171 -0.3929 0.5373 2.2 0.4308 1.1684 1.1504
0.0113 -0.6038 0.133 2.21 0.1871 1.0777 1.679
0.0449 -0.78 -0.1863 2.22 -0.0923 0.7612 2.0473
0.0947 -0.8686 -0.3464 2.23 -0.366 0.5145 1.8164
0.1585 -1.0881 -0.3835 2.24 -0.5271 0.1619 1.4075
0.2014 -1.3293 -0.1683 2.25 -0.7124 -0.093 0.834
0.2942 -1.4783 0.164 2.26 -0.8877 -0.2536 0.3143
0.3396 -1.4689 0.6557 2.27 -0.9304 -0.2929 0.2514
0.3908 -1.4688 1.1666 2.28 -1.0436 -0.1921 0.6727
0.4595 -1.6752 1.5087 2.29 -1.0258 0.0643 1.2793
0.5947 -1.7206 1.6165 2.3 -1.097 0.4515 1.8902
0.7509 -1.7432 1.7574 2.31 -1.0615 0.9025 2.5087
0.8406 -1.7297 1.7043 2.32 -0.9592 1.1705 2.3744
0.9556 -1.4964 1.3924 2.33 -0.7563 1.6257 1.7272
0.9935 -1.5142 0.8469 2.34 -0.6884 1.7712 1.0911
1.1426 -1.3454 0.4205 2.35 -0.5332 1.918 0.6386
1.2644 -1.2231 0.0974 2.36 -0.3203 2.0355 0.4629
1.1528 -1.1621 -0.1062 2.37 -0.1805 1.9535 0.8123
1.3448 -1.1024 -0.1332 2.38 -0.0606 1.8298 1.4096
1.422 -0.979 0.0183 2.39 0.0463 1.5551 2.2758
1.611 -0.8571 0.3573 2.4 0.1326 1.1943 2.2923
1.5317 -0.6742 0.8312 2.41 0.1745 0.7325 2.5921
1.692 -0.485 1.2733 2.42 0.1616 0.6183 2.188
1.6045 -0.3433 1.5893 2.43 0.1165 0.4424 1.3079
1.6341 -0.2278 2.0065 2.44 0.0195 0.4323 0.9175
1.8054 -0.135 1.8196 2.45 -0.1199 0.6663 0.6249
1.6233 -0.0269 1.7296 2.46 -0.2796 0.8837 0.9171
1.7989 0.0528 1.6756 2.47 -0.5097 1.3924 1.5805
1.756 0.128 1.1267 2.48 -0.7005 1.5557 2.2777
1.5891 0.1727 0.7305 2.49 -1.054 2.2213 2.5937
1.7394 0.1832 0.3734 2.5 -1.1669 2.2688 2.6037
1.7384 0.1865 0.0925 2.51 -1.5347 2.439 2.5098
1.7086 0.1364 0.0205 2.52 -1.8093 2.6984 1.754
1.3666 0.088 0.1385 2.53 -1.7497 2.7586 1.0261
1.3524 0.0202 0.4187 2.54 -2.1017 2.1311 0.7302
1.3529 -0.0645 0.8113 2.55 -2.2523 2.0962 0.9262
1.2236 -0.1902 1.2366 2.56 -2.2194 1.5103 1.6161
1.0509 -0.2764 1.5459 2.57 -2.1812 1.2388 2.1178
0.9759 -0.4147 2.1417 2.58 -2.4427 1.0368 2.5459
0.8975 -0.6046 2.1688 2.59 -2.1803 0.7031 2.7025
0.7797 -0.6718 2.0448 2.6 -2.4574 0.6036 2.6309
0.6121 -0.8651 1.559 2.61 -2.1329 0.6206 1.8573
0.441 -0.9758 1.2909 2.62 -2.2374 0.8613 1.3
0.3126 -1.0454 0.9685 2.63 -1.9439 1.0772 0.833
0.144 -1.2008 0.485 2.64 -1.8336 1.3284 0.9585
-0.0174 -1.2478 0.1961 2.65 -1.4543 1.8473 1.3743
-0.1831 -1.3579 0.0679 2.66 -1.2203 2.1003 1.9762
-0.304 -1.4219 0.1286 2.67 -1.1865 2.4732 2.7912
-0.4961 -1.5782 0.3856 2.68 -0.9641 2.4423 2.7835
-0.6664 -1.3548 0.6933 2.69 -0.7511 2.5913 2.7065
-0.6976 -1.5486 1.2721 2.7 -0.7581 2.2215 1.8201
-0.9143 -1.2795 1.6622 2.71 -0.6162 1.9516 1.2941
-1.0432 -1.3293 1.9523 2.72 -0.6193 1.3976 0.8408
-1.2315 -1.3081 1.9161 2.73 -0.6811 1.0136 0.9729
-1.108 -1.063 2.1169 2.74 -0.7921 0.5648 1.3218
-1.1969 -1.0166 1.727 2.75 -0.8036 0.2773 2.0172
-1.4798 -0.816 1.4689 2.76 -0.9296 0.0852 2.7912
-1.5078 -0.7344 0.9115 2.77 -1.1727 0.0146 2.8111
-1.5374 -0.4574 0.4379 2.78 -1.4236 0.0844 2.7725
-1.6148 -0.2713 0.1327 2.79 -1.4186 0.2956 1.9241
-1.5376 -0.0964 -0.0227 2.8 -1.6316 0.5867 1.3619
-1.4293 0.1072 -0.0016 2.81 -1.9806 0.8464 0.9582
-1.5997 0.3063 0.2095 2.82 -2.2735 1.1856 0.8732
-1.6188 0.5171 0.5406 2.83 -2.3826 1.3037 1.2303
-1.4359 0.6829 1.0343 2.84 -2.2033 1.5377 1.7551
-1.4143 0.911 1.3365 2.85 -2.3911 1.3832 2.2621
-1.3836 1.0891 1.7098 2.86 -2.5956 1.3467 2.8913
-1.3103 1.2442 1.8659 2.87 -2.7141 1.0387 2.491
-1.0945 1.2247 1.847 2.88 -2.3353 0.6725 2.0388
-0.9949 1.4715 1.6288 2.89 -2.4952 0.2671 1.3485
-0.9773 1.44 1.1711 2.9 -1.9492 -0.1657 0.8181
-0.7885 1.5816 0.8177 2.91 -2.0035 -0.5429 0.6707
-0.6028 1.4659 0.3252 2.92 -1.5868 -0.8585 0.8451
-0.5151 1.4174 -0.0463 2.93 -1.4542 -0.9235 1.5871
-0.3549 1.5736 -0.2588 2.94 -1.2047 -1.0772 2.2249
-0.2129 1.3192 -0.2859 2.95 -1.1034 -0.9039 2.6288
-0.0355 1.2214 -0.1149 2.96 -0.8393 -0.6583 2.5726
0.1292 1.1432 0.1887 2.97 -0.6256 -0.286 2.0219
0.2978 1.0768 0.5701 2.98 -0.4198 0.013 1.2386
0.4291 1.1025 0.9118 2.99 -0.221 0.2702 0.6424
0.6474 0.8985 1.2988 3.0 -0.1177 0.4989 0.4094
0.7519 0.7782 1.3829 3.01 -0.0562 0.5456 0.6449
0.9828 0.7225 1.4405 3.02 -0.0341 0.549 1.3076
1.0962 0.6245 1.2083 3.03 -0.0483 0.328 1.83
1.1443 0.4893 0.9486 3.04 -0.1053 -0.004 2.2844
1.3174 0.4759 0.5029 3.05 -0.2045 -0.3642 2.2221
1.4176 0.412 0.023 3.06 -0.3312 -0.738 1.9684
1.531 0.3606 -0.37 3.07 -0.5265 -1.1301 1.2245
1.4145 0.3168 -0.6721 3.08 -0.7068 -1.3859 0.5134
1.6704 0.3163 -0.728 3.09 -0.8035 -1.5995 0.1749
1.5862 0.3744 -0.5789 3.1 -0.9858 -1.7896 0.2876
1.5282 0.3922 -0.3105 3.11 -1.1782 -1.498 0.7907
1.6887 0.4795 0.0813 3.12 -1.3197 -1.387 1.3726
1.7747 0.5216 0.4886 3.13 -1.5511 -1.0912 2.0234
1.799 0.665 0.8547 3.14 -1.5475 -0.717 1.944
1.5583 0.8361 1.1126 3.15 -1.6285 -0.3778 1.5181
1.4431 1.0449 1.0341 3.16 -1.4 -0.0942 1.0384
1.4441 1.0144 0.8758 3.17 -1.5531 0.086 0.3215
1.3392 1.1857 0.5514 3.18 -1.441 0.1338 -0.0883
1.3564 1.3374 0.1045 3.19 -1.2863 0.0582 -0.0326
1.1785 1.6336 -0.3971 3.2 -1.0782 -0.1481 0.382
1.0566 1.6538 -0.7191 3.21 -0.8177 -0.4658 1.0652
0.8406 2.1724 -1.1506 3.22 -0.6345 -0.8709 1.5472
0.7302 2.3806 -1.103 3.23 -0.4041 -1.1293 1.6669
0.501 2.406 -1.1741 3.24 -0.1296 -1.6074 1.2904
0.3487 2.3159 -0.8782 3.25 0.1002 -1.6098 0.7697
0.139 2.8347 -0.547 3.26 0.3463 -1.6062 0.0812
-0.0626 2.8139 -0.0952 3.27 0.4832 -1.6095 -0.4067
-0.2348 2.8973 0.2271 3.28 0.6321 -1.5561 -0.4277
-0.4687 2.7771 0.4494 3.29 0.7115 -1.1486 0.0111
-0.677 2.6579 0.5454 3.3 0.8675 -0.7877 0.6389
-0.7685 2.8607 0.4139 3.31 0.8411 -0.3682 1.242
-0.9611 2.7137 0.0933 3.32 0.8666 -0.005 1.455
-1.2419 2.6694 -0.316 3.33 0.7942 0.3033 1.102
-1.4397 2.5236 -0.7351 3.34 0.7516 0.4302 0.5832
-1.7446 2.596 -1.2574 3.35 0.5106 0.4882 -0.1307
-1.9206 2.4074 -1.7102 3.36 0.3553 0.3513 -0.6029
-1.7582 2.4985 -1.8242 3.37 0.1775 0.1357 -0.7241
-2.0588 2.0719 -1.5808 3.38 -0.0049 -0.172 -0.3729
-2.0268 2.0523 -1.4925 3.39 -0.226 -0.515 0.2101
-2.1365 1.7231 -1.0733 3.4 -0.431 -0.8264 0.7508
-2.4674 1.4943 -0.747 3.41 -0.5658 -1.0114 1.0264
-2.2195 1.3742 -0.3489 3.42 -0.6935 -1.1578 0.8493
-2.3699 1.1511 -0.0754 3.43 -0.9182 -1.2574 0.3722
-2.4736 1.0294 0.0264 3.44 -0.8811 -0.9159 -0.3513
-2.3756 0.9624 -0.066 3.45 -0.9148 -0.6962 -0.8634
-2.7141 0.8089 -0.3442 3.46 -1.0536 -0.345 -0.9981
-2.4796 0.6989 -0.7517 3.47 -0.9367 0.104 -0.7233
-2.3994 0.5666 -1.2315 3.48 -0.8733 0.4705 -0.1804
-2.3993 0.5474 -1.8191 3.49 -0.7067 0.9329 0.4519
-2.497 0.4675 -1.8304 3.5 -0.5411 1.1325 0.7876
-2.2264 0.3854 -2.3994 3.51 -0.416 1.1081 0.6289
-2.1839 0.4369 -2.3776 3.52 -0.1931 1.1698 0.1698
-2.1192 0.3892 -2.1089 3.53 0.0151 1.0289 -0.5242
-1.7791 0.4159 -1.6628 3.54 0.2266 0.7654 -1.0686
-1.7456 0.4909 -1.1547 3.55 0.4238 0.4075 -1.3305
-1.788 0.5804 -0.9615 3.56 0.5837 0.0369 -1.1538
-1.6501 0.6156 -0.5512 3.57 0.6695 -0.2298 -0.5534
-1.2101 0.7343 -0.4631 3.58 0.7219 -0.4161 0.0953
-1.2053 0.8406 -0.4951 3.59 0.8203 -0.5545 0.5457
-1.0528 1.0186 -0.7388 3.6 0.837 -0.4557 0.48
-0.7592 1.0325 -1.0585 3.61 0.865 -0.262 0.0473
-0.6409 1.2451 -1.5139 3.62 0.7372 0.0772 -0.5695
-0.4546 1.2322 -2.0202 3.63 0.5909 0.455 -1.1646
-0.2528 1.1805 -2.3909 3.64 0.4482 0.8048 -1.6887
-0.1015 1.2661 -2.4502 3.65 0.2184 1.2998 -1.3505
0.0669 1.3962 -2.3944 3.66 -0.0092 1.4204 -0.9428
0.2317 1.304 -2.3874 3.67 -0.2288 1.5749 -0.2211
0.4002 1.35 -2.2682 3.68 -0.4583 1.5226 0.2705
0.516 1.4458 -1.8511 3.69 -0.7671 1.5981 0.3341
0.6514 1.3027 -1.2684 3.7 -0.9 1.1471 -0.0402
0.756 1.388 -0.8994 3.71 -1.0458 0.9258 -0.7475
0.863 1.1613 -0.8159 3.72 -1.2287 0.4715 -1.3202
0.9626 1.1112 -0.786 3.73 -1.5738 0.1139 -1.5945
0.9162 0.9928 -0.9028 3.74 -1.6825 -0.2002 -1.4698
0.9745 0.825 -1.2719 3.75 -1.4328 -0.3511 -1.0542
1.0997 0.6279 -1.6228 3.76 -1.6211 -0.3923 -0.4841
1.1783 0.3935 -2.1078 3.77 -1.5106 -0.3181 0.0658
1.1299 0.1609 -2.8518 3.78 -1.4605 -0.1019 0.2238
1.0289 -0.0495 -2.7506 3.79 -1.2945 0.1806 -0.0817
1.0955 -0.2852 -3.0216 3.8 -1.2163 0.5442 -0.7039
1.0349 -0.4597 -2.4585 3.81 -0.9599 0.8568 -1.2556
0.9126 -0.743 -2.5852 3.82 -0.8413 1.1374 -1.6401
0.7733 -0.8469 -2.0722 3.83 -0.6347 1.434 -1.6405
0.6591 -1.1246 -1.4917 3.84 -0.4515 1.3596 -1.3818
0.6188 -1.4178 -1.155 3.85 -0.2883 1.2747 -0.5945
0.4936 -1.3749 -0.9847 3.86 -0.2019 0.9245 -0.0619
0.3431 -1.5836 -0.9826 3.87 -0.0961 0.6059 0.1746
0.1935 -1.9142 -1.1313 3.88 -0.0357 0.1927 -0.0592
0.0367 -1.9295 -1.482 3.89 -0.0182 -0.2436 -0.6035
-0.1289 -2.0482 -1.7172 3.9 -0.052 -0.6613 -1.2099
-0.3204 -2.1207 -2.129 3.91 -0.1128 -0.9018 -1.6681
-0.5137 -2.0423 -2.4822 3.92 -0.2225 -1.0178 -1.8203
-0.6221 -2.1193 -3.1416 3.93 -0.3745 -1.1346 -1.4119
