# x : time signal
# y : intensity
# label : secret experiment #5834
#y2 time y3 y1
-0.8885 1.46 -0.3906 -1.3679
-0.7353 1.47 -0.4747 -1.3174
-0.6592 1.48 0.055 -1.279
-0.6851 1.49 0.7929 -1.0529
-0.576 1.5 1.362 -1.0693
-0.4463 1.51 1.2196 -0.8859
-0.3232 1.52 0.4548 -0.8716
-0.22 1.53 -0.3173 -0.6901
-0.0732 1.54 -0.8384 -0.6815
0.0739 1.55 -0.7141 -0.5059
0.2249 1.56 -0.1663 -0.4351
0.3592 1.57 0.6239 -0.3251
0.4966 1.58 1.0261 -0.2879
0.6888 1.59 0.7252 -0.1673
0.8469 1.6 0.109 -0.1063
0.9624 1.61 -0.7233 -0.0529
1.0809 1.62 -1.1082 -0.0057
1.1145 1.63 -0.7528 0.0303
1.2168 1.64 -0.1148 0.0597
1.2891 1.65 0.6733 0.0594
1.3673 1.66 0.8841 0.061
1.715 1.67 0.7394 0.0429
1.6668 1.68 -0.0239 0.008
1.5647 1.69 -0.7748 -0.0348
1.5974 1.7 -0.9561 -0.0951
1.7959 1.71 -0.6147 -0.1775
1.9006 1.72 0.1995 -0.2682
1.6635 1.73 1.0062 -0.3781
1.9275 1.74 1.2148 -0.4451
1.8613 1.75 0.8515 -0.586
1.6391 1.76 0.1268 -0.6171
1.6721 1.77 -0.5057 -0.8282
1.6278 1.78 -0.6198 -0.9115
1.5706 1.79 -0.1061 -1.0213
1.4407 1.8 0.7003 -1.1307
1.3801 1.81 1.4693 -1.2823
1.3166 1.82 1.4858 -1.5339
1.1175 1.83 1.1981 -1.4048
1.1078 1.84 0.4155 -1.5729
1.0072 1.85 -0.0662 -1.8874
0.8086 1.86 -0.0469 -1.9982
0.7861 1.87 0.546 -1.8895
0.6708 1.88 1.3679 -1.782
0.5268 1.89 1.9609 -1.9128
0.4644 1.9 1.9497 -2.1716
0.429 1.91 1.4579 -2.1817
0.3691 1.92 0.7858 -1.8458
0.3136 1.93 0.4171 -2.1076
0.3167 1.94 0.5097 -1.87
0.2806 1.95 1.284 -2.0476
0.258 1.96 2.0965 -1.9199
0.2427 1.97 2.811 -1.912
0.2842 1.98 2.6608 -1.5976
0.301 1.99 1.8061 -1.5968
0.3543 2.0 1.1002 -1.3459
0.4364 2.01 0.8797 -1.4657
0.4652 2.02 1.1154 -1.3457
0.5668 2.03 1.7134 -1.0621
0.6765 2.04 2.5959 -1.0699
0.8002 2.05 2.9316 -0.7639
0.8528 2.06 2.7028 -0.651
0.933 2.07 1.8461 -0.5379
1.0809 2.08 1.2254 -0.4841
1.1908 2.09 0.9482 -0.3154
1.1729 2.1 1.1937 -0.226
1.3937 2.11 2.2044 -0.1105
1.5948 2.12 2.6113 -0.004
1.6402 2.13 2.8137 0.0814
1.6711 2.14 2.5613 0.1623
1.8372 2.15 1.9112 0.2145
1.8745 2.16 1.1687 0.2569
1.944 2.17 0.9891 0.3074
2.0457 2.18 1.3708 0.3039
2.106 2.19 1.844 0.3145
1.9663 2.2 2.3863 0.2654
1.9926 2.21 2.9414 0.2698
2.0102 2.22 2.465 0.2199
1.9942 2.23 1.4747 0.1696
1.7574 2.24 0.7588 0.0945
2.0263 2.25 0.6139 0.0213
1.6183 2.26 0.9996 -0.0708
1.735 2.27 1.703 -0.1673
1.6556 2.28 2.2197 -0.2761
1.4152 2.29 2.2455 -0.3615
1.4135 2.3 1.7388 -0.4563
1.1717 2.31 0.7299 -0.6114
1.1709 2.32 0.2045 -0.642
1.0265 2.33 0.154 -0.7466
0.881 2.34 0.6433 -0.7899
0.6063 2.35 1.3031 -0.9497
0.4532 2.36 1.7371 -1.0096
0.3192 2.37 1.6489 -1.1157
0.1438 2.38 0.9219 -1.0841
-0.0055 2.39 0.1325 -1.1811
-0.1465 2.4 -0.3935 -1.2238
-0.2816 2.41 -0.2804 -1.2221
-0.4876 2.42 0.3251 -1.2366
-0.6098 2.43 0.9908 -1.3184
-0.6736 2.44 1.235 -1.3071
-0.8679 2.45 1.0744 -1.2585
-0.8816 2.46 0.3465 -1.2247
-0.9416 2.47 -0.4563 -1.0004
-0.9901 2.48 -0.7721 -0.9869
-1.1624 2.49 -0.6242 -0.9191
-1.2044 2.5 0.0658 -0.7545
-1.3166 2.51 0.8042 -0.62
-1.1162 2.52 1.111 -0.5211
-1.2111 2.53 0.7145 -0.4145
-1.316 2.54 -0.073 -0.2827
-1.1588 2.55 -0.7836 -0.1449
-1.1173 2.56 -1.0362 -0.0224
-1.1298 2.57 -0.6251 0.1144
-1.1055 2.58 0.0635 0.2266
-1.0218 2.59 0.7083 0.3715
-0.9304 2.6 0.86 0.5161
-0.9465 2.61 0.4917 0.5872
-0.8678 2.62 -0.2499 0.701
-0.787 2.63 -0.8958 0.8223
-0.7104 2.64 -0.9804 0.9498
-0.5846 2.65 -0.4226 0.9923
-0.4943 2.66 0.3365 0.9853
-0.487 2.67 1.0806 0.9559
-0.3913 2.68 1.0443 0.9503
-0.357 2.69 0.564 1.0611
-0.3105 2.7 -0.1059 0.9598
-0.3136 2.71 -0.5732 1.0365
-0.2787 2.72 -0.5855 0.8744
-0.3025 2.73 0.0117 0.886
-0.3284 2.74 0.9156 0.7867
-0.3062 2.75 1.4972 0.7689
-0.3624 2.76 1.5606 0.6548
-0.4491 2.77 0.9933 0.5736
-0.4898 2.78 0.1971 0.4711
-0.5655 2.79 -0.2276 0.3476
-0.6977 2.8 -0.0556 0.2101
-0.777 2.81 0.5906 0.0866
-0.9365 2.82 1.3706 -0.0306
-0.9108 2.83 2.0702 -0.1482
-1.0033 2.84 1.9589 -0.266
-1.2443 2.85 1.2468 -0.4169
-1.3085 2.86 0.539 -0.5135
-1.654 2.87 0.2324 -0.589
-1.7256 2.88 0.4926 -0.6265
-1.816 2.89 1.3663 -0.8291
-1.9943 2.9 1.9032 -0.7639
-2.1637 2.91 2.498 -0.8719
-2.1646 2.92 2.2688 -0.8835
-2.1456 2.93 1.4071 -1.073
-2.5 2.94 0.9033 -0.9381
-2.7221 2.95 0.6368 -1.0926
-2.8293 2.96 0.9165 -0.9314
-2.8417 2.97 1.6058 -0.9487
-2.6294 2.98 2.2968 -0.9684
-2.6688 2.99 2.7604 -0.8346
-2.9066 3.0 2.4564 -0.7734
-2.9578 3.01 1.7646 -0.7649
-3.0041 3.02 0.8806 -0.6161
-2.5759 3.03 0.7497 -0.4778
-2.7901 3.04 1.2646 -0.4191
-2.6265 3.05 2.0038 -0.2834
-2.8799 3.06 2.8072 -0.1841
-2.7679 3.07 2.9571 -0.0901
-2.5399 3.08 2.1025 0.0243
-2.408 3.09 1.293 0.1251
-2.1458 3.1 0.7202 0.2207
-2.0519 3.11 0.7495 0.3545
-1.9263 3.12 1.2604 0.4109
-1.9741 3.13 1.9125 0.4884
-1.7907 3.14 2.6536 0.5471
-1.5004 3.15 2.5269 0.593
-1.417 3.16 1.7441 0.7246
-1.477 3.17 0.8577 0.7233
-1.307 3.18 0.3659 0.684
-1.122 3.19 0.3497 0.7489
-1.0793 3.2 0.9684 0.746
-0.7859 3.21 1.4987 0.7182
-0.7614 3.22 2.011 0.6056
-0.5999 3.23 1.762 0.6106
-0.5924 3.24 1.2358 0.5789
-0.4917 3.25 0.2995 0.4884
-0.4454 3.26 -0.2094 0.4088
-0.3882 3.27 -0.0896 0.2752
-0.3726 3.28 0.5368 0.1689
-0.3466 3.29 1.1088 0.0384
-0.2872 3.3 1.4613 -0.0872
-0.3124 3.31 1.1371 -0.2257
-0.3236 3.32 0.3727 -0.3487
-0.373 3.33 -0.3858 -0.4851
-0.3889 3.34 -0.8325 -0.656
-0.4427 3.35 -0.5571 -0.6961
-0.5523 3.36 0.0867 -0.8291
-0.6356 3.37 0.7453 -0.9913
-0.7049 3.38 0.9704 -1.0838
-0.7158 3.39 0.5211 -1.263
-0.8313 3.4 -0.2564 -1.2861
-0.9607 3.41 -0.9471 -1.2492
-1.0342 3.42 -1.1872 -1.5291
-1.1394 3.43 -0.8988 -1.3684
-1.2066 3.44 -0.1845 -1.4957
-1.2573 3.45 0.4828 -1.6024
-1.2104 3.46 0.5326 -1.361
-1.2979 3.47 0.1006 -1.428
-1.5229 3.48 -0.7488 -1.4594
-1.5037 3.49 -1.2308 -1.4938
-1.3287 3.5 -1.5697 -1.3562
-1.5538 3.51 -0.8912 -1.2019
-1.6066 3.52 -0.1984 -1.1472
-1.4705 3.53 0.4063 -0.9853
-1.4644 3.54 0.4505 -1.0133
-1.4675 3.55 -0.0845 -0.7833
-1.4065 3.56 -0.8456 -0.7412
-1.3803 3.57 -1.3738 -0.6566
-1.2363 3.58 -1.3614 -0.4591
-1.0955 3.59 -0.6823 -0.3435
-1.0094 3.6 0.0564 -0.2414
-0.8054 3.61 0.5716 -0.1268
-0.8008 3.62 0.5247 0.0002
-0.6014 3.63 -0.0237 0.1026
-0.4929 3.64 -0.6886 0.2083
-0.3307 3.65 -1.1513 0.3246
-0.2001 3.66 -0.941 0.3914
-0.0567 3.67 -0.2584 0.4228
0.0859 3.68 0.5132 0.5114
0.2064 3.69 1.0856 0.5067
0.3368 3.7 0.8601 0.6388
0.4775 3.71 0.2164 0.5628
0.5469 3.72 -0.4531 0.5927
0.751 3.73 -0.786 0.5871
0.8533 3.74 -0.4579 0.52
0.9463 3.75 0.3028 0.5572
0.9798 3.76 1.0247 0.467
1.1297 3.77 1.5528 0.4281
1.0874 3.78 1.1666 0.3312
1.224 3.79 0.6088 0.21
1.0683 3.8 -0.0984 0.1285
1.1111 3.81 -0.296 0.0451
1.2252 3.82 0.1323 -0.055
1.1723 3.83 0.9849 -0.1467
1.1382 3.84 1.6871 -0.2682
0.9105 3.85 1.9553 -0.3357
1.0109 3.86 1.4141 -0.4998
0.7707 3.87 0.8545 -0.5154
0.7254 3.88 0.1982 -0.7034
0.6849 3.89 0.0927 -0.715
0.5973 3.9 0.5501 -0.8531
0.4696 3.91 1.3872 -0.8117
0.289 3.92 1.8772 -0.9828
0.179 3.93 2.0501 -0.8653
0.0469 3.94 1.5763 -0.9984
-0.0695 3.95 0.8612 -0.9834
-0.1945 3.96 0.2493 -0.8497
-0.3429 3.97 0.2259 -0.8275
-0.4204 3.98 0.8152 -0.8483
-0.5812 3.99 1.6691 -0.8534
-0.6429 4.0 2.1986 -0.7485
-0.8164 4.01 1.8893 -0.6069
-0.8197 4.02 1.5459 -0.587
-0.9858 4.03 0.6111 -0.4691
-0.9999 4.04 0.0942 -0.3223
-1.0392 4.05 0.1479 -0.1824
-0.9728 4.06 0.7653 -0.0386
-1.1233 4.07 1.4587 0.1016
-1.0023 4.08 1.7329 0.2545
-1.0147 4.09 1.7651 0.3692
-0.9831 4.1 0.9153 0.5404
-0.9494 4.11 0.1442 0.7096
-0.8761 4.12 -0.2932 0.8962
-0.9711 4.13 -0.1871 1.0127
-0.9096 4.14 0.4939 1.0202
-0.685 4.15 1.1269 1.3683
-0.6798 4.16 1.5171 1.4952
-0.5456 4.17 1.1404 1.566
-0.4723 4.18 0.2977 1.695
-0.437 4.19 -0.495 1.5848
-0.3057 4.2 -0.8188 1.6881
-0.2233 4.21 -0.6966 1.9095
-0.1113 4.22 0.0273 1.7099
-0.0333 4.23 0.6446 1.8091
0.0499 4.24 0.886 1.735
0.1282 4.25 0.3621 1.9304
0.1823 4.26 -0.4341 1.9461
0.2385 4.27 -1.2072 1.6473
0.2973 4.28 -1.4583 1.6378
0.302 4.29 -1.0554 1.4657
0.3367 4.3 -0.3873 1.4959
0.3599 4.31 0.1739 1.5628
0.3736 4.32 0.2506 1.3897
0.3007 4.33 -0.2877 1.2123
0.2789 4.34 -1.1263 1.2291
0.2594 4.35 -1.8114 1.1612
0.1888 4.36 -1.7623 0.9763
0.1254 4.37 -1.2659 0.9127
0.0325 4.38 -0.6287 0.783
-0.0537 4.39 -0.1311 0.7844
-0.1528 4.4 -0.1689 0.6131
-0.2784 4.41 -0.7695 0.5715
-0.4098 4.42 -1.5791 0.5216
-0.5622 4.43 -1.9878 0.4268
-0.6769 4.44 -2.1224 0.403
-0.777 4.45 -1.4812 0.4086
-0.9534 4.46 -0.7467 0.4017
-0.9411 4.47 -0.2023 0.3946
-1.1784 4.48 -0.3281 0.402
-1.3272 4.49 -0.9065 0.4118
-1.3338 4.5 -1.7695 0.4801
-1.4148 4.51 -2.0889 0.5362
-1.4696 4.52 -1.9251 0.6302
-1.556 4.53 -1.1136 0.6653
-1.7852 4.54 -0.4293 0.8293
-1.7678 4.55 -0.0307 0.902
-1.8693 4.56 -0.2356 1.0485
-1.9526 4.57 -0.8264 1.2288
-1.912 4.58 -1.6927 1.3475
-1.9308 4.59 -1.837 1.4299
-1.9736 4.6 -1.6354 1.6311
-1.7619 4.61 -0.8162 1.5394
-1.7989 4.62 0.0138 1.7787
-1.7357 4.63 0.3519 1.9378
-1.7684 4.64 0.0664 1.9167
-1.6515 4.65 -0.5963 1.96
-1.3485 4.66 -1.3292 2.2261
-1.4224 4.67 -1.5019 2.3953
-1.1597 4.68 -0.8812 2.3517
-1.1988 4.69 -0.1571 2.5769
-1.0816 4.7 0.6316 2.4444
-0.922 4.71 0.8161 2.6072
-0.6985 4.72 0.4308 2.6074
-0.5548 4.73 -0.3185 2.4239
-0.4338 4.74 -0.8165 2.3532
-0.2808 4.75 -0.9449 2.7239
-0.159 4.76 -0.357 2.2139
-0.0192 4.77 0.4224 2.5867
0.1048 4.78 1.1596 2.1469
0.2443 4.79 1.2411 2.2411
0.3209 4.8 0.6566 1.9019
0.4645 4.81 -0.0444 2.1102
0.5529 4.82 -0.5508 1.9718
0.5273 4.83 -0.5437 1.7592
0.6831 4.84 0.0705 1.725
0.7288 4.85 0.9691 1.3436
0.6564 4.86 1.4837 1.2849
0.6676 4.87 1.2949 1.188
0.7472 4.88 0.762 1.0257
0.6718 4.89 -0.0031 0.8244
0.7469 4.9 -0.5077 0.8206
0.695 4.91 -0.3228 0.6035
0.6482 4.92 0.3 0.567
0.5842 4.93 0.9966 0.4146
0.553 4.94 1.4731 0.3458
0.4878 4.95 1.1479 0.2292
0.373 4.96 0.5099 0.155
0.3285 4.97 -0.2132 0.0978
0.264 4.98 -0.6267 0.0495
0.2086 4.99 -0.3916 0.0203
0.1127 5.0 0.2773 0.0007
0.0507 5.01 0.903 -0.0034
-0.0081 5.02 1.1698 0.0058
-0.0641 5.03 0.8446 0.0287
-0.1235 5.04 0.0775 0.0659
-0.1525 5.05 -0.6623 0.1106
-0.1721 5.06 -0.982 0.1556
-0.1944 5.07 -0.7528 0.2467
-0.1965 5.08 -0.0348 0.329
-0.2176 5.09 0.5925 0.4002
-0.1887 5.1 0.66 0.4352
-0.1302 5.11 0.251 0.545
-0.0951 5.12 -0.554 0.6225
-0.0307 5.13 -1.3151 0.6654
0.0431 5.14 -1.4401 0.721
0.1511 5.15 -1.102 0.8669
0.246 5.16 -0.4683 0.9455
0.3746 5.17 0.1068 0.9765
0.4613 5.18 0.1255 1.0903
0.6284 5.19 -0.4699 1.0597
0.6928 5.2 -1.3305 1.1591
0.8233 5.21 -1.9072 1.1798
1.0409 5.22 -2.2051 1.1389
1.0986 5.23 -1.4654 1.0681
1.4587 5.24 -0.7968 1.0277
1.6524 5.25 -0.3424 1.0355
1.7167 5.26 -0.4129 0.8488
1.7316 5.27 -1.1869 0.8859
2.0554 5.28 -1.7977 0.7708
2.3016 5.29 -2.7129 0.5995
2.167 5.3 -2.3744 0.4779
2.2951 5.31 -1.9504 0.3834
2.6173 5.32 -1.1698 0.2448
2.821 5.33 -0.6889 0.072
2.5428 5.34 -0.8786 -0.0836
2.5735 5.35 -1.5239 -0.241
2.9794 5.36 -2.1746 -0.384
2.6516 5.37 -2.6868 -0.5374
2.8553 5.38 -2.7854 -0.7645
2.6819 5.39 -1.9309 -0.9535
2.7216 5.4 -1.1305 -0.9743
2.6475 5.41 -0.8058 -1.2829
3.0065 5.42 -1.0385 -1.4487
2.8258 5.43 -1.8601 -1.3973
2.798 5.44 -2.2952 -1.6719
2.4278 5.45 -2.8903 -1.7015
2.6397 5.46 -2.3405 -1.9706
2.4859 5.47 -1.5686 -2.0017
2.1968 5.48 -0.9332 -1.8692
2.2503 5.49 -0.6075 -2.2454
2.0833 5.5 -0.8498 -2.1152
1.8277 5.51 -1.6248 -2.2133
1.8774 5.52 -2.4567 -2.3157
1.5647 5.53 -2.2946 -2.3648
1.6986 5.54 -1.9895 -2.3056
1.4811 5.55 -1.1468 -2.0265
1.2855 5.56 -0.369 -2.0552
1.3254 5.57 -0.1898 -1.9519
1.0832 5.58 -0.6007 -2.0457
1.0045 5.59 -1.3952 -1.8814
0.9594 5.6 -2.0621 -1.8547
0.9763 5.61 -1.9518 -1.7055
0.9448 5.62 -1.2273 -1.5558
0.8923 5.63 -0.4416 -1.6398
0.8743 5.64 0.1693 -1.5125
0.8687 5.65 0.2267 -1.3125
0.8497 5.66 -0.2323 -1.2782
0.9368 5.67 -0.9766 -1.2037
0.8916 5.68 -1.475 -0.9846
0.9969 5.69 -1.4484 -1.0206
0.9054 5.7 -0.673 -0.9616
1.1181 5.71 0.1386 -0.9917
1.0718 5.72 0.6674 -0.9423
1.1634 5.73 0.6637 -0.8581
1.3034 5.74 0.0393 -0.8878
1.3699 5.75 -0.6543 -0.8164
1.5675 5.76 -1.1212 -0.8824
1.6457 5.77 -0.9147 -0.8836
1.5219 5.78 -0.1828 -1.0571
1.8024 5.79 0.5929 -0.9459
1.9339 5.8 1.0799 -1.0016
1.8509 5.81 0.7612 -1.2617
1.7172 5.82 0.1295 -1.167
1.924 5.83 -0.5533 -1.3452
1.9134 5.84 -1.0011 -1.417
1.907 5.85 -0.6931 -1.7542
2.0563 5.86 0.0528 -1.8687
2.0794 5.87 0.7792 -2.0221
2.0653 5.88 0.989 -2.0431
1.9445 5.89 0.7074 -2.1318
1.8794 5.9 -0.06 -2.1408
1.8241 5.91 -0.8531 -2.4045
1.9216 5.92 -1.0279 -2.5014
1.9421 5.93 -0.6646 -2.6
1.749 5.94 0.0263 -2.4212
1.6062 5.95 0.5956 -2.822
1.6495 5.96 0.7417 -2.8762
1.2543 5.97 0.3299 -2.624
1.2289 5.98 -0.5165 -3.016
1.0941 5.99 -1.2104 -3.0507
0.9109 6.0 -1.3554 -2.7271
0.7723 6.01 -1.0212 -2.6741
0.6031 6.02 -0.2245 -3.0568
0.4789 6.03 0.2828 -2.7633
0.2949 6.04 0.2855 -2.5571
0.1591 6.05 -0.314 -2.6424
0.004 6.06 -1.2256 -2.5006
-0.1581 6.07 -1.696 -2.7255
-0.3006 6.08 -1.9234 -2.6207
-0.4502 6.09 -1.4357 -2.2458
-0.5525 6.1 -0.6159 -2.3807
-0.638 6.11 -0.1818 -1.9322
-0.8066 6.12 -0.2846 -1.7765
-0.8223 6.13 -1.0196 -1.8897
-0.8682 6.14 -1.9401 -1.7217
-0.8993 6.15 -2.3194 -1.5188
-0.9223 6.16 -2.5193 -1.3945
-0.9965 6.17 -1.811 -1.2236
-1.0036 6.18 -0.9458 -1.0314
-1.0748 6.19 -0.6109 -0.8968
-0.9731 6.2 -0.9105 -0.7751
-1.0155 6.21 -1.7281 -0.7252
-0.8998 6.22 -2.245 -0.5425
-0.8475 6.23 -2.8391 -0.4485
-0.8509 6.24 -2.4085 -0.4317
-0.7282 6.25 -2.0541 -0.3426
-0.6711 6.26 -1.2168 -0.2844
-0.5839 6.27 -0.9346 -0.252
-0.4448 6.28 -1.2653 -0.2178
-0.3256 6.29 -1.9046 -0.2245
-0.262 6.3 -2.8397 -0.2422
-0.1448 6.31 -2.7966 -0.2684
-0.0568 6.32 -2.6587 -0.2503
0.0478 6.33 -1.838 -0.3369
0.1385 6.34 -1.2773 -0.3715
0.2379 6.35 -0.902 -0.4444
0.2768 6.36 -1.451 -0.4678
0.39 6.37 -1.9101 -0.5972
0.4322 6.38 -2.5662 -0.7015
0.4777 6.39 -2.6812 -0.741
0.5735 6.4 -2.3316 -0.7406
0.5312 6.41 -1.5565 -0.8421
0.6049 6.42 -0.9587 -1.0477
0.5072 6.43 -0.8629 -1.0032
0.5095 6.44 -1.1709 -1.0514
0.5507 6.45 -2.0834 -1.0969
0.4999 6.46 -2.3099 -1.2164
0.4258 6.47 -2.5659 -1.1086
0.3686 6.48 -1.789 -1.2346
0.3167 6.49 -1.0942 -1.2045
0.1967 6.5 -0.4502 -1.2548
0.121 6.51 -0.3999 -1.2024
0.0221 6.52 -0.8466 -1.0776
-0.0821 6.53 -1.7444 -1.0157
-0.201 6.54 -1.8706 -0.9503
-0.2745 6.55 -1.9335 -0.9267
-0.387 6.56 -1.1917 -0.9057
-0.4901 6.57 -0.3661 -0.7922
-0.6364 6.58 0.1322 -0.6813
-0.6766 6.59 0.0745 -0.5197
-0.8617 6.6 -0.4867 -0.3883
-0.9458 6.61 -1.2336 -0.2194
-0.853 6.62 -1.555 -0.0485
-0.9209 6.63 -1.2498 0.1201
-1.1495 6.64 -0.5345 0.2975
-1.1878 6.65 0.2297 0.4446
-1.0117 6.66 0.6734 0.6174
-1.0476 6.67 0.435 0.7532
-1.0043 6.68 -0.1998 0.9594
-1.1534 6.69 -0.7959 1.0804
-1.1104 6.7 -1.2058 1.2444
-0.9748 6.71 -0.8623 1.2392
-0.9247 6.72 -0.0347 1.5822
-0.8696 6.73 0.7328 1.4552
-0.7421 6.74 1.0801 1.5838
-0.7161 6.75 0.6336 1.8872
-0.5739 6.76 -0.0744 1.8201
-0.4671 6.77 -0.7667 2.0066
-0.3284 6.78 -0.9653 1.7695
-0.1737 6.79 -0.5619 1.9593
-0.0429 6.8 0.2223 1.8375
0.0974 6.81 0.9142 1.8671
0.2462 6.82 1.0412 2.0447
0.3816 6.83 0.5353 1.703
0.4845 6.84 -0.2549 1.8227
0.6652 6.85 -0.9177 1.7523
0.7707 6.86 -0.8947 1.5511
0.8558 6.87 -0.5399 1.6993
1.0 6.88 0.2302 1.4721
1.0079 6.89 0.8409 1.4997
1.323 6.9 0.8398 1.2105
1.3689 6.91 0.1795 1.3204
1.2797 6.92 -0.703 1.129
1.4464 6.93 -1.2869 1.0319
1.5375 6.94 -1.1826 0.8767
