# y : intensity
# x : time signal
#y3 y1 y4 y2 y5 time
0.7448 0.066 1.1038 -0.0385 0.7311 1.32
0.6172 -0.0644 0.2739 -0.0841 0.6054 1.33
0.5644 -0.0985 -0.2789 -0.1262 -0.2439 1.34
0.6167 -0.0241 0.0956 -0.1455 1.157 1.35
0.5267 0.1449 1.0783 -0.1322 1.9228 1.36
0.4535 0.3473 1.9684 -0.1326 -0.1173 1.37
0.377 0.616 1.9262 -0.1106 -0.7783 1.38
0.2759 0.9684 1.3018 -0.0616 0.1316 1.39
0.1836 1.2759 0.5539 0.0008 -0.6951 1.4
0.103 1.5194 0.8468 0.0673 -1.9699 1.41
0.0185 1.5333 1.6583 0.1625 -0.9097 1.42
-0.0703 1.8518 2.8279 0.231 0.5355 1.43
-0.1477 1.5838 2.9563 0.3626 -0.3069 1.44
-0.2325 1.4487 1.8736 0.46 -0.3215 1.45
-0.3108 1.4646 1.1699 0.5375 1.4428 1.46
-0.3757 1.1273 1.0756 0.6399 1.2135 1.47
-0.4067 0.7664 1.705 0.8066 -0.7007 1.48
-0.5271 0.461 2.8315 0.8822 -0.5518 1.49
-0.5876 0.1243 2.6292 0.9595 0.0745 1.5
-0.5324 -0.1561 2.1818 0.9427 -1.6516 1.51
-0.647 -0.3574 1.1709 1.1348 -2.1541 1.52
-0.6125 -0.4126 0.7307 1.2113 -0.5549 1.53
-0.6093 -0.4205 1.1676 1.1023 -0.0462 1.54
-0.6496 -0.3739 2.1368 1.1728 -1.0752 1.55
-0.5564 -0.2021 2.2792 1.3367 -0.0993 1.56
-0.5274 0.0587 1.6479 1.1978 1.4449 1.57
-0.5207 0.3597 0.5213 1.333 0.3372 1.58
-0.4615 0.6972 -0.092 1.233 -1.02 1.59
-0.3872 0.9019 0.2777 1.2591 -0.1381 1.6
-0.3172 1.1887 1.0702 1.1124 -0.333 1.61
-0.1989 1.3763 1.5472 0.9513 -2.3219 1.62
-0.0989 1.3284 0.9883 0.8742 -2.1116 1.63
0.009 1.2362 -0.0974 0.7929 -0.4479 1.64
0.1347 1.2 -0.7464 0.6784 -0.789 1.65
0.2426 0.9735 -0.4768 0.593 -1.4473 1.66
0.4063 0.6396 0.3449 0.4524 0.2784 1.67
0.5266 0.3444 1.0526 0.3271 1.264 1.68
0.6371 0.0292 0.7257 0.1925 -0.3917 1.69
0.795 -0.2844 -0.2087 0.0564 -0.8957 1.7
0.9417 -0.5193 -0.9068 -0.0817 0.1381 1.71
1.0284 -0.663 -0.7865 -0.2336 -1.0075 1.72
1.3384 -0.8078 0.2281 -0.3803 -2.6512 1.73
1.4053 -0.7407 1.1116 -0.5392 -1.8759 1.74
1.4926 -0.5995 1.0603 -0.6117 -0.5793 1.75
1.7185 -0.4681 0.332 -0.6981 -1.5395 1.76
1.8415 -0.1998 -0.3976 -0.8887 -1.4139 1.77
1.8266 0.1118 -0.2845 -1.0231 0.6516 1.78
1.9535 0.4065 0.6685 -1.0188 0.5448 1.79
2.3289 0.6664 1.7128 -1.0914 -0.8537 1.8
2.4062 0.8706 1.9923 -1.0742 -0.4229 1.81
2.1359 1.0088 1.1473 -1.2729 0.1231 1.82
2.4188 1.0372 0.5088 -1.2274 -1.5689 1.83
2.3075 1.0315 0.4536 -1.2148 -2.8661 1.84
2.313 0.9537 1.244 -1.1728 -1.2955 1.85
2.6351 0.648 2.5149 -1.2207 -1.2132 1.86
2.3764 0.3571 2.6969 -1.2093 -2.115 1.87
2.4229 0.0593 1.9994 -0.9906 -0.9674 1.88
2.5445 -0.2321 1.131 -1.1036 0.6886 1.89
2.4096 -0.5218 0.9478 -0.8393 -0.1245 1.9
2.5698 -0.7259 1.6099 -0.7661 -1.0354 1.91
2.4149 -0.9514 2.6905 -0.691 0.1092 1.92
2.2378 -0.9324 2.8715 -0.5858 -0.1631 1.93
2.4367 -0.8589 2.5658 -0.5432 -2.4647 1.94
2.0787 -0.7522 1.5243 -0.4141 -2.1901 1.95
2.2309 -0.5151 0.8274 -0.252 -1.0778 1.96
2.0912 -0.255 1.1321 -0.1319 -1.8253 1.97
1.8342 0.0348 2.2067 -0.0264 -2.4072 1.98
1.8661 0.3355 2.8243 0.0809 -0.486 1.99
1.8533 0.5827 2.2311 0.1983 0.5824 2.0
1.811 0.8062 1.072 0.29 -0.7701 2.01
1.7603 0.9502 0.2092 0.3485 -0.6117 2.02
1.4772 1.0362 0.396 0.4456 0.525 2.03
1.566 0.9725 1.2334 0.5017 -0.7046 2.04
1.2862 0.7923 1.6002 0.529 -2.5667 2.05
1.396 0.5398 1.2571 0.4875 -1.7381 2.06
1.299 0.2488 0.3455 0.5274 -1.021 2.07
1.1699 -0.0613 -0.5488 0.4755 -2.4814 2.08
1.2186 -0.3502 -0.48 0.5154 -1.9288 2.09
1.0296 -0.6608 0.2902 0.4176 0.0408 2.1
1.0854 -0.846 0.9825 0.3903 0.117 2.11
0.9349 -0.9329 0.8257 0.3377 -1.0484 2.12
1.0608 -0.9499 -0.0269 0.2661 -0.0142 2.13
0.9451 -0.8744 -0.836 0.1599 0.6915 2.14
1.031 -0.7963 -0.9378 0.046 -1.2155 2.15
0.9478 -0.4951 -0.1541 -0.0734 -2.3999 2.16
1.103 -0.1673 0.8347 -0.1684 -1.0354 2.17
1.0488 0.1279 1.0015 -0.2949 -1.4873 2.18
1.0985 0.4812 0.2354 -0.402 -2.8324 2.19
1.2663 0.6862 -0.553 -0.5759 -1.4519 2.2
1.1343 0.9074 -0.7685 -0.7222 0.2554 2.21
1.2912 1.133 0.0872 -0.8332 -0.4563 2.22
1.4671 1.0538 1.0809 -0.9839 -0.8194 2.23
1.416 0.9158 1.436 -1.111 0.6245 2.24
1.4339 0.8052 1.09 -1.031 0.4744 2.25
1.5103 0.608 0.2308 -1.2076 -1.6328 2.26
1.6531 0.316 -0.0014 -1.4006 -1.5957 2.27
1.854 0.0084 0.6894 -1.2967 -0.671 2.28
1.9039 -0.2632 1.9322 -1.3185 -1.8481 2.29
2.0517 -0.5513 2.3982 -1.4245 -2.7464 2.3
1.9729 -0.7374 2.0104 -1.513 -0.7143 2.31
2.2639 -0.8773 1.0502 -1.3213 0.2365 2.32
2.4546 -0.7625 0.6806 -1.4405 -0.7246 2.33
2.2958 -0.742 1.0898 -1.2581 -0.2306 2.34
2.4604 -0.5407 2.2375 -1.3699 1.3254 2.35
2.38 -0.2127 2.899 -1.2141 0.1191 2.36
2.6332 0.096 2.4969 -1.1472 -1.5537 2.37
2.5826 0.3899 1.5357 -1.118 -0.8669 2.38
2.3781 0.7536 0.803 -1.001 -0.5727 2.39
2.5044 1.0831 1.082 -0.7594 -2.3723 2.4
2.4164 1.1091 2.0893 -0.7075 -1.9721 2.41
2.6483 1.3589 2.5265 -0.5219 -0.1184 2.42
2.2473 1.23 2.4179 -0.3603 -0.1088 2.43
2.3038 1.1737 1.3108 -0.2845 -0.7854 2.44
2.49 1.1405 0.4285 -0.1283 0.4962 2.45
2.0205 0.8813 0.3851 0.0132 1.3813 2.46
2.1928 0.5081 1.1503 0.137 -0.2745 2.47
2.0633 0.2479 1.737 0.2541 -1.016 2.48
1.7478 -0.047 1.6732 0.4111 -0.0401 2.49
1.6808 -0.2772 0.6165 0.4589 -0.8086 2.5
1.6648 -0.4003 -0.3711 0.5612 -2.4427 2.51
1.4699 -0.4998 -0.5616 0.6658 -1.3933 2.52
1.4024 -0.4964 0.0832 0.6577 0.2323 2.53
1.2926 -0.3334 0.8588 0.8418 -0.4754 2.54
1.103 -0.119 0.9543 0.7814 -0.5619 2.55
0.9657 0.1538 0.1242 0.7704 1.4622 2.56
0.8858 0.5085 -0.9287 0.8396 1.4338 2.57
0.7176 0.8992 -1.1047 0.8383 -0.4376 2.58
0.5275 1.1131 -0.6028 0.7901 -0.2594 2.59
0.3716 1.2965 0.3881 0.7053 0.4067 2.6
0.2359 1.4528 0.6807 0.6677 -1.1387 2.61
0.0967 1.5872 0.1171 0.633 -1.9036 2.62
-0.0172 1.6611 -0.7341 0.4602 -0.4205 2.63
-0.1377 1.4794 -1.1671 0.4373 0.1902 2.64
-0.2228 1.4041 -0.5583 0.3056 -0.7246 2.65
-0.3275 1.1041 0.4653 0.2073 0.1538 2.66
-0.3985 0.8318 1.05 0.0763 1.9189 2.67
-0.5272 0.4941 0.7232 -0.0345 1.0125 2.68
-0.5587 0.2642 -0.118 -0.1657 -0.2446 2.69
-0.596 0.0569 -0.5388 -0.2497 0.5566 2.7
-0.6502 -0.077 -0.0414 -0.3962 0.571 2.71
-0.639 -0.1296 1.0673 -0.49 -1.2939 2.72
-0.6987 -0.0667 1.642 -0.6023 -1.3487 2.73
-0.6422 0.0868 1.8045 -0.6655 0.1933 2.74
-0.6219 0.2967 0.8192 -0.7592 -0.0673 2.75
-0.6176 0.5914 0.2541 -0.7925 -0.7752 2.76
-0.5616 0.9297 0.5824 -0.8725 0.9821 2.77
-0.5245 1.2623 1.523 -0.9698 2.2694 2.78
-0.4262 1.6904 2.3215 -0.9885 0.6744 2.79
-0.397 1.9979 2.2947 -0.9527 0.3067 2.8
-0.3113 2.072 1.3756 -0.883 1.3813 2.81
-0.2393 2.1952 0.6476 -0.8295 0.4172 2.82
-0.145 1.9672 0.6458 -0.8658 -1.3976 2.83
-0.0503 2.1062 1.6296 -0.6865 -0.5674 2.84
0.0421 1.7404 2.1875 -0.6238 0.5216 2.85
0.1416 1.5378 2.4988 -0.5598 -0.4428 2.86
0.2459 1.125 1.3337 -0.4703 -0.3256 2.87
0.346 0.8254 0.4644 -0.4059 1.796 2.88
0.3698 0.5872 0.2223 -0.2522 1.794 2.89
0.4475 0.428 0.8002 -0.1245 0.5636 2.9
0.6116 0.2902 1.5178 0.0039 1.0862 2.91
0.6933 0.2232 1.6085 0.1285 1.8295 2.92
0.7752 0.3039 0.9147 0.2709 0.0354 2.93
0.7533 0.453 -0.179 0.4404 -1.0326 2.94
0.851 0.7809 -0.6643 0.5716 0.2003 2.95
0.9093 1.0463 -0.1527 0.689 0.4525 2.96
0.8413 1.3098 0.6105 0.8198 -0.7029 2.97
0.9656 1.7178 0.9899 0.9157 0.3581 2.98
0.9831 1.8237 0.2473 0.8912 2.2406 2.99
0.9374 2.0116 -0.7731 0.9492 1.4569 3.0
0.8275 2.3412 -1.2989 1.2289 0.6594 3.01
0.8581 2.5742 -1.0201 1.212 1.8619 3.02
0.7796 2.3373 -0.0756 1.1032 1.7934 3.03
0.797 2.1209 0.4296 1.274 -0.2968 3.04
0.7655 1.8998 -0.0434 1.3132 -0.4956 3.05
0.6504 1.7037 -1.0931 1.3197 0.7038 3.06
0.5663 1.276 -1.7218 1.1767 0.0344 3.07
0.5414 0.9854 -1.3305 1.2098 -0.643 3.08
0.4217 0.7439 -0.2166 1.011 1.1455 3.09
0.3526 0.6426 0.5008 1.029 2.4861 3.1
0.2555 0.54 0.3264 0.8281 1.0938 3.11
0.1486 0.5293 -0.5086 0.76 1.1538 3.12
0.067 0.6239 -1.157 0.6172 2.2972 3.13
-0.0186 0.7161 -0.778 0.6028 1.5303 3.14
-0.1074 1.0876 0.1952 0.4395 -0.3552 3.15
-0.1913 1.4517 1.0515 0.3264 0.2225 3.16
-0.278 1.6563 1.0714 0.1775 0.9482 3.17
-0.3592 2.0335 0.4131 0.0395 -0.4777 3.18
-0.3883 2.2944 -0.3124 -0.0952 -0.3515 3.19
-0.4568 2.2355 -0.1807 -0.2322 1.679 3.2
-0.5355 2.4038 0.6852 -0.3376 1.7817 3.21
-0.5412 2.5318 1.6189 -0.4532 0.8455 3.22
-0.6304 2.6929 1.771 -0.5734 1.8535 3.23
-0.6324 2.2996 1.2243 -0.6742 2.552 3.24
-0.6279 1.9132 0.3592 -0.7566 0.9363 3.25
-0.6538 1.8099 0.2194 -0.8236 -0.1676 3.26
-0.6495 1.4632 0.9483 -0.8023 0.9256 3.27
-0.5762 1.0823 1.9603 -0.8478 0.5972 3.28
-0.5255 0.9138 2.2075 -0.8414 -0.8496 3.29
-0.498 0.7006 1.5082 -0.8704 0.1583 3.3
-0.4234 0.5587 0.4084 -0.7825 1.8123 3.31
-0.3353 0.5676 0.0137 -0.7788 1.4099 3.32
-0.2817 0.6318 0.5371 -0.8403 1.0374 3.33
-0.1615 0.7992 1.4453 -0.7675 2.6326 3.34
-0.052 1.0545 1.5643 -0.6541 2.708 3.35
0.0535 1.5049 0.9254 -0.6086 0.4772 3.36
0.1713 1.8515 -0.0788 -0.4408 0.2893 3.37
0.311 2.0084 -0.7177 -0.3773 1.2822 3.38
0.4587 2.1748 -0.4263 -0.2677 0.0674 3.39
0.5572 2.5935 0.3993 -0.17 -1.0004 3.4
0.7814 2.6876 0.9116 -0.0422 0.6778 3.41
0.9502 2.6899 0.3065 0.0743 1.769 3.42
0.9139 2.3781 -0.7335 0.1715 0.78 3.43
1.0968 1.9814 -1.5829 0.2951 1.2684 3.44
1.3846 1.8281 -1.4693 0.3939 2.6773 3.45
1.4054 1.7392 -0.4914 0.5138 1.9988 3.46
1.419 1.3792 0.0965 0.5654 0.3092 3.47
1.6268 0.9097 -0.1916 0.6786 0.8583 3.48
1.9071 0.7322 -1.152 0.6266 1.1484 3.49
1.7728 0.5123 -1.8893 0.6974 -0.5962 3.5
1.9739 0.4105 -1.8373 0.8286 -0.7621 3.51
2.1553 0.4444 -0.9609 0.8416 1.177 3.52
1.9936 0.549 -0.0972 0.7656 1.139 3.53
2.1442 0.7173 -0.1061 0.7951 0.3559 3.54
2.0601 0.9747 -0.9048 0.7003 1.7565 3.55
2.4587 1.3132 -1.555 0.6016 2.8503 3.56
2.4792 1.6343 -1.62 0.5446 1.2456 3.57
2.3868 2.0246 -0.6724 0.5084 0.3655 3.58
2.227 1.9527 0.2885 0.4133 1.3119 3.59
2.1273 2.4468 0.5917 0.2798 0.6274 3.6
2.3523 2.3727 -0.0826 0.1554 -1.137 3.61
2.2943 2.4014 -0.8404 0.0144 -0.3347 3.62
2.019 2.2287 -0.8634 -0.1283 1.1578 3.63
2.0842 1.7192 -0.1143 -0.2652 0.4512 3.64
1.8764 1.4857 0.9338 -0.402 0.3031 3.65
2.0908 1.2816 1.306 -0.6136 2.1407 3.66
1.9539 0.91 0.7516 -0.7599 2.4667 3.67
1.678 0.668 -0.0581 -0.8919 0.6208 3.68
1.53 0.3349 -0.3629 -1.1067 0.6564 3.69
1.5202 0.1692 0.3037 -1.0777 1.5386 3.7
1.4505 0.095 1.2011 -1.1596 -0.0793 3.71
1.2115 0.115 1.6971 -1.3827 -1.3574 3.72
1.1999 0.235 1.393 -1.4481 0.0778 3.73
1.2401 0.4062 0.267 -1.5706 0.8027 3.74
0.9951 0.6641 -0.2562 -1.4851 -0.2867 3.75
1.0088 1.0008 0.1069 -1.654 0.4861 3.76
0.8352 1.2921 1.0156 -1.7112 2.5097 3.77
0.7624 1.4674 1.376 -1.8285 1.4988 3.78
0.7542 1.7512 1.0753 -1.9171 0.3339 3.79
0.7092 1.6753 0.0066 -1.8002 1.2025 3.8
0.5924 1.7535 -0.81 -1.7619 1.1098 3.81
0.6003 1.6182 -0.6151 -1.8561 -0.8769 3.82
0.5182 1.6144 0.1411 -1.7235 -1.18 3.83
0.4622 1.2387 0.6816 -1.4465 0.3004 3.84
0.5321 1.095 0.3762 -1.6509 0.039 3.85
0.5422 0.7717 -0.6726 -1.2966 -0.7724 3.86
0.4857 0.3795 -1.6716 -1.3018 0.8631 3.87
0.5736 0.0673 -1.7078 -1.3027 2.1664 3.88
0.556 -0.1814 -0.897 -1.0554 0.8262 3.89
0.6302 -0.3429 -0.1832 -1.0866 0.3341 3.9
0.6071 -0.4436 -0.2543 -0.9738 1.4184 3.91
0.745 -0.3606 -1.1789 -0.8689 0.5397 3.92
0.808 -0.2571 -2.2777 -0.7534 -1.379 3.93
0.9154 -0.0459 -2.4387 -0.6311 -0.9497 3.94
0.9179 0.2322 -1.4748 -0.5342 0.1828 3.95
0.9467 0.5418 -0.617 -0.4804 -0.9105 3.96
0.9717 0.7685 -0.4384 -0.3947 -0.965 3.97
1.247 0.9235 -1.2748 -0.3166 1.1319 3.98
1.1912 1.0988 -2.1551 -0.2574 1.3796 3.99
1.434 1.3266 -2.4552 -0.238 0.1397 4.0
1.4316 1.4159 -1.3728 -0.256 0.5273 4.01
1.5892 1.1591 -0.444 -0.2519 1.289 4.02
1.646 0.9693 -0.0422 -0.3022 -0.3209 4.03
1.6223 0.7502 -0.5251 -0.33 -1.4947 4.04
1.6038 0.4293 -1.4768 -0.3896 -0.5744 4.05
1.5851 0.0535 -1.7801 -0.4713 -0.3132 4.06
1.6826 -0.2841 -1.0964 -0.6025 -1.5551 4.07
1.9309 -0.5718 0.1106 -0.592 -0.7672 4.08
1.896 -0.7325 0.6836 -0.7519 1.205 4.09
1.7054 -0.9526 0.3765 -0.9217 0.611 4.1
1.8718 -0.9503 -0.5002 -1.0844 -0.2055 4.11
1.7679 -0.9673 -1.0184 -1.1007 0.9615 4.12
1.6668 -0.7512 -0.4687 -1.227 0.9706 4.13
1.591 -0.5685 0.5693 -1.5511 -1.0152 4.14
1.4639 -0.3274 1.3149 -1.4449 -1.6657 4.15
1.4936 -0.0428 0.9697 -1.7653 -0.3716 4.16
1.5115 0.2504 0.1284 -1.8821 -1.0247 4.17
1.3907 0.5006 -0.542 -1.9615 -2.2267 4.18
1.1955 0.6785 -0.3588 -2.0917 -0.3994 4.19
1.1434 0.7172 0.6071 -2.1566 0.8143 4.2
0.9238 0.6663 1.3799 -2.3911 -0.1616 4.21
0.8592 0.5913 1.1107 -2.2012 -0.19 4.22
0.6771 0.3179 0.1051 -2.5247 1.1837 4.23
0.5431 0.063 -0.8219 -2.3521 0.3442 4.24
0.4377 -0.2637 -0.8379 -2.3615 -1.4837 4.25
0.2905 -0.6624 -0.1285 -2.4769 -1.1582 4.26
0.1286 -1.0156 0.6484 -2.7452 -0.5393 4.27
-0.0131 -1.1305 0.4668 -2.7676 -2.1007 4.28
-0.1729 -1.4429 -0.4272 -2.4907 -2.2367 4.29
-0.3179 -1.4085 -1.4201 -2.7003 -0.133 4.3
-0.4614 -1.5323 -1.647 -2.1846 0.2682 4.31
-0.6217 -1.5425 -1.0704 -2.5441 -0.8121 4.32
-0.7519 -1.4203 -0.3636 -2.0242 0.1356 4.33
-0.847 -1.0422 -0.2831 -2.0955 1.2681 4.34
-0.909 -0.7925 -1.1613 -2.087 -0.4167 4.35
-1.0457 -0.5969 -2.3357 -1.9099 -1.6039 4.36
-1.0873 -0.2776 -2.4366 -1.8202 -0.7632 4.37
-1.3054 -0.051 -2.1098 -1.588 -1.0651 4.38
-1.3631 0.0923 -0.9798 -1.4364 -2.4153 4.39
-1.4359 0.1679 -0.6725 -1.3591 -1.8143 4.4
-1.3574 0.1298 -1.1932 -1.3563 -0.0436 4.41
-1.5155 -0.0165 -2.1576 -1.0336 -0.4719 4.42
-1.6045 -0.2319 -2.5694 -1.1322 -0.9663 4.43
-1.44 -0.5687 -2.3211 -1.0 0.622 4.44
-1.4643 -0.8556 -1.1438 -0.8348 0.8603 4.45
-1.4863 -1.235 -0.5485 -0.6981 -1.0367 4.46
-1.3403 -1.4247 -0.8043 -0.6092 -1.4506 4.47
-1.4957 -1.6968 -1.9139 -0.6424 -0.5113 4.48
-1.4083 -1.9907 -2.3111 -0.5903 -1.6538 4.49
-1.4393 -2.0312 -1.7393 -0.5072 -2.6835 4.5
-1.2261 -1.9688 -0.7108 -0.5241 -1.3973 4.51
-1.1447 -1.8375 0.0989 -0.5316 -0.3012 4.52
-1.1032 -1.7163 -0.0293 -0.5801 -1.3403 4.53
-1.1004 -1.661 -0.9122 -0.5395 -0.8132 4.54
-0.954 -1.3011 -1.4471 -0.6025 0.9852 4.55
-0.9334 -0.9963 -1.2134 -0.6975 0.2637 4.56
-0.8118 -0.6165 -0.11 -0.8095 -1.4759 4.57
-0.6549 -0.411 0.7508 -0.7875 -0.9682 4.58
-0.5769 -0.275 0.7944 -0.8899 -0.5767 4.59
-0.4989 -0.2519 -0.0315 -1.0531 -2.3928 4.6
