# label : secret experiment #5480
# y : intensity
#y5 y3 y2 time y4 y1
-1.329 0.2647 1.8741 0.57 2.2646 2.2373
-1.0538 -0.8114 2.1522 0.58 2.1662 2.1997
-0.7745 -0.1723 2.2951 0.59 2.1032 2.5506
-0.5465 1.0705 2.3979 0.6 2.3644 2.5207
-0.263 0.7767 2.8713 0.61 2.0477 2.3081
0.0089 -0.4867 2.7207 0.62 2.2165 2.1571
0.2863 -0.8438 2.4648 0.63 2.0939 2.2924
0.5579 0.2748 2.4365 0.64 2.1581 2.0823
0.8348 0.9985 2.3645 0.65 1.9114 1.8406
1.0331 0.16 2.4175 0.66 1.8845 1.8041
1.3018 -0.9328 1.8471 0.67 1.7943 1.6255
1.5282 -0.5227 1.7866 0.68 1.7232 1.6084
1.4949 0.6857 1.3892 0.69 1.4582 1.3956
1.6176 0.7338 0.9413 0.7 1.3882 1.1519
1.8421 -0.5124 0.4939 0.71 1.2622 1.0122
1.7885 -0.9138 0.1929 0.72 1.0352 0.8785
1.771 0.0316 -0.1714 0.73 0.8611 0.7385
1.8389 0.9647 -0.4577 0.74 0.6949 0.5964
1.6327 0.3196 -0.7112 0.75 0.5298 0.399
1.5165 -0.8427 -0.9738 0.76 0.3651 0.2658
1.3414 -0.6522 -1.0899 0.77 0.2427 0.173
1.208 0.7193 -1.2994 0.78 0.1321 0.0697
1.0985 1.0543 -1.2691 0.79 0.0198 -0.0121
0.9669 -0.13 -1.3734 0.8 -0.0837 -0.088
0.8461 -0.8063 -1.1716 0.81 -0.1791 -0.1423
0.7416 0.0976 -1.1963 0.82 -0.2468 -0.1596
0.6803 1.1263 -1.11 0.83 -0.2879 -0.1654
0.5521 0.7428 -0.8552 0.84 -0.333 -0.1712
0.5271 -0.4649 -0.7426 0.85 -0.4154 -0.1703
0.593 -0.4143 -0.6113 0.86 -0.418 -0.1218
0.6215 0.9824 -0.4146 0.87 -0.3569 -0.0654
0.6383 1.4247 -0.3123 0.88 -0.39 -0.0053
0.8658 0.3956 -0.1783 0.89 -0.319 0.0689
0.8236 -0.4568 -0.0802 0.9 -0.2441 0.1549
1.0411 0.359 -0.0181 0.91 -0.2019 0.2527
1.1635 1.4722 0.0032 0.92 -0.1283 0.3275
1.4278 1.2582 -0.013 0.93 -0.0435 0.4119
1.3117 0.0969 -0.0655 0.94 0.0457 0.612
1.4956 -0.0592 -0.1325 0.95 0.1548 0.6724
1.5006 1.2785 -0.2411 0.96 0.2428 0.78
1.6308 1.8451 -0.3745 0.97 0.3795 0.8525
1.6374 1.0455 -0.476 0.98 0.4845 1.0351
1.6559 -0.0077 -0.6178 0.99 0.5528 0.9407
1.8529 0.537 -0.7545 1.0 0.6577 1.1672
1.7056 1.8143 -0.8216 1.01 0.7312 1.1456
1.4733 1.7593 -0.9063 1.02 0.7555 1.2326
1.3581 0.5 -0.9597 1.03 0.8336 1.1182
1.1565 0.1609 -1.0209 1.04 0.8899 1.117
0.8813 1.2214 -0.9463 1.05 0.8947 1.2989
0.6018 2.1629 -0.8799 1.06 1.0402 1.0552
0.3593 1.4371 -0.6624 1.07 0.9163 1.1689
0.0743 0.2035 -0.5782 1.08 0.9257 1.0535
-0.1851 0.5086 -0.401 1.09 0.8977 1.0017
-0.4303 1.9686 -0.2112 1.1 1.0091 0.856
-0.6321 1.9016 -0.0347 1.11 0.8217 0.6871
-0.9303 0.7687 0.1483 1.12 0.8641 0.6115
-1.0676 0.0819 0.3132 1.13 0.68 0.5173
-1.1097 1.0804 0.4117 1.14 0.6443 0.4122
-1.1741 2.0149 0.5933 1.15 0.5482 0.2571
-1.1409 1.4613 0.6518 1.16 0.3849 0.1022
-1.3664 0.0893 0.6446 1.17 0.2671 -0.0504
-1.2393 0.192 0.6248 1.18 0.1284 -0.1807
-1.0362 1.4535 0.4708 1.19 -0.0041 -0.3482
-0.8057 1.8332 0.2992 1.2 -0.1425 -0.4879
-0.7343 0.4752 0.094 1.21 -0.279 -0.556
-0.4378 -0.3296 -0.1795 1.22 -0.3915 -0.7305
-0.2085 0.4347 -0.4226 1.23 -0.5278 -0.7582
0.0392 1.3415 -0.795 1.24 -0.6033 -0.8372
0.3058 0.9565 -1.168 1.25 -0.7937 -0.8411
0.5133 -0.3996 -1.4904 1.26 -0.8529 -1.0595
0.8301 -0.5053 -1.892 1.27 -0.9452 -0.997
0.9641 0.6098 -1.9222 1.28 -1.1048 -0.9919
1.1711 1.106 -2.292 1.29 -1.2024 -1.0173
1.4447 -0.0246 -2.8477 1.3 -1.2068 -0.961
1.6395 -1.0907 -2.5645 1.31 -1.2334 -0.9424
1.5922 -0.4807 -2.8255 1.32 -1.1273 -0.8043
1.5034 0.6936 -2.7653 1.33 -1.1674 -0.8264
1.5249 0.3043 -2.9469 1.34 -1.0344 -0.6885
1.6566 -1.0185 -2.9915 1.35 -1.0883 -0.5603
1.4416 -1.5317 -2.9496 1.36 -1.0503 -0.4276
1.5985 -0.3044 -2.2349 1.37 -1.0115 -0.2674
1.2688 0.2998 -2.2099 1.38 -0.8339 -0.1391
1.2484 -0.6653 -2.0679 1.39 -0.7106 0.0231
1.1874 -1.7584 -1.554 1.4 -0.6175 0.17
1.0357 -1.4551 -1.3744 1.41 -0.5051 0.3542
0.9549 -0.2392 -0.8998 1.42 -0.3308 0.464
0.7959 -0.342 -0.5893 1.43 -0.2048 0.5811
0.8701 -1.6903 -0.335 1.44 -0.0545 0.7245
0.703 -2.2316 -0.0972 1.45 0.0977 0.8969
0.6941 -1.115 0.1136 1.46 0.2649 1.1265
0.7968 -0.4065 0.2667 1.47 0.3966 1.0877
0.8923 -1.3276 0.3643 1.48 0.5028 1.163
0.9776 -2.3247 0.4459 1.49 0.7053 1.3049
1.1795 -2.1923 0.5253 1.5 0.899 1.3723
1.318 -1.0224 0.4907 1.51 0.9429 1.3339
1.4691 -0.8658 0.3892 1.52 1.0736 1.594
1.5147 -2.0086 0.3352 1.53 1.233 1.57
1.6016 -2.8803 0.204 1.54 1.2274 1.5054
1.7464 -1.7601 0.0956 1.55 1.2395 1.497
2.009 -0.8442 -0.0159 1.56 1.22 1.397
2.1307 -1.4442 -0.1199 1.57 1.3639 1.2903
2.2666 -2.8917 -0.2054 1.58 1.4152 1.2578
2.3761 -2.7262 -0.2699 1.59 1.4635 1.3728
2.4627 -1.4202 -0.3346 1.6 1.2573 1.114
2.3116 -0.9945 -0.3048 1.61 1.2333 1.1069
2.4089 -2.3188 -0.2785 1.62 1.1969 0.9265
2.3207 -2.7477 -0.219 1.63 1.121 0.9462
2.0245 -2.226 -0.1318 1.64 1.0944 0.7386
1.9807 -0.9052 -0.0036 1.65 1.0452 0.7477
1.6246 -1.189 0.1403 1.66 1.0691 0.6081
1.5628 -2.321 0.2676 1.67 1.0027 0.4963
1.3809 -2.6878 0.3922 1.68 0.908 0.4005
0.8898 -1.4404 0.6059 1.69 0.681 0.3694
0.7316 -0.7656 0.7184 1.7 0.6112 0.3165
0.4108 -1.5606 0.8624 1.71 0.5305 0.2773
0.1285 -2.455 0.8667 1.72 0.4857 0.2149
-0.1248 -1.8639 0.9497 1.73 0.3739 0.2297
-0.365 -0.7035 0.8019 1.74 0.3581 0.2113
-0.5032 -0.7412 0.8303 1.75 0.3068 0.2817
-0.6476 -1.7965 0.6181 1.76 0.254 0.2838
-0.853 -2.1971 0.482 1.77 0.2203 0.3804
-0.8918 -1.0459 0.3226 1.78 0.2136 0.4198
-0.8709 -0.1742 0.109 1.79 0.2345 0.4763
-0.9282 -1.051 -0.1047 1.8 0.2207 0.6255
-0.7206 -2.1146 -0.3524 1.81 0.2875 0.6986
-0.616 -1.4237 -0.5901 1.82 0.3526 0.8511
-0.4587 -0.1371 -0.7928 1.83 0.4154 0.9823
-0.3138 -0.0077 -0.9353 1.84 0.4923 1.0596
-0.098 -1.0818 -1.132 1.85 0.6367 1.2498
0.1151 -1.4649 -1.2687 1.86 0.6693 1.5341
0.3414 -0.49 -1.2139 1.87 0.8672 1.6778
0.5665 0.4521 -1.1623 1.88 0.9121 1.7946
0.6942 -0.1302 -1.0888 1.89 1.0574 1.906
0.9779 -1.2502 -0.9246 1.9 1.2066 2.2725
1.0539 -1.0195 -0.6903 1.91 1.4259 2.2821
1.2783 0.4021 -0.4902 1.92 1.4447 2.3567
1.1945 0.7527 -0.173 1.93 1.7947 2.4936
1.29 -0.3699 0.1712 1.94 1.8823 2.6978
1.2576 -1.1047 0.5673 1.95 2.1237 2.4549
1.4747 -0.0706 0.8694 1.96 2.3449 2.5649
1.3618 1.0889 1.3034 1.97 2.196 2.5214
1.2461 0.5382 1.6791 1.98 2.2265 2.7697
1.1569 -0.606 1.775 1.99 2.5494 2.7416
1.1407 -0.5237 2.0795 2.0 2.5905 2.9325
0.9803 0.721 2.6187 2.01 2.4912 2.4255
0.8519 1.1624 2.6422 2.02 2.5982 2.6913
0.7234 0.1937 2.8277 2.03 3.0335 2.5417
0.5844 -0.6018 2.5828 2.04 3.1042 2.2132
0.6258 0.1005 2.5734 2.05 2.8463 2.3075
0.5053 1.1947 2.813 2.06 2.9055 2.4559
0.5313 1.0074 2.7772 2.07 2.6724 2.0601
0.6165 -0.2833 2.4968 2.08 2.8721 2.1679
0.7219 -0.4728 2.2137 2.09 2.6897 1.6599
0.727 0.7226 1.7423 2.1 2.8434 1.8408
0.9923 1.4708 1.6978 2.11 2.6789 1.6939
1.1441 0.401 1.4517 2.12 2.4917 1.2912
1.397 -0.6588 1.2451 2.13 2.2968 1.3582
1.4837 -0.0674 0.906 2.14 2.4574 1.113
1.8456 1.1202 0.7345 2.15 2.1333 1.0732
1.8356 0.9717 0.5495 2.16 2.0555 0.8738
2.1374 -0.2528 0.3804 2.17 1.9121 0.8352
2.1988 -0.6641 0.3034 2.18 1.7289 0.6841
2.2776 0.372 0.267 2.19 1.5843 0.5439
2.6231 1.1381 0.2508 2.2 1.5967 0.5275
2.7813 0.3859 0.2605 2.21 1.5342 0.455
2.6675 -0.8729 0.3249 2.22 1.2148 0.4468
2.8944 -0.5047 0.3783 2.23 1.279 0.4941
2.8951 0.732 0.4524 2.24 1.0525 0.4914
2.8728 0.8062 0.6373 2.25 0.9753 0.4964
2.6525 -0.4106 0.7347 2.26 0.9988 0.4953
2.2844 -1.0291 0.7143 2.27 1.0109 0.5962
2.1827 -0.118 0.7368 2.28 0.9224 0.6552
1.9505 0.8533 0.7544 2.29 0.8249 0.6545
1.6558 0.145 0.8657 2.3 0.8499 0.7085
1.4953 -1.0867 0.8317 2.31 0.8053 0.8269
1.2627 -1.0161 0.7049 2.32 0.8455 0.8899
0.9041 0.2507 0.5626 2.33 1.0176 1.067
0.5848 0.5245 0.3939 2.34 0.9559 1.2173
0.328 -0.5726 0.2585 2.35 1.1208 1.2254
0.1044 -1.3487 0.0785 2.36 1.1725 1.3319
-0.1117 -0.5686 -0.1065 2.37 1.2585 1.4702
-0.2487 0.4801 -0.3185 2.38 1.3064 1.3573
-0.3674 0.0052 -0.4111 2.39 1.3069 1.5732
-0.4872 -1.1955 -0.6277 2.4 1.4194 1.6405
-0.4934 -1.2649 -0.703 2.41 1.5794 1.6891
-0.5073 -0.1152 -0.8163 2.42 1.6067 1.7367
-0.43 0.4375 -0.784 2.43 1.997 1.5477
-0.3542 -0.6795 -0.6942 2.44 2.0014 1.6543
-0.2613 -1.5059 -0.6044 2.45 1.9778 1.6057
-0.1179 -0.8049 -0.5153 2.46 2.2427 1.5475
0.0473 0.3157 -0.3711 2.47 2.0277 1.5055
0.2237 0.1093 -0.1367 2.48 2.1157 1.3079
0.3784 -1.1596 0.1112 2.49 2.0851 1.2369
0.5974 -1.5154 0.3717 2.5 2.1261 1.088
0.6338 -0.2027 0.6261 2.51 2.3367 0.98
0.8264 0.5051 0.9786 2.52 2.2038 0.7199
0.8861 -0.2986 1.2375 2.53 1.9787 0.6457
1.0013 -1.333 1.3712 2.54 2.0993 0.4223
1.0701 -0.7618 1.5401 2.55 2.0522 0.264
0.9643 0.5214 1.7584 2.56 1.9947 0.0756
0.9338 0.5034 1.8736 2.57 1.9732 -0.1077
0.9216 -0.6477 1.9607 2.58 1.8953 -0.2925
0.9566 -1.0911 1.6755 2.59 1.5175 -0.4269
0.7039 0.0651 1.593 2.6 1.357 -0.5915
0.7039 1.0084 1.6108 2.61 1.2058 -0.8392
0.5039 0.3083 1.1205 2.62 1.2386 -0.9135
0.4311 -0.7855 0.9429 2.63 1.0108 -1.0387
0.2899 -0.3946 0.6258 2.64 0.9342 -1.2793
0.1738 0.9841 0.2737 2.65 0.6901 -1.2607
0.1158 1.1034 -0.1175 2.66 0.4789 -1.4781
0.0605 0.1112 -0.4457 2.67 0.3803 -1.5272
0.0417 -0.4382 -0.8307 2.68 0.194 -1.5902
0.0613 0.5286 -1.2121 2.69 0.0374 -1.703
0.1105 1.5346 -1.3768 2.7 -0.0923 -1.6643
0.2385 1.253 -1.8739 2.71 -0.2512 -1.6272
0.3706 0.0331 -1.7833 2.72 -0.3849 -1.604
0.5512 0.2199 -2.089 2.73 -0.4925 -1.6199
0.789 1.578 -2.2044 2.74 -0.5388 -1.3134
0.9707 2.2061 -2.4392 2.75 -0.5966 -1.39
1.2919 0.8936 -2.2775 2.76 -0.6296 -1.277
1.3296 0.2202 -2.0908 2.77 -0.7073 -1.2506
1.7002 1.0903 -1.8888 2.78 -0.7043 -1.1297
1.7827 2.1454 -1.9961 2.79 -0.7176 -0.9614
2.1127 2.0874 -1.6891 2.8 -0.679 -0.9083
2.3134 0.7906 -1.5036 2.81 -0.6823 -0.771
2.541 0.7083 -1.2426 2.82 -0.6254 -0.6796
2.6844 2.0062 -1.2001 2.83 -0.5677 -0.6277
2.8093 2.4765 -1.0136 2.84 -0.5136 -0.4566
3.0471 1.7812 -0.8275 2.85 -0.4226 -0.3677
3.0231 0.7678 -0.8524 2.86 -0.328 -0.3334
2.6488 1.5032 -0.6636 2.87 -0.1988 -0.2345
2.8792 2.9562 -0.6909 2.88 -0.106 -0.2084
2.5549 2.342 -0.6471 2.89 0.0079 -0.1455
2.6591 1.3861 -0.708 2.9 0.1081 -0.123
2.1766 1.055 -0.7747 2.91 0.2289 -0.1317
1.8247 2.097 -0.7826 2.92 0.3061 -0.1439
1.6868 3.1798 -0.9491 2.93 0.4626 -0.1548
1.4676 2.2208 -1.0162 2.94 0.5078 -0.1979
1.1823 0.9424 -1.0978 2.95 0.6266 -0.2402
0.9804 1.4753 -1.1667 2.96 0.6631 -0.3188
0.6476 2.9477 -1.3163 2.97 0.6861 -0.4552
0.45 3.0124 -1.2796 2.98 0.7882 -0.5419
0.2294 1.5416 -1.4201 2.99 0.7558 -0.6175
0.0531 0.934 -1.2132 3.0 0.8355 -0.6912
-0.0631 1.8728 -1.2484 3.01 0.9031 -0.8237
-0.1661 2.731 -1.0007 3.02 0.8833 -0.9628
-0.1833 2.0009 -0.9675 3.03 0.8412 -1.2021
-0.2171 0.8259 -0.6757 3.04 0.692 -1.1925
-0.168 1.0407 -0.4686 3.05 0.653 -1.2969
-0.0998 2.163 -0.3053 3.06 0.5573 -1.457
-0.0157 2.5881 -0.0601 3.07 0.4951 -1.7302
0.1035 1.1956 0.1598 3.08 0.4287 -1.7457
0.2255 0.4663 0.3361 3.09 0.3344 -1.9659
0.3608 1.3229 0.5029 3.1 0.2221 -1.9925
0.4359 2.4586 0.5996 3.11 0.1009 -1.7671
0.5851 1.5376 0.7193 3.12 -0.0286 -2.0255
0.7425 0.3783 0.8328 3.13 -0.1464 -1.9441
0.8138 0.2749 0.6632 3.14 -0.2722 -2.0979
0.8817 1.4529 0.6415 3.15 -0.4141 -1.8626
0.8775 1.8161 0.4822 3.16 -0.5158 -1.8629
0.811 0.6829 0.3049 3.17 -0.5464 -2.0738
0.7413 -0.3171 0.0906 3.18 -0.639 -1.7251
0.7415 0.3688 -0.1673 3.19 -0.7771 -1.7823
0.6179 1.3961 -0.4763 3.2 -0.8627 -1.6774
0.4273 1.1133 -0.8596 3.21 -0.808 -1.5124
0.2828 -0.3247 -1.2111 3.22 -0.8607 -1.2796
0.1299 -0.5364 -1.3652 3.23 -0.9975 -1.1764
-0.0293 0.5432 -1.732 3.24 -0.8707 -1.0576
-0.1723 1.0258 -2.0458 3.25 -0.887 -1.0351
-0.2986 0.0413 -1.988 3.26 -0.8699 -0.8241
-0.4991 -1.0245 -2.182 3.27 -0.9116 -0.5849
-0.5147 -0.5276 -2.2128 3.28 -0.7989 -0.472
-0.6314 0.5471 -2.3049 3.29 -0.6905 -0.3154
-0.6591 0.4497 -2.1498 3.3 -0.6445 -0.1684
-0.6733 -0.9188 -2.0051 3.31 -0.4725 -0.0114
-0.6069 -1.4462 -1.8141 3.32 -0.377 0.1154
-0.5002 -0.3043 -1.6382 3.33 -0.2247 0.247
-0.3102 0.428 -1.4952 3.34 -0.0762 0.3832
-0.123 -0.4428 -1.1203 3.35 0.0765 0.4157
0.076 -1.4378 -0.701 3.36 0.2104 0.5272
0.3073 -1.3018 -0.4231 3.37 0.4056 0.5448
0.6069 -0.039 -0.0531 3.38 0.5985 0.5705
0.9435 0.0302 0.2874 3.39 0.6839 0.6567
1.0682 -1.2922 0.5316 3.4 0.8751 0.6445
1.4055 -1.7663 0.8469 3.41 0.9816 0.6173
1.7378 -0.9064 0.9488 3.42 1.1189 0.5842
1.8631 0.0778 1.1434 3.43 1.2747 0.5977
2.172 -0.5077 1.2117 3.44 1.3734 0.4388
2.406 -1.7861 1.4484 3.45 1.3876 0.4464
2.2383 -1.6638 1.2963 3.46 1.5322 0.3332
2.7569 -0.3291 1.4404 3.47 1.5889 0.242
2.4655 -0.025 1.4539 3.48 1.5986 0.1221
2.5899 -1.171 1.3388 3.49 1.6227 0.0073
2.6055 -1.8367 1.1218 3.5 1.8932 -0.1049
2.2144 -1.0673 1.1251 3.51 1.9207 -0.2301
2.4096 0.0675 0.8694 3.52 1.7906 -0.331
2.1812 -0.3547 0.8264 3.53 1.707 -0.3928
1.8599 -1.4471 0.673 3.54 1.7182 -0.583
1.6454 -1.5787 0.6465 3.55 1.5103 -0.5959
1.4623 -0.2867 0.6188 3.56 1.4212 -0.7228
1.2051 0.214 0.5695 3.57 1.3684 -0.7809
0.8677 -0.7888 0.6793 3.58 1.4366 -0.7553
0.6419 -1.5362 0.6803 3.59 1.272 -0.8374
0.5361 -0.8442 0.8472 3.6 1.1754 -0.8993
0.3059 0.2846 0.9538 3.61 0.997 -0.8543
0.1726 0.1062 1.0615 3.62 0.9345 -0.9182
0.0792 -1.1428 1.3023 3.63 0.909 -0.86
0.0184 -1.3626 1.427 3.64 0.7426 -0.7566
-0.0116 -0.0929 1.4994 3.65 0.689 -0.7236
-0.0072 0.6123 1.4037 3.66 0.5797 -0.6808
0.0292 -0.208 1.7394 3.67 0.5626 -0.5715
0.0911 -1.2601 1.5328 3.68 0.4153 -0.5128
0.1638 -0.6083 1.5054 3.69 0.3611 -0.4096
0.2482 0.6643 1.5741 3.7 0.3457 -0.2396
0.3394 0.5588 1.4402 3.71 0.3311 -0.1474
0.4567 -0.5988 1.2906 3.72 0.2979 -0.0115
0.6305 -1.0485 1.2152 3.73 0.3237 0.1287
0.6448 0.1134 0.9734 3.74 0.3013 0.2511
0.7199 0.9703 0.7155 3.75 0.3741 0.3685
0.7983 0.2924 0.4004 3.76 0.4393 0.4979
0.7975 -0.8384 0.162 3.77 0.4502 0.6501
0.6805 -0.5475 -0.0919 3.78 0.5044 0.7158
0.6388 0.7347 -0.3074 3.79 0.6152 0.7218
0.5924 0.9074 -0.5433 3.8 0.7917 0.8374
0.4544 -0.2199 -0.7196 3.81 0.8135 0.8761
0.2452 -0.8264 -0.7405 3.82 1.0189 0.8998
0.0724 0.0945 -0.9098 3.83 1.0229 1.0555
-0.1287 1.1815 -0.847 3.84 1.32 1.0903
-0.3169 0.4954 -0.7257 3.85 1.2867 0.9323
-0.5181 -0.7174 -0.6252 3.86 1.3486 0.9591
-0.6725 -0.6224 -0.4937 3.87 1.6684 0.8166
-0.8428 0.6249 -0.2292 3.88 1.8936 0.8289
-1.1135 1.0791 0.0593 3.89 1.9255 0.678
-1.2862 -0.1441 0.371 3.9 2.0626 0.5905
-1.1872 -0.8913 0.746 3.91 1.9812 0.5266
-1.4928 -0.2176 0.9581 3.92 2.2266 0.3795
-1.3872 0.7863 1.4709 3.93 1.9932 0.2234
-1.3069 0.4542 1.7891 3.94 2.2971 0.0749
-1.1888 -0.9425 2.1262 3.95 2.0651 -0.0808
-1.1471 -0.9982 2.114 3.96 2.172 -0.22
-0.8536 0.1571 2.3603 3.97 2.4577 -0.4239
-0.6813 0.6381 2.4564 3.98 2.4103 -0.5801
-0.4211 -0.3783 2.3223 3.99 2.0211 -0.7758
-0.1728 -1.3532 2.7936 4.0 2.044 -0.9405
0.0946 -0.8435 2.5373 4.01 2.0257 -1.0032
0.3933 0.3029 2.1605 4.02 2.1155 -1.2419
0.7175 0.078 2.2466 4.03 1.6574 -1.3122
0.9267 -1.3058 2.0807 4.04 1.6663 -1.3301
1.1668 -1.6423 1.738 4.05 1.6995 -1.39
1.3652 -0.5735 1.2948 4.06 1.5104 -1.5652
1.5876 0.15 1.0794 4.07 1.1898 -1.7221
1.6837 -0.713 0.8528 4.08 1.016 -1.6189
1.8631 -1.8204 0.5351 4.09 1.0326 -1.9151
1.8086 -1.4879 0.3096 4.1 0.709 -1.7534
1.8396 -0.3691 0.0916 4.11 0.65 -1.6356
2.0834 -0.4118 -0.109 4.12 0.4356 -1.6402
1.8059 -1.5629 -0.2393 4.13 0.3171 -1.5562
1.7212 -2.4398 -0.3535 4.14 0.1676 -1.7864
1.4611 -1.2057 -0.3906 4.15 0.0305 -1.6104
1.4849 -0.3871 -0.4174 4.16 -0.0965 -1.6571
1.1529 -1.1776 -0.4168 4.17 -0.2147 -1.3812
0.9393 -2.6025 -0.4014 4.18 -0.31 -1.4491
0.8891 -2.3436 -0.3363 4.19 -0.3971 -1.2102
0.6844 -0.9739 -0.2839 4.2 -0.4405 -1.1517
0.4307 -0.7998 -0.1852 4.21 -0.5025 -0.9649
0.3242 -2.0262 -0.1323 4.22 -0.5998 -1.0014
0.1675 -2.647 -0.0794 4.23 -0.584 -0.8848
0.0837 -1.71 -0.0519 4.24 -0.5806 -0.7473
0.023 -0.8455 -0.0573 4.25 -0.5744 -0.6872
-0.0084 -1.3514 -0.097 4.26 -0.5029 -0.6819
-0.0046 -2.7985 -0.1716 4.27 -0.5243 -0.5836
0.031 -2.5495 -0.2806 4.28 -0.4478 -0.5812
0.0854 -1.3576 -0.4031 4.29 -0.3931 -0.5029
0.1672 -0.7796 -0.5878 4.3 -0.3347 -0.5729
0.2651 -1.9649 -0.7897 4.31 -0.2188 -0.6123
0.3881 -2.6784 -0.8643 4.32 -0.153 -0.5702
0.5307 -1.941 -1.1843 4.33 -0.0628 -0.6398
0.5874 -0.8293 -1.3559 4.34 0.0241 -0.7672
0.7231 -0.9954 -1.3372 4.35 0.115 -0.8027
0.7979 -2.0716 -1.5895 4.36 0.1984 -0.9608
0.706 -2.6197 -1.7699 4.37 0.2718 -0.9296
0.8072 -1.0441 -1.6691 4.38 0.3273 -1.0853
0.7015 -0.5132 -1.6569 4.39 0.3975 -1.2566
0.6553 -1.3709 -1.8246 4.4 0.4859 -1.2469
0.5576 -2.199 -1.7016 4.41 0.5064 -1.4303
0.4418 -1.7378 -1.4911 4.42 0.4731 -1.5222
0.29 -0.3741 -1.3032 4.43 0.4689 -1.8559
0.0676 -0.4273 -1.032 4.44 0.493 -1.926
-0.1516 -1.5806 -0.6947 4.45 0.4224 -2.1622
-0.3737 -2.0384 -0.4446 4.46 0.3912 -2.2209
-0.6404 -0.6802 -0.177 4.47 0.3957 -2.4353
-0.9193 0.2132 0.1037 4.48 0.2706 -2.6274
-1.0638 -0.5201 0.4072 4.49 0.19 -2.3778
-1.3714 -1.5067 0.5646 4.5 0.0997 -2.603
-1.6288 -1.0813 0.7415 4.51 -0.0234 -2.694
-1.7813 0.3105 1.0032 4.52 -0.141 -2.9159
-2.0421 0.5245 1.1305 4.53 -0.3168 -2.7637
-1.9694 -0.6563 1.1128 4.54 -0.4717 -2.8528
-2.1964 -1.2172 1.0222 4.55 -0.5396 -2.9779
-1.9243 -0.0221 0.9505 4.56 -0.7827 -2.8152
-1.7676 1.0405 0.699 4.57 -0.9385 -2.6927
-1.791 0.4711 0.5445 4.58 -1.058 -2.78
