#time y2 y3 y1
1.81 -2.2976 0.6363 2.1482
1.82 -2.0568 1.0876 1.7598
1.83 -1.6554 1.2982 1.9601
1.84 -1.2331 1.2838 1.8123
1.85 -0.9068 1.1619 1.7396
1.86 -0.8382 0.8579 1.5737
1.87 -0.9839 0.4046 1.6799
1.88 -1.2752 -0.1 1.5113
1.89 -1.4849 -0.5211 1.4469
1.9 -1.5919 -0.6954 1.2326
1.91 -1.579 -0.812 1.2899
1.92 -0.9587 -0.6412 1.2348
1.93 -0.352 -0.3703 1.0951
1.94 0.298 0.0051 1.0091
1.95 0.7826 0.4622 1.1441
1.96 0.957 0.8558 0.9728
1.97 0.7395 0.9161 0.9783
1.98 0.0738 1.0399 1.0316
1.99 -0.7473 0.8161 0.9871
2.0 -1.6366 0.5729 0.9554
2.01 -2.2448 0.084 1.1124
2.02 -2.6302 -0.3336 0.9868
2.03 -2.2747 -0.7167 1.0683
2.04 -2.2852 -0.9743 1.2474
2.05 -1.6238 -0.9886 1.1424
2.06 -1.0495 -0.8699 1.2068
2.07 -0.8755 -0.5641 1.4908
2.08 -0.8912 -0.1451 1.5411
2.09 -1.0556 0.3171 1.7084
2.1 -1.2979 0.6694 1.4951
2.11 -1.5853 0.904 1.7865
2.12 -1.4152 0.9213 1.7974
2.13 -1.1491 0.6026 1.7119
2.14 -0.7462 0.3335 1.9049
2.15 -0.0403 -0.1426 2.0954
2.16 0.4864 -0.6181 1.8886
2.17 0.906 -0.902 2.1159
2.18 0.7383 -1.0773 2.0271
2.19 0.3522 -1.1691 1.9942
2.2 -0.3904 -0.9947 2.2526
2.21 -1.192 -0.7046 1.9864
2.22 -1.9443 -0.2309 2.2077
2.23 -2.2738 0.1986 2.1307
2.24 -2.7002 0.6047 1.8421
2.25 -2.1737 0.748 1.6962
2.26 -1.8068 0.7367 1.7071
2.27 -1.355 0.5171 1.7155
2.28 -0.86 0.1549 1.6655
2.29 -0.6202 -0.2815 1.5217
2.3 -0.5955 -0.6925 1.1746
2.31 -0.8431 -1.1215 1.0164
2.32 -1.1723 -1.2989 0.8608
2.33 -1.2514 -1.2132 0.791
2.34 -1.1979 -0.9317 0.5657
2.35 -0.7991 -0.7137 0.3538
2.36 -0.1464 -0.2307 0.1765
2.37 0.4912 0.1988 -0.0172
2.38 0.941 0.4904 -0.2277
2.39 1.1087 0.7521 -0.3918
2.4 0.7225 0.664 -0.5523
2.41 0.1124 0.4525 -0.8138
2.42 -0.7312 0.0758 -0.9014
2.43 -1.6386 -0.3489 -1.2303
2.44 -2.2974 -0.7586 -1.2835
2.45 -2.387 -1.2144 -1.4015
2.46 -2.4522 -1.2838 -1.6269
2.47 -1.6736 -1.2506 -1.7982
2.48 -1.2532 -1.0159 -1.8737
2.49 -0.5939 -0.5765 -1.7724
2.5 -0.2217 -0.1618 -2.0104
2.51 -0.139 0.2463 -2.1218
2.52 -0.2708 0.5256 -2.2578
2.53 -0.5574 0.6752 -2.3744
2.54 -0.7537 0.6412 -2.3837
2.55 -0.7829 0.427 -2.0283
2.56 -0.4701 0.0461 -2.3274
2.57 -0.036 -0.3627 -2.0579
2.58 0.6067 -0.7628 -2.0158
2.59 1.1707 -1.1246 -2.2277
2.6 1.4565 -1.313 -2.0804
2.61 1.1697 -1.1302 -1.9985
2.62 0.8084 -0.9624 -1.8787
2.63 -0.0171 -0.5286 -1.8144
2.64 -0.9405 -0.0327 -1.6464
2.65 -1.6272 0.3468 -1.6343
2.66 -1.9987 0.7485 -1.4181
2.67 -1.9644 0.8463 -1.4161
2.68 -1.6065 0.7169 -1.444
2.69 -0.9946 0.5086 -1.3129
2.7 -0.3767 0.0903 -1.3223
2.71 0.1503 -0.3569 -1.1568
2.72 0.3982 -0.7727 -1.191
2.73 0.382 -0.9368 -1.1099
2.74 0.2158 -1.0373 -0.9797
2.75 -0.0527 -1.1067 -0.9994
2.76 -0.208 -0.723 -1.082
2.77 -0.1265 -0.3033 -0.9954
2.78 0.203 0.1492 -0.9328
2.79 0.7948 0.5927 -0.9741
2.8 1.2733 0.8353 -1.0678
2.81 1.5923 0.8599 -1.1887
2.82 1.7423 0.7897 -1.1681
2.83 1.3187 0.5726 -1.1326
2.84 0.7196 0.1735 -1.1488
2.85 -0.0889 -0.2647 -1.4011
2.86 -0.9005 -0.6506 -1.2549
2.87 -1.329 -0.8975 -1.4576
2.88 -1.5299 -1.0558 -1.6397
2.89 -1.3037 -0.78 -1.6293
2.9 -0.9044 -0.5237 -1.5494
2.91 -0.1525 -0.1331 -1.6372
2.92 0.5104 0.3426 -1.8206
2.93 0.867 0.7683 -2.0038
2.94 1.0315 0.9546 -1.8788
2.95 0.9014 1.1524 -2.0949
2.96 0.7114 1.0461 -2.1616
2.97 0.4547 0.7251 -2.036
2.98 0.3243 0.2825 -2.273
2.99 0.5611 -0.1874 -1.8891
3.0 0.8397 -0.5507 -2.1565
3.01 1.4225 -0.7659 -2.2265
3.02 1.7175 -0.8139 -1.9525
3.03 2.1359 -0.7044 -1.8905
3.04 1.8582 -0.3732 -2.0182
3.05 1.5481 0.0856 -1.7738
3.06 0.6853 0.5662 -1.5552
3.07 -0.1853 0.8798 -1.5896
3.08 -0.8068 1.2811 -1.3184
3.09 -1.2248 1.22 -1.3206
3.1 -1.1709 0.9963 -1.0361
3.11 -0.7958 0.8402 -1.0171
3.12 -0.0635 0.3507 -0.7543
3.13 0.6667 -0.0808 -0.5978
3.14 1.2516 -0.4772 -0.3709
3.15 1.5604 -0.6071 -0.1774
3.16 1.5676 -0.66 0.0269
3.17 1.3072 -0.4739 0.2171
3.18 0.9902 -0.1421 0.4139
3.19 0.8293 0.2727 0.5895
3.2 0.7824 0.8037 0.7948
3.21 1.0214 1.0222 1.0266
3.22 1.4615 1.297 1.1941
3.23 2.0945 1.2571 1.2651
3.24 2.3136 1.2825 1.6075
3.25 2.4196 0.9232 1.7353
3.26 1.8035 0.4017 1.8283
3.27 1.2138 -0.0134 1.8777
3.28 0.3865 -0.3899 2.0046
3.29 -0.3912 -0.5555 2.0767
3.3 -0.8078 -0.5994 2.2189
3.31 -0.9734 -0.3318 2.1421
3.32 -0.7266 0.0025 2.3718
3.33 -0.123 0.4474 2.1213
3.34 0.6258 0.8834 2.2209
3.35 1.3991 1.1993 2.1708
3.36 1.8628 1.4782 2.1402
3.37 2.0989 1.5208 2.0092
3.38 1.73 1.2973 1.9717
3.39 1.4879 0.956 2.1136
3.4 1.0872 0.4505 1.9039
3.41 1.0739 0.015 1.8979
3.42 1.0819 -0.3165 1.6926
3.43 1.2813 -0.5246 1.6738
3.44 1.8264 -0.5058 1.7438
3.45 2.1469 -0.2555 1.5968
3.46 2.2046 0.115 1.6187
3.47 2.1268 0.5169 1.4431
3.48 1.4948 0.9138 1.3605
3.49 0.7113 1.4247 1.3066
3.5 -0.0438 1.5512 1.0874
3.51 -0.7347 1.4479 1.2181
3.52 -0.9531 1.3127 1.1594
3.53 -0.8817 0.7852 1.0297
3.54 -0.3723 0.4077 0.9557
3.55 0.3363 -0.0182 0.9508
3.56 1.0863 -0.3587 1.0813
3.57 1.5918 -0.4902 1.0343
3.58 1.9003 -0.4828 1.0175
3.59 1.8984 -0.2134 0.9722
3.6 1.7102 0.158 1.0896
3.61 1.3095 0.6444 1.0281
3.62 0.9879 1.1059 1.0619
3.63 0.8946 1.2462 1.2939
3.64 1.0568 1.565 1.2607
3.65 1.3699 1.3507 1.2781
3.66 1.6358 1.1512 1.5632
3.67 2.0582 0.7141 1.4366
3.68 1.9263 0.3194 1.6113
3.69 1.4954 -0.1229 1.7165
3.7 0.8082 -0.4063 1.5924
3.71 0.0916 -0.5326 1.8821
3.72 -0.5999 -0.481 1.8626
3.73 -1.1217 -0.2348 1.9232
3.74 -1.1722 0.1394 1.8712
3.75 -0.7853 0.5243 2.2126
3.76 -0.1973 0.9483 1.9607
3.77 0.6592 1.2302 1.9767
3.78 1.2722 1.2982 2.2345
3.79 1.6254 1.1678 1.8962
3.8 1.979 0.9888 2.1437
3.81 1.8045 0.5422 1.9315
3.82 1.4041 0.126 1.7482
3.83 1.0126 -0.2863 1.9419
3.84 0.6892 -0.6313 1.8903
3.85 0.6368 -0.7568 1.6609
3.86 0.8768 -0.6748 1.6022
3.87 1.2132 -0.3753 1.3663
3.88 1.5056 0.0276 1.2791
3.89 1.4176 0.4447 1.0211
3.9 1.4286 0.8062 0.8411
3.91 0.7355 1.1718 0.7444
3.92 0.0368 1.2007 0.5377
3.93 -0.6787 1.165 0.3855
3.94 -1.4343 0.7696 0.1634
3.95 -1.4763 0.3053 -0.0339
3.96 -1.5221 -0.1322 -0.2422
3.97 -0.8591 -0.5017 -0.4262
3.98 -0.0788 -0.8557 -0.6493
3.99 0.7633 -0.8829 -0.7766
4.0 1.2216 -0.8814 -0.9055
4.01 1.609 -0.5705 -1.1733
4.02 1.6357 -0.1413 -1.3224
4.03 1.3116 0.2821 -1.3788
4.04 0.7794 0.6347 -1.7128
4.05 0.3718 0.8358 -1.7724
4.06 0.1528 1.0277 -1.866
4.07 0.1974 0.7495 -1.8745
4.08 0.421 0.4465 -2.0876
4.09 0.6879 0.0252 -2.1667
4.1 0.8301 -0.4427 -2.0147
4.11 0.8381 -0.902 -2.4169
4.12 0.464 -1.1912 -2.1725
4.13 -0.1557 -1.2434 -2.0821
4.14 -0.9328 -1.0123 -2.3438
4.15 -1.677 -0.7925 -2.3388
4.16 -1.8736 -0.3922 -2.1914
4.17 -2.066 0.055 -2.2375
4.18 -1.5221 0.4459 -2.2214
4.19 -0.9451 0.6279 -1.9209
4.2 -0.0349 0.6939 -1.8684
4.21 0.6383 0.5103 -1.7827
4.22 1.1338 0.1181 -1.6748
4.23 1.14 -0.3471 -1.6641
4.24 1.0853 -0.7906 -1.7268
4.25 0.5006 -1.2683 -1.4763
4.26 0.055 -1.3887 -1.3738
4.27 -0.3149 -1.6083 -1.3797
4.28 -0.4106 -1.3838 -1.2916
4.29 -0.292 -1.0986 -1.2627
4.3 -0.0386 -0.5853 -1.1131
4.31 0.2244 -0.2147 -1.0085
4.32 0.295 0.1232 -1.0913
4.33 0.1037 0.3551 -1.0
4.34 -0.3557 0.322 -1.0804
4.35 -1.1568 0.1098 -1.0472
4.36 -1.8683 -0.2774 -1.0045
4.37 -2.4096 -0.7512 -1.0782
4.38 -2.5097 -1.2806 -1.0066
4.39 -2.2548 -1.5688 -1.0755
4.4 -1.6405 -1.8342 -1.1149
4.41 -0.7258 -1.8385 -1.0556
4.42 0.0403 -1.4825 -1.2901
4.43 0.6263 -1.315 -1.3184
4.44 0.8591 -0.963 -1.2594
4.45 0.7452 -0.4661 -1.396
4.46 0.4402 -0.1554 -1.4022
4.47 -0.1013 0.0114 -1.5891
4.48 -0.5571 -0.0205 -1.5052
4.49 -0.9113 -0.2499 -1.8428
4.5 -0.9424 -0.6036 -1.879
4.51 -0.7049 -0.9852 -1.8808
4.52 -0.4068 -1.6369 -2.0217
4.53 -0.2364 -1.9485 -1.9834
4.54 -0.239 -2.1882 -2.1454
4.55 -0.5696 -1.9546 -1.8821
4.56 -1.2207 -1.7872 -1.987
4.57 -1.8628 -1.5413 -1.9021
4.58 -2.2657 -1.1235 -1.8771
4.59 -2.9555 -0.7336 -2.0433
4.6 -2.796 -0.4371 -2.0133
4.61 -2.1124 -0.2983 -2.0139
4.62 -1.3411 -0.3172 -1.8621
4.63 -0.5257 -0.5895 -1.5998
4.64 0.1912 -1.0035 -1.6964
4.65 0.6241 -1.3565 -1.6122
4.66 0.7474 -1.8651 -1.4585
4.67 0.3944 -2.4438 -1.3077
4.68 -0.0805 -2.5442 -1.1831
4.69 -0.6338 -2.1475 -0.917
4.7 -1.1493 -2.1867 -0.794
4.71 -1.1959 -1.8044 -0.5784
4.72 -1.1829 -1.2604 -0.3716
4.73 -0.8838 -0.9054 -0.1526
4.74 -0.6772 -0.6138 0.0345
4.75 -0.5783 -0.5215 0.225
4.76 -0.652 -0.5722 0.4623
4.77 -1.016 -0.9486 0.6831
4.78 -1.5847 -1.3814 0.8731
4.79 -2.4627 -1.7783 0.9393
4.8 -2.5291 -2.3604 1.2065
4.81 -2.6523 -2.4826 1.294
4.82 -2.455 -2.4137 1.5495
4.83 -1.8598 -2.7281 1.4801
4.84 -0.9018 -2.2149 1.7695
4.85 -0.0904 -1.8295 1.9351
4.86 0.5548 -1.5568 2.1558
4.87 0.8088 -1.1114 2.1534
4.88 0.6658 -0.8477 1.9243
4.89 0.1787 -0.8096 2.0506
4.9 -0.4039 -0.7629 2.3246
4.91 -0.9285 -1.1107 2.1617
4.92 -1.4048 -1.4396 2.3551
4.93 -1.3541 -1.9962 2.0565
4.94 -1.2936 -2.4512 2.3568
4.95 -0.9211 -2.9289 2.006
4.96 -0.6608 -2.7405 1.9418
4.97 -0.698 -2.7452 2.0522
4.98 -0.8408 -2.3634 2.0003
4.99 -1.2857 -2.1629 2.1167
5.0 -1.7714 -1.4876 1.745
5.01 -2.4685 -1.223 1.8432
5.02 -2.8317 -1.0024 1.7188
5.03 -2.6329 -0.8066 1.7534
5.04 -1.8238 -0.9784 1.6449
5.05 -1.1411 -1.3002 1.3136
5.06 -0.2575 -1.5403 1.3786
5.07 0.5487 -2.1256 1.2745
5.08 0.8908 -2.305 1.142
5.09 0.939 -2.6847 1.1197
5.1 0.647 -2.8447 1.0492
5.11 0.044 -2.7553 0.9625
5.12 -0.5232 -2.4986 1.0668
5.13 -1.0993 -1.9927 1.1047
5.14 -1.3321 -1.6426 0.9442
5.15 -1.1172 -1.1661 1.0915
5.16 -0.93 -0.9407 0.9308
5.17 -0.7062 -0.7814 1.0395
5.18 -0.5142 -1.0715 1.1343
5.19 -0.5682 -1.174 1.0154
5.2 -0.8334 -1.8805 1.0488
5.21 -1.2375 -2.3449 1.3019
5.22 -1.6557 -2.5241 1.3958
5.23 -2.0773 -3.0403 1.3118
5.24 -2.2756 -2.5873 1.4276
5.25 -1.8164 -2.9055 1.5167
5.26 -1.1449 -2.5178 1.5663
5.27 -0.2022 -2.0941 1.5686
5.28 0.6234 -1.5477 1.6363
5.29 1.1002 -1.0422 1.9671
5.3 1.5149 -0.8086 2.0144
5.31 1.1159 -0.8012 2.024
5.32 0.7514 -0.8506 2.0713
5.33 0.0533 -1.2122 1.8486
5.34 -0.5403 -1.6944 2.1497
5.35 -0.831 -1.9811 2.1834
5.36 -1.0772 -2.5597 2.1947
5.37 -0.8667 -2.7244 2.0545
5.38 -0.5116 -2.8839 2.1672
5.39 -0.2655 -2.3013 1.9828
5.4 -0.1305 -2.1987 1.7261
5.41 -0.256 -1.5783 1.7313
5.42 -0.7064 -1.1513 1.7703
5.43 -1.0231 -0.8746 1.4773
5.44 -1.5476 -0.6364 1.5965
5.45 -1.6528 -0.6492 1.5007
5.46 -1.4232 -0.724 1.3514
5.47 -0.8019 -1.1833 1.0498
5.48 -0.0586 -1.5372 0.8245
5.49 0.8376 -2.0064 0.7642
5.5 1.4363 -2.1391 0.5829
5.51 1.8738 -2.6664 0.3652
5.52 1.8394 -2.4201 0.1413
5.53 1.3128 -2.3487 -0.046
5.54 0.8396 -1.8877 -0.2439
5.55 0.1325 -1.4839 -0.4334
5.56 -0.3728 -1.0224 -0.6552
5.57 -0.6465 -0.5541 -0.8418
5.58 -0.5683 -0.3312 -1.1052
5.59 -0.3438 -0.3091 -1.1869
5.6 0.003 -0.4881 -1.2754
5.61 0.2175 -0.83 -1.6371
5.62 0.2458 -1.3118 -1.8086
5.63 0.0355 -1.6535 -1.6377
5.64 -0.3725 -1.8568 -1.7567
5.65 -0.762 -2.3544 -1.8773
5.66 -1.0936 -2.0612 -2.2561
5.67 -1.0697 -1.8797 -2.2773
5.68 -0.5667 -1.6097 -2.383
5.69 0.1209 -0.9776 -2.2857
5.7 0.9083 -0.5088 -2.0398
5.71 1.7346 -0.1841 -2.0404
5.72 2.3309 0.0097 -2.3786
5.73 2.6641 0.002 -2.3971
5.74 2.0584 -0.2013 -2.0117
5.75 1.4927 -0.5416 -2.0019
5.76 0.92 -0.9697 -2.1175
5.77 0.1991 -1.2497 -1.8479
5.78 -0.2187 -1.6501 -1.9069
5.79 -0.3584 -1.8998 -1.7717
5.8 -0.1757 -1.6208 -1.7003
5.81 0.1554 -1.4353 -1.7208
5.82 0.4804 -1.0044 -1.526
5.83 0.6785 -0.5805 -1.6191
5.84 0.5688 -0.0999 -1.5713
5.85 0.33 0.2248 -1.2546
5.86 -0.0893 0.4416 -1.1661
5.87 -0.3972 0.4157 -1.2165
5.88 -0.4735 0.1766 -1.2709
5.89 -0.2867 -0.1799 -1.0742
5.9 0.2435 -0.6335 -1.1232
5.91 0.9716 -0.9899 -1.0286
5.92 1.7523 -1.2505 -1.0373
5.93 2.4241 -1.3008 -1.0759
5.94 2.6803 -1.2211 -0.9238
5.95 2.8814 -1.0332 -0.9587
5.96 2.3744 -0.5744 -1.0379
5.97 1.3996 -0.0659 -0.993
5.98 0.6945 0.4056 -1.1267
5.99 0.1267 0.7611 -1.138
6.0 -0.1645 0.8528 -1.2731
6.01 -0.1206 0.79 -1.1744
6.02 0.1805 0.6081 -1.2623
6.03 0.528 0.1959 -1.4909
6.04 0.885 -0.2394 -1.6082
6.05 0.8492 -0.6076 -1.5234
6.06 0.8389 -0.9439 -1.6609
6.07 0.463 -0.8478 -1.8655
6.08 0.0868 -0.8829 -1.7121
6.09 -0.1489 -0.4697 -1.6575
6.1 -0.0894 -0.0642 -1.781
6.11 0.2902 0.4191 -1.8704
6.12 0.9384 0.8949 -1.9681
6.13 1.9233 1.158 -2.1876
6.14 2.3729 1.2235 -2.0774
6.15 3.0625 1.2573 -2.0613
6.16 2.7295 0.9716 -1.8212
6.17 2.4858 0.6112 -1.9249
6.18 1.8661 0.141 -2.118
6.19 1.0815 -0.2261 -1.8314
6.2 0.4249 -0.428 -1.9643
6.21 -0.0759 -0.4929 -1.8413
6.22 -0.2077 -0.3626 -1.5849
6.23 -0.0126 -0.0404 -1.5406
6.24 0.3519 0.3744 -1.4537
6.25 0.663 0.9519 -1.2623
6.26 0.88 1.2974 -1.0185
6.27 0.8704 1.7005 -0.9581
6.28 0.7936 1.7694 -0.6616
6.29 0.384 1.6431 -0.5263
6.3 0.0823 1.1891 -0.3627
6.31 -0.0145 0.8073 -0.1507
6.32 0.1953 0.4534 0.0467
6.33 0.6751 0.1139 0.2503
6.34 1.4355 -0.1049 0.4833
6.35 2.2895 -0.1273 0.6148
6.36 2.8081 0.0293 0.8959
6.37 2.8034 0.364 0.929
6.38 2.8584 0.8571 1.2567
6.39 2.1253 1.2199 1.3907
6.4 1.3176 1.7449 1.5952
6.41 0.5451 1.8724 1.7041
6.42 -0.1214 2.0161 1.7502
6.43 -0.4142 1.931 1.8573
6.44 -0.3725 1.6635 1.8898
6.45 -0.0737 1.212 1.9545
6.46 0.3283 0.7442 2.0058
6.47 0.6479 0.3995 2.0537
6.48 0.8841 0.1768 2.2004
6.49 0.8085 0.1915 2.3528
6.5 0.4287 0.3712 2.0592
6.51 0.1266 0.745 2.3272
6.52 -0.0748 1.0759 2.4402
6.53 -0.0427 1.5764 2.3557
6.54 0.2793 1.8727 2.059
6.55 0.9787 2.3243 2.1057
6.56 1.7437 2.1097 2.2437
6.57 2.1676 1.9642 1.8009
6.58 2.6727 1.782 1.9896
6.59 2.6094 1.2934 1.9247
6.6 2.0352 0.8811 1.6407
6.61 1.2008 0.636 1.7363
6.62 0.4207 0.4359 1.611
6.63 -0.2863 0.3895 1.3154
6.64 -0.8186 0.5867 1.4532
6.65 -0.8496 0.9761 1.4172
6.66 -0.7498 1.5558 1.3408
6.67 -0.2597 1.7496 1.1591
6.68 0.1695 2.2563 1.0948
6.69 0.434 2.2778 1.1155
6.7 0.5674 2.5273 1.0923
6.71 0.3828 2.2904 1.0847
6.72 0.038 1.763 0.9084
6.73 -0.2416 1.3364 0.9599
6.74 -0.3447 1.1004 1.04
6.75 -0.1915 0.7466 0.9157
6.76 0.2871 0.4881 0.9901
6.77 0.9534 0.6014 1.1884
6.78 1.6141 0.7316 1.1541
6.79 1.9277 1.1269 1.0867
6.8 2.3439 1.637 1.3728
6.81 1.7002 2.1726 1.3796
6.82 1.0794 2.6039 1.3865
6.83 0.3441 2.4349 1.606
6.84 -0.5044 2.4726 1.5577
6.85 -1.109 2.4981 1.7504
6.86 -1.5985 1.8381 1.5307
6.87 -1.2527 1.3312 1.6775
6.88 -0.9853 1.067 1.8958
6.89 -0.5828 0.6597 1.7493
6.9 -0.1004 0.5287 1.737
6.91 0.1113 0.6467 1.9873
6.92 0.0857 0.8891 2.0138
6.93 -0.1531 1.1905 2.0346
6.94 -0.4158 1.6509 1.8085
6.95 -0.6266 1.8898 1.9091
