#y3 time y6 y1 y4 y2 y5
1.0893 0.43 0.2166 0.6026 1.584 1.3409 -0.2031
2.0209 0.44 0.2004 0.5396 1.8434 1.5275 -0.2075
2.4429 0.45 0.1808 0.553 2.2536 1.796 -0.1423
1.9884 0.46 0.1499 0.6018 2.5982 2.1135 -0.0455
1.3247 0.47 0.1586 0.6323 2.6896 1.8921 0.0934
0.5773 0.48 0.1544 0.7285 2.8866 2.0027 0.2745
0.452 0.49 0.1801 0.9318 2.717 2.2997 0.4668
0.9178 0.5 0.2189 1.0009 2.2966 2.2972 0.7364
1.7475 0.51 0.2553 1.1518 2.1001 2.4903 0.7983
2.5871 0.52 0.2822 1.6073 1.6877 2.6018 1.008
2.2122 0.53 0.3365 1.6282 1.2787 2.7525 1.1493
1.5054 0.54 0.3905 1.7765 0.8547 2.6791 1.0643
0.6969 0.55 0.4145 2.2441 0.6453 2.498 1.2615
0.4217 0.56 0.4838 2.4789 0.6055 2.6549 1.0941
0.8233 0.57 0.6197 2.186 0.8567 2.4876 0.8955
1.8703 0.58 0.671 2.4103 1.0289 2.4645 0.8199
2.4902 0.59 0.7143 2.2804 1.4646 2.2933 0.56
2.5995 0.6 0.8171 2.3437 1.8637 2.0148 0.2857
1.6108 0.61 0.8361 2.4581 2.0228 2.0039 0.0022
0.8524 0.62 0.837 2.1416 2.1154 1.8019 -0.2402
0.4693 0.63 0.9842 1.8983 2.178 1.8079 -0.531
0.8411 0.64 0.9678 1.6129 1.9007 1.6754 -0.7418
1.57 0.65 1.0686 1.1946 1.7251 1.6398 -0.8502
2.4143 0.66 1.021 0.8882 1.2741 1.3827 -0.9277
2.3767 0.67 1.1144 0.5374 0.7169 1.1699 -0.9717
1.9956 0.68 1.0915 0.224 0.3001 0.9979 -1.0854
0.9634 0.69 1.2111 -0.1089 -0.0021 0.867 -0.9761
0.5328 0.7 1.2252 -0.4177 -0.1519 0.7918 -0.7009
0.712 0.71 1.0748 -0.7288 -0.1509 0.6406 -0.5409
1.2825 0.72 1.1164 -0.9557 0.0368 0.6388 -0.261
2.1098 0.73 1.0025 -1.0933 0.3668 0.5998 0.042
2.6931 0.74 1.0908 -1.0699 0.6951 0.502 0.3544
2.1104 0.75 0.911 -1.0308 1.0924 0.4414 0.5896
1.1895 0.76 0.9406 -1.0315 1.2757 0.4706 0.9076
0.5343 0.77 0.7991 -0.7825 1.4366 0.4749 1.1897
0.558 0.78 0.871 -0.5479 1.1953 0.4848 1.3023
1.2032 0.79 0.7451 -0.313 0.9797 0.5771 1.5217
1.895 0.8 0.6516 -0.0157 0.5356 0.6608 1.5167
2.1659 0.81 0.4978 0.3265 0.1079 0.7568 1.516
2.0832 0.82 0.4251 0.7273 -0.4074 0.85 1.4665
1.3817 0.83 0.3185 0.9504 -0.8106 1.0037 1.3151
0.5622 0.84 0.1988 1.3426 -1.0571 1.1321 1.0608
0.3545 0.85 0.0977 1.7006 -1.2872 1.0676 0.9209
0.946 0.86 -0.018 1.7663 -1.0792 1.2498 0.7164
1.6059 0.87 -0.1278 2.0393 -0.9378 1.4185 0.5392
2.1966 0.88 -0.2242 2.2001 -0.6161 1.4123 0.4482
2.2473 0.89 -0.3236 2.5243 -0.2851 1.5576 0.2744
1.4888 0.9 -0.5075 2.2711 0.0511 1.6214 0.2165
0.5927 0.91 -0.5543 2.1487 0.2447 1.6803 0.2146
0.2495 0.92 -0.7208 2.2202 0.2788 1.7364 0.2639
0.6264 0.93 -0.8184 2.1927 0.1669 1.8276 0.3715
1.3507 0.94 -0.8791 1.6999 -0.121 2.0142 0.5681
1.9089 0.95 -0.9235 1.3847 -0.5081 1.8374 0.7996
2.2607 0.96 -0.8825 1.3762 -0.9185 2.1109 1.1352
1.3007 0.97 -0.9739 0.9488 -1.5539 2.1487 1.4527
0.5572 0.98 -0.9744 0.7226 -1.9035 2.0745 1.5332
0.1002 0.99 -1.1334 0.4247 -2.2699 1.6918 1.8805
0.327 1.0 -1.092 0.1884 -2.1439 1.9614 2.1505
1.1961 1.01 -1.0002 -0.0133 -1.9896 1.7057 2.5484
1.8102 1.02 -0.9841 -0.1595 -1.8803 1.6689 2.5459
1.8575 1.03 -1.0187 -0.3044 -1.3115 1.5058 2.7872
1.3688 1.04 -0.9939 -0.3631 -1.0322 1.372 3.1055
0.6273 1.05 -1.0068 -0.3754 -0.7468 1.2169 2.8458
-0.0055 1.06 -0.79 -0.3853 -0.503 0.8824 2.5445
0.0753 1.07 -0.8255 -0.3892 -0.483 0.7409 2.2989
0.8344 1.08 -0.6986 -0.2819 -0.5461 0.6425 2.4427
1.4441 1.09 -0.6053 -0.2457 -0.8531 0.4287 2.0709
1.9334 1.1 -0.4613 -0.1316 -1.4047 0.2842 1.7638
1.4065 1.11 -0.3237 -0.0594 -1.7757 0.1106 1.4601
0.5844 1.12 -0.1953 0.0037 -2.36 -0.0406 1.3661
-0.0925 1.13 -0.0614 0.0462 -2.7049 -0.1922 1.0646
-0.1769 1.14 0.0936 0.0783 -2.601 -0.2749 0.8365
0.3931 1.15 0.2543 0.0605 -2.7419 -0.4144 0.8099
1.2253 1.16 0.3855 0.0251 -2.6225 -0.4605 0.6638
1.8486 1.17 0.516 -0.0468 -2.1663 -0.558 0.649
1.2909 1.18 0.6882 -0.1335 -1.6071 -0.5592 0.7299
0.6317 1.19 0.8056 -0.2583 -1.2159 -0.6151 0.7518
-0.1378 1.2 1.0353 -0.4207 -0.8501 -0.5928 1.0043
-0.3677 1.21 1.1404 -0.5801 -0.6893 -0.4988 1.0715
0.099 1.22 1.4274 -0.6666 -0.6931 -0.5175 1.3547
0.9758 1.23 1.392 -0.8299 -0.8251 -0.451 1.4266
1.3572 1.24 1.7041 -0.9194 -1.1463 -0.3797 1.6099
1.3254 1.25 1.8949 -0.9601 -1.4213 -0.2394 1.7382
0.6552 1.26 2.0348 -1.1042 -2.014 -0.1485 1.7131
-0.1654 1.27 1.9485 -1.0503 -2.1049 -0.0233 1.8097
-0.5874 1.28 2.0913 -0.8632 -2.4859 0.0962 1.9103
-0.2135 1.29 2.2144 -0.8338 -2.7663 0.2145 1.7421
0.5328 1.3 2.1011 -0.6803 -2.6606 0.354 1.4523
1.1753 1.31 2.2791 -0.5562 -2.3277 0.5171 1.2519
1.2212 1.32 2.4125 -0.2975 -2.0133 0.5407 1.0497
0.641 1.33 2.4597 -0.0907 -1.3267 0.7567 0.7834
-0.168 1.34 2.5114 0.156 -1.0172 0.8211 0.3918
-0.6491 1.35 2.3354 0.3863 -0.6982 0.8324 0.0925
-0.5185 1.36 2.4189 0.6341 -0.4275 1.0264 -0.2542
0.246 1.37 2.3798 0.8659 -0.4141 0.9954 -0.551
0.9515 1.38 2.5764 0.9857 -0.5625 0.9533 -0.7483
1.2536 1.39 2.2593 1.1063 -0.9267 1.0896 -1.0241
0.7576 1.4 2.5298 1.2222 -1.2984 1.1048 -1.0777
-0.1415 1.41 2.1441 1.1809 -1.7112 1.0928 -1.2903
-0.7117 1.42 2.256 0.9964 -1.96 0.9357 -1.2061
-0.758 1.43 2.4062 0.9387 -2.1399 0.7996 -1.0818
-0.0344 1.44 2.3017 0.624 -2.111 0.8352 -1.1431
0.8267 1.45 2.2287 0.4289 -2.0774 0.6358 -0.9727
1.1505 1.46 1.768 0.0913 -1.4718 0.5368 -0.7037
0.7533 1.47 1.7078 -0.2819 -1.2234 0.47 -0.5462
-0.0524 1.48 1.7545 -0.6555 -0.635 0.3357 -0.3224
-0.8388 1.49 1.6748 -0.9515 -0.2092 0.1561 -0.1081
-0.8874 1.5 1.5162 -1.4039 0.1067 0.0157 0.0304
-0.2711 1.51 1.6414 -1.782 0.2583 -0.1362 0.14
0.5771 1.52 1.3164 -2.0038 0.2739 -0.2694 0.1711
1.0643 1.53 1.388 -2.4384 0.068 -0.4496 0.1676
0.8256 1.54 1.1529 -2.5489 -0.25 -0.492 0.1122
0.0547 1.55 1.2293 -2.8518 -0.5986 -0.6416 -0.0256
-0.6548 1.56 1.2475 -2.5813 -0.8846 -0.7807 -0.2214
-0.9788 1.57 1.0739 -3.0798 -1.2994 -0.8947 -0.3769
-0.5148 1.58 0.9862 -2.5838 -1.3875 -0.9165 -0.5958
0.2962 1.59 1.0051 -2.832 -1.349 -0.9028 -0.9568
0.9948 1.6 0.9909 -2.5994 -1.0227 -0.9215 -1.078
0.869 1.61 1.024 -2.0056 -0.6176 -0.8941 -1.3635
0.1869 1.62 0.8552 -1.7208 -0.1847 -0.9708 -1.664
-0.6083 1.63 0.8267 -1.4044 0.3071 -0.978 -1.512
-1.0034 1.64 0.8856 -1.2847 0.7011 -0.8779 -1.6789
-0.7426 1.65 1.0137 -0.8076 0.9826 -0.8142 -1.8477
0.1199 1.66 0.9732 -0.592 1.0341 -0.6499 -1.8118
0.7541 1.67 1.0494 -0.2486 1.1356 -0.6185 -1.4473
0.9 1.68 0.9806 -0.0104 0.8162 -0.4369 -1.439
0.366 1.69 1.0986 0.1657 0.5262 -0.2963 -1.0798
-0.4554 1.7 1.0286 0.3276 0.1432 -0.1299 -0.8217
-0.9065 1.71 1.0736 0.3827 -0.1798 0.0179 -0.4548
-0.8368 1.72 1.2378 0.4417 -0.4279 0.1871 -0.1666
-0.0553 1.73 1.3115 0.4012 -0.5346 0.3388 0.1249
0.6882 1.74 1.2231 0.2706 -0.3986 0.4736 0.3978
0.9416 1.75 1.4232 0.1496 -0.1282 0.71 0.5324
0.6191 1.76 1.3116 -0.0112 0.2465 0.8442 0.7584
-0.2805 1.77 1.529 -0.2058 0.7295 0.8374 0.7941
-0.8468 1.78 1.5594 -0.3952 1.0854 0.9396 0.9047
-0.8651 1.79 1.6697 -0.6216 1.6091 1.1756 0.8465
-0.1893 1.8 1.7532 -0.7507 1.8707 1.2315 0.6764
0.6508 1.81 1.6595 -0.9002 1.8384 1.3207 0.6261
0.9721 1.82 1.6199 -1.0222 1.8417 1.3612 0.4414
0.7603 1.83 1.6706 -1.1131 1.4974 1.2591 0.1763
-0.0116 1.84 1.626 -1.414 1.0733 1.4576 -0.0194
-0.7434 1.85 1.773 -1.3098 0.6816 1.435 -0.2402
-0.7625 1.86 1.7885 -1.2013 0.3468 1.2486 -0.4358
-0.2959 1.87 1.6251 -1.3024 0.1345 1.1127 -0.59
0.5832 1.88 1.6395 -1.2365 0.0696 1.1926 -0.619
1.0799 1.89 1.8395 -1.1879 0.2065 0.961 -0.7228
1.0518 1.9 1.6536 -0.9768 0.4556 0.8888 -0.5658
0.2644 1.91 1.8226 -0.9015 0.8699 0.8643 -0.585
-0.4804 1.92 1.6215 -0.7887 1.2039 0.7712 -0.3731
-0.7946 1.93 1.6477 -0.8538 1.8102 0.638 -0.1937
-0.3225 1.94 1.301 -0.7869 2.0322 0.4729 0.0305
0.5303 1.95 1.3805 -0.6983 2.2075 0.3165 0.2724
1.1136 1.96 1.2999 -0.7371 2.1869 0.2136 0.5775
1.159 1.97 1.2087 -0.8053 2.0889 0.1272 0.8087
0.5308 1.98 0.9367 -0.7976 1.616 0.03 1.016
-0.2299 1.99 0.9585 -0.9672 1.2436 -0.0519 1.2367
-0.681 2.0 0.7424 -1.0184 0.7889 -0.1094 1.2791
-0.3022 2.01 0.6293 -1.3626 0.4518 -0.18 1.3421
0.5219 2.02 0.4919 -1.4639 0.3025 -0.192 1.2359
1.1941 2.03 0.4056 -1.376 0.2394 -0.1967 1.1819
1.5392 2.04 0.2443 -1.7276 0.3399 -0.2048 0.9211
0.8711 2.05 0.1039 -1.7994 0.6222 -0.1443 0.8169
0.0816 2.06 -0.0329 -1.8415 0.9781 -0.0872 0.5054
-0.4227 2.07 -0.1571 -1.7948 1.4153 -0.0221 0.1842
-0.2941 2.08 -0.2987 -1.7873 1.7391 0.0788 -0.1526
0.4219 2.09 -0.4089 -1.889 2.126 0.1769 -0.453
1.3935 2.1 -0.5 -1.4317 2.1692 0.3372 -0.7975
1.7469 2.11 -0.5796 -1.2952 2.0075 0.4323 -1.0047
1.1105 2.12 -0.6666 -1.075 1.8174 0.5672 -1.1507
0.4058 2.13 -0.8562 -0.9394 1.3108 0.7635 -1.2805
-0.2064 2.14 -0.9357 -0.6127 0.9256 0.9088 -1.3866
-0.1803 2.15 -0.9615 -0.2201 0.5112 1.1616 -1.5766
0.5003 2.16 -1.0998 0.1062 0.2179 1.2358 -1.4366
1.3623 2.17 -1.1462 0.453 0.0251 1.4551 -1.3607
1.8286 2.18 -1.1096 0.7264 0.0069 1.6669 -1.1702
1.5372 2.19 -1.1768 0.9672 0.1547 1.7929 -1.0753
0.7129 2.2 -1.0051 1.2574 0.4503 1.7859 -0.9931
0.0665 2.21 -1.1563 1.3625 0.8648 1.8341 -0.763
-0.0727 2.22 -1.1409 1.5563 1.14 1.9935 -0.5921
0.4468 2.23 -1.0267 1.5682 1.4779 1.9243 -0.4832
1.4586 2.24 -0.9259 1.4793 1.9076 1.946 -0.4121
1.8598 2.25 -0.8726 1.4492 1.7739 2.1287 -0.3649
2.011 2.26 -0.8656 1.2553 1.6884 2.1716 -0.4053
1.0389 2.27 -0.7468 1.0855 1.3578 2.2335 -0.4734
0.3558 2.28 -0.5657 0.6877 0.8433 2.0276 -0.6452
0.0707 2.29 -0.5264 0.4502 0.4445 1.8939 -0.863
0.4771 2.3 -0.4083 0.0944 -0.0095 1.9473 -1.1768
1.4254 2.31 -0.267 -0.2467 -0.3069 1.9498 -1.4393
1.9559 2.32 -0.1077 -0.6362 -0.5358 1.7996 -1.7516
2.2674 2.33 0.028 -0.9653 -0.4337 1.6381 -2.0174
1.636 2.34 0.1664 -1.1294 -0.2634 1.6178 -2.2643
0.6885 2.35 0.3098 -1.4559 0.0297 1.3362 -2.7367
0.2491 2.36 0.4635 -1.7329 0.4075 1.1963 -2.9769
0.5178 2.37 0.5582 -1.8205 0.8408 1.068 -2.7563
1.3509 2.38 0.783 -1.8014 0.9993 0.9293 -3.0805
1.8926 2.39 0.9254 -1.5842 1.2934 0.9076 -2.7569
2.5396 2.4 0.9315 -1.5993 1.3024 0.7301 -2.8507
1.9575 2.41 1.188 -1.4637 1.0318 0.6313 -2.7773
1.0237 2.42 1.2858 -1.2151 0.6707 0.4751 -2.4871
0.4278 2.43 1.2559 -0.9185 0.1931 0.3679 -2.198
0.6172 2.44 1.3653 -0.658 -0.263 0.2989 -2.2414
1.2451 2.45 1.4535 -0.3608 -0.6549 0.2622 -1.7271
1.9573 2.46 1.5495 -0.0128 -0.9885 0.2022 -1.407
2.4802 2.47 1.8849 0.2815 -1.0973 0.1986 -1.2762
2.0495 2.48 1.8534 0.5994 -1.0591 0.2082 -1.1505
1.2333 2.49 1.8673 0.9079 -0.7589 0.2502 -0.9127
0.6885 2.5 1.776 1.0514 -0.3723 0.263 -0.7531
0.5509 2.51 1.986 1.2641 -0.0168 0.3697 -0.8069
1.2631 2.52 1.9818 1.3989 0.3282 0.4166 -0.741
1.9637 2.53 1.8439 1.4145 0.6491 0.5074 -0.8014
2.4256 2.54 2.084 1.592 0.7194 0.6145 -1.0415
2.3055 2.55 1.7428 1.6658 0.639 0.7176 -1.1276
1.6876 2.56 1.7027 1.6029 0.4132 0.9245 -1.2989
0.8318 2.57 1.8162 1.4376 0.0713 0.9482 -1.5283
0.724 2.58 1.8993 1.397 -0.4009 1.1215 -1.7891
1.0982 2.59 1.7376 1.1742 -0.7593 1.3254 -1.6643
1.8991 2.6 1.7761 1.0133 -1.09 1.2059 -1.9077
2.856 2.61 1.6304 1.0006 -1.3018 1.3505 -1.9123
2.4816 2.62 1.4064 0.7813 -1.5232 1.6091 -1.8414
1.9644 2.63 1.4726 0.6593 -1.4538 1.774 -1.9154
1.1439 2.64 1.3772 0.6098 -1.0528 1.6492 -1.8914
0.6758 2.65 1.3003 0.6784 -0.7047 1.5915 -1.5588
1.0613 2.66 1.2412 0.7149 -0.2501 1.8362 -1.4257
1.9247 2.67 1.0775 0.7697 0.0941 1.7285 -0.9421
2.4744 2.68 1.1304 0.8138 0.3312 1.8519 -0.6778
2.6944 2.69 0.9848 0.8497 0.4057 1.6505 -0.3572
2.1583 2.7 0.8307 1.0407 0.3645 1.6154 -0.0648
1.1375 2.71 0.8408 1.1567 0.0911 1.6155 0.2485
0.7273 2.72 0.7471 1.0976 -0.2796 1.4226 0.5228
0.9855 2.73 0.6906 1.3539 -0.7037 1.3655 0.6966
1.655 2.74 0.6896 1.2477 -1.003 1.1679 0.8551
2.319 2.75 0.6325 1.2573 -1.4022 1.1904 0.9822
2.8368 2.76 0.5146 1.4233 -1.4922 0.9466 0.9995
2.2197 2.77 0.5761 1.2747 -1.6145 0.72 0.9812
1.3132 2.78 0.4709 1.3191 -1.4762 0.593 0.7625
0.7854 2.79 0.4583 1.1688 -1.0391 0.3969 0.6344
0.8681 2.8 0.4609 0.8634 -0.7072 0.2103 0.4045
1.5637 2.81 0.5213 0.7772 -0.2394 0.0455 0.1884
2.4427 2.82 0.5511 0.4974 0.1127 -0.1243 -0.0166
2.957 2.83 0.4951 0.3304 0.3117 -0.3167 -0.2096
2.4504 2.84 0.6191 0.1196 0.4165 -0.4783 -0.3752
1.6148 2.85 0.5735 -0.0705 0.2847 -0.5489 -0.5186
0.7834 2.86 0.6244 -0.2242 0.0127 -0.6828 -0.5847
0.7753 2.87 0.6401 -0.3897 -0.3716 -0.7499 -0.6404
1.2305 2.88 0.7532 -0.4765 -0.765 -0.9454 -0.641
2.0989 2.89 0.8667 -0.4636 -1.1615 -1.0474 -0.6065
2.5036 2.9 0.9342 -0.491 -1.3217 -1.0634 -0.392
2.6003 2.91 0.9337 -0.3889 -1.5453 -1.0229 -0.2109
1.6666 2.92 0.9041 -0.243 -1.5594 -1.0772 -0.0161
0.9225 2.93 0.9748 -0.0436 -1.157 -1.0904 0.2083
0.6064 2.94 1.2163 0.2118 -0.9264 -1.0404 0.4842
1.0864 2.95 1.0899 0.5449 -0.4286 -1.0575 0.677
1.7617 2.96 1.2406 0.9022 0.0105 -0.8157 0.8459
2.5279 2.97 1.3197 1.28 0.3722 -0.7768 0.9893
2.3106 2.98 1.2726 1.5521 0.5438 -0.655 1.1416
1.6254 2.99 1.3314 1.7663 0.5933 -0.6064 0.9783
0.8522 3.0 1.4691 2.2755 0.4143 -0.5746 0.9463
0.419 3.01 1.2991 2.5626 0.118 -0.457 0.9295
0.747 3.02 1.5089 2.7279 -0.2629 -0.3222 0.7357
1.5719 3.03 1.4903 2.9886 -0.7076 -0.2454 0.4117
2.1272 3.04 1.2847 2.7967 -1.032 -0.1417 0.1476
2.4916 3.05 1.4099 2.8665 -1.2627 -0.0526 -0.1317
1.578 3.06 1.3712 2.8022 -1.1825 0.0141 -0.4458
0.7643 3.07 1.3873 2.692 -1.0874 0.0689 -0.7274
0.2682 3.08 1.3274 2.6517 -0.8341 0.1037 -1.1094
0.4215 3.09 1.2869 2.2753 -0.5193 0.1163 -1.2169
1.1261 3.1 1.0957 1.78 -0.0626 0.118 -1.4863
2.0058 3.11 1.0429 1.7311 0.3565 0.0988 -1.4736
1.9283 3.12 0.9728 1.2048 0.6873 0.051 -1.4901
1.5502 3.13 0.8387 0.7799 0.7541 -0.0184 -1.5798
0.7691 3.14 0.6423 0.4501 0.7553 -0.1083 -1.6038
0.13 3.15 0.5182 0.1155 0.6349 -0.2167 -1.4582
0.14 3.16 0.4485 -0.2162 0.2889 -0.3597 -1.2249
0.8121 3.17 0.2453 -0.4318 -0.1452 -0.4378 -0.9395
1.628 3.18 0.1232 -0.7061 -0.4967 -0.6604 -0.7465
1.7804 3.19 -0.0333 -0.7824 -0.9274 -0.7363 -0.5528
1.4864 3.2 -0.201 -0.9112 -1.1323 -0.9386 -0.3545
0.762 3.21 -0.3458 -0.9111 -0.9847 -1.2006 -0.14
0.0099 3.22 -0.4821 -0.9043 -0.9581 -1.412 -0.03
-0.1668 3.23 -0.5981 -0.703 -0.5902 -1.4947 0.034
0.3772 3.24 -0.811 -0.5825 -0.16 -1.5179 0.0458
1.1213 3.25 -0.9338 -0.3961 0.2318 -1.9716 -0.0102
1.6668 3.26 -1.1013 -0.193 0.6494 -1.9655 -0.1195
1.5109 3.27 -1.2805 0.0386 0.9624 -2.2387 -0.2795
0.7534 3.28 -1.4179 0.2588 0.9352 -2.3044 -0.4334
-0.1175 3.29 -1.4631 0.5189 0.9778 -2.1743 -0.7023
-0.4771 3.3 -1.6855 0.7312 0.6647 -2.6207 -0.8652
-0.0453 3.31 -1.7884 0.7902 0.3049 -2.5234 -1.0507
0.6927 3.32 -1.8201 0.9552 -0.0988 -2.695 -1.4675
1.3278 3.33 -1.7236 1.1112 -0.4451 -2.7281 -1.4526
1.404 3.34 -1.8438 1.1915 -0.8579 -2.5196 -1.6691
0.6315 3.35 -1.8702 1.1476 -0.9904 -2.8359 -1.7777
-0.2213 3.36 -2.1246 1.1656 -0.919 -2.7938 -1.7364
-0.7116 3.37 -2.1512 1.0375 -0.6792 -2.3204 -1.6793
-0.453 3.38 -1.9545 0.9208 -0.4087 -2.38 -1.2678
0.3442 3.39 -2.1332 0.7671 0.012 -2.249 -1.2321
1.0845 3.4 -2.11 0.6278 0.4688 -2.1395 -0.8094
1.2243 3.41 -2.0388 0.5237 0.7631 -2.2193 -0.5877
0.5411 3.42 -1.816 0.3998 1.0421 -2.0986 -0.2426
-0.3103 3.43 -1.8381 0.2915 0.9868 -1.6676 0.0755
-0.9203 3.44 -1.6802 0.2456 0.8946 -1.7681 0.4387
-0.7296 3.45 -1.7727 0.1877 0.5907 -1.5388 0.642
-0.1107 3.46 -1.5536 0.1528 0.2345 -1.3917 0.9766
0.7046 3.47 -1.5279 0.1668 -0.2017 -1.3834 1.177
0.9303 3.48 -1.437 0.225 -0.5599 -1.2446 1.1521
0.4649 3.49 -1.2639 0.2571 -0.9147 -1.033 1.4141
-0.3663 3.5 -1.1296 0.3606 -1.0089 -0.9547 1.2031
-1.0131 3.51 -1.0638 0.42 -0.9788 -0.8839 1.3221
-1.0974 3.52 -0.9621 0.5419 -0.6914 -0.857 1.1493
-0.4929 3.53 -0.7368 0.6099 -0.321 -0.8877 0.9676
0.2931 3.54 -0.6463 0.6881 0.0606 -0.8476 0.8001
0.7109 3.55 -0.5374 0.7183 0.4619 -0.7913 0.6547
0.3605 3.56 -0.4069 0.7583 0.7839 -0.8381 0.4854
-0.4196 3.57 -0.2554 0.6688 0.8514 -0.8626 0.409
-1.1469 3.58 -0.1609 0.6207 0.8714 -1.0346 0.2735
-1.4278 3.59 -0.036 0.4385 0.7697 -1.1904 0.2447
-0.9886 3.6 0.0765 0.2804 0.3899 -1.2965 0.2494
-0.1112 3.61 0.1645 0.0717 0.0012 -1.3932 0.3379
0.452 3.62 0.2875 -0.1874 -0.4548 -1.4362 0.47
0.2952 3.63 0.3742 -0.4292 -0.7275 -1.3957 0.7218
-0.428 3.64 0.4035 -0.7731 -0.9849 -1.6163 0.8955
-1.3061 3.65 0.4354 -1.153 -1.0331 -1.9095 1.2358
-1.5694 3.66 0.4923 -1.2942 -1.058 -1.8697 1.5195
-1.2989 3.67 0.5445 -1.6961 -0.7103 -1.9518 1.6343
-0.4421 3.68 0.6256 -1.6783 -0.3642 -2.1185 1.9029
0.1525 3.69 0.6719 -2.1971 0.0296 -2.0892 2.1664
0.1655 3.7 0.5648 -2.0895 0.4046 -2.3671 2.6286
-0.4472 3.71 0.6059 -2.4048 0.7375 -2.7349 2.6608
-1.2465 3.72 0.5844 -2.2474 0.8244 -2.4892 2.6399
-1.6981 3.73 0.6118 -2.1355 0.7442 -2.3791 3.0006
-1.6777 3.74 0.5687 -1.9434 0.5012 -2.8755 2.9371
-0.8579 3.75 0.4767 -1.6982 0.1955 -2.4794 2.6921
-0.1128 3.76 0.4699 -1.6938 -0.2577 -2.4229 2.401
0.0653 3.77 0.4413 -1.19 -0.6578 -2.6871 2.2615
-0.4098 3.78 0.35 -0.928 -0.9972 -2.3687 1.8835
-1.3243 3.79 0.2955 -0.643 -1.1744 -2.4843 1.6746
-1.9989 3.8 0.1921 -0.2155 -1.3113 -2.266 1.5164
-1.8037 3.81 0.1407 0.1108 -1.0987 -2.34 1.2434
-1.1614 3.82 0.0676 0.4278 -0.724 -2.2327 0.8307
-0.3809 3.83 -0.0092 0.7298 -0.3953 -1.8424 0.8065
-0.0344 3.84 -0.0848 0.9061 0.0455 -1.7399 0.6616
-0.3983 3.85 -0.1601 1.1047 0.4598 -1.7051 0.5018
-1.1585 3.86 -0.2289 1.2434 0.7381 -1.4016 0.55
-1.9115 3.87 -0.2751 1.1933 0.7542 -1.2142 0.5843
-1.9312 3.88 -0.3512 1.0178 0.6227 -0.9644 0.6931
-1.3858 3.89 -0.4183 0.8766 0.4524 -0.9238 0.8471
-0.5441 3.9 -0.4209 0.8436 0.0495 -0.7565 1.0199
-0.1454 3.91 -0.4795 0.5167 -0.3601 -0.5587 1.1438
