#Disneyland NPP, unit 16
#date;ao;bc;fha
19.1.1992;-5.691;3.246;1.09
20.1.1992;-5.689;3.238;1.089
21.1.1992;-5.688;3.224;1.088
22.1.1992;-5.685;3.218;1.086
23.1.1992;-5.682;3.206;1.085
24.1.1992;-5.681;3.191;1.084
25.1.1992;-5.679;3.182;1.083
26.1.1992;-5.678;3.174;1.082
27.1.1992;-5.676;3.167;1.082
28.1.1992;-5.674;3.16;1.08
29.1.1992;-5.672;3.15;1.08
30.1.1992;-5.67;3.136;1.079
31.1.1992;-5.668;3.126;1.078
1.2.1992;-5.665;3.111;1.077
2.2.1992;-5.663;3.1;1.076
3.2.1992;-5.662;3.09;1.075
4.2.1992;-5.659;3.08;1.074
5.2.1992;-5.657;3.069;1.073
6.2.1992;-5.656;3.059;1.072
7.2.1992;-5.654;3.048;1.071
8.2.1992;-5.652;3.038;1.07
9.2.1992;-5.651;3.025;1.069
10.2.1992;-5.649;3.013;1.067
11.2.1992;-5.647;3.005;1.067
12.2.1992;-5.645;2.991;1.066
13.2.1992;-5.644;2.979;1.065
14.2.1992;-5.641;2.973;1.064
15.2.1992;-5.639;2.966;1.063
16.2.1992;-5.637;2.957;1.062
17.2.1992;-5.635;2.951;1.061
18.2.1992;-5.633;2.939;1.06
19.2.1992;-5.631;2.933;1.059
20.2.1992;-5.629;2.927;1.058
21.2.1992;-5.627;2.918;1.057
22.2.1992;-5.625;2.904;1.056
23.2.1992;-5.622;2.897;1.055
24.2.1992;-5.62;2.884;1.054
25.2.1992;-5.618;2.87;1.053
26.2.1992;-5.616;2.859;1.052
27.2.1992;-5.614;2.849;1.052
28.2.1992;-5.613;2.844;1.051
29.2.1992;-5.61;2.833;1.05
1.3.1992;-5.608;2.82;1.049
2.3.1992;-5.606;2.813;1.048
3.3.1992;-5.605;2.806;1.047
4.3.1992;-5.604;2.794;1.045
5.3.1992;-5.603;2.78;1.044
6.3.1992;-5.601;2.769;1.044
7.3.1992;-5.6;2.762;1.043
8.3.1992;-5.598;2.75;1.041
9.3.1992;-5.596;2.739;1.04
10.3.1992;-5.593;2.729;1.039
11.3.1992;-5.592;2.715;1.038
12.3.1992;-5.59;2.704;1.037
13.3.1992;-5.588;2.698;1.036
14.3.1992;-5.586;2.69;1.035
15.3.1992;-5.584;2.678;1.033
16.3.1992;-5.582;2.672;1.032
17.3.1992;-5.581;2.662;1.031
18.3.1992;-5.58;2.652;1.03
19.3.1992;-5.577;2.642;1.028
20.3.1992;-5.576;2.63;1.028
21.3.1992;-5.574;2.617;1.026
22.3.1992;-5.571;2.603;1.025
23.3.1992;-5.569;2.59;1.024
24.3.1992;-5.566;2.58;1.023
25.3.1992;-5.564;2.572;1.022
26.3.1992;-5.563;2.562;1.021
27.3.1992;-5.562;2.556;1.02
28.3.1992;-5.561;2.547;1.019
29.3.1992;-5.559;2.54;1.018
30.3.1992;-5.556;2.533;1.017
31.3.1992;-5.555;2.521;1.016
1.4.1992;-5.552;2.514;1.014
2.4.1992;-5.551;2.503;1.014
3.4.1992;-5.55;2.493;1.013
4.4.1992;-5.549;2.486;1.012
5.4.1992;-5.546;2.474;1.011
6.4.1992;-5.545;2.464;1.01
7.4.1992;-5.543;2.453;1.01
8.4.1992;-5.541;2.438;1.009
9.4.1992;-5.539;2.424;1.008
10.4.1992;-5.537;2.41;1.007
11.4.1992;-5.535;2.403;1.007
12.4.1992;-5.533;2.391;1.005
13.4.1992;-5.532;2.383;1.005
14.4.1992;-5.53;2.371;1.004
15.4.1992;-5.528;2.358;1.002
16.4.1992;-5.527;2.351;1.002
17.4.1992;-5.525;2.337;1.0
18.4.1992;-5.523;2.332;0.999
19.4.1992;-5.522;2.324;0.999
20.4.1992;-5.521;2.315;0.998
21.4.1992;-5.52;2.309;0.997
22.4.1992;-5.518;2.295;0.996
23.4.1992;-5.517;2.288;0.995
24.4.1992;-5.515;2.279;0.994
25.4.1992;-5.513;2.27;0.993
26.4.1992;-5.512;2.262;0.992
27.4.1992;-5.511;2.254;0.991
28.4.1992;-5.509;2.245;0.99
29.4.1992;-5.507;2.232;0.989
30.4.1992;-5.505;2.225;0.988
1.5.1992;-5.502;2.211;0.987
2.5.1992;-5.501;2.197;0.986
3.5.1992;-5.5;2.188;0.985
4.5.1992;-5.499;2.177;0.984
5.5.1992;-5.497;2.167;0.983
6.5.1992;-5.495;2.157;0.982
7.5.1992;-5.493;2.148;0.981
8.5.1992;-5.491;2.137;0.98
9.5.1992;-5.489;2.123;0.979
10.5.1992;-5.488;2.113;0.978
11.5.1992;-5.486;2.108;0.977
12.5.1992;-5.484;2.101;0.976
13.5.1992;-5.483;2.096;0.975
14.5.1992;-5.481;2.085;0.974
15.5.1992;-5.479;2.074;0.973
16.5.1992;-5.477;2.066;0.972
17.5.1992;-5.475;2.061;0.971
18.5.1992;-5.474;2.055;0.97
19.5.1992;-5.472;2.05;0.969
20.5.1992;-5.471;2.042;0.968
21.5.1992;-5.47;2.037;0.967
22.5.1992;-5.468;2.029;0.967
23.5.1992;-5.467;2.021;0.966
24.5.1992;-5.465;2.01;0.964
25.5.1992;-5.463;1.995;0.964
26.5.1992;-5.46;1.989;0.963
27.5.1992;-5.458;1.984;0.962
28.5.1992;-5.456;1.975;0.961
29.5.1992;-5.455;1.968;0.96
30.5.1992;-5.454;1.958;0.959
31.5.1992;-5.453;1.951;0.959
1.6.1992;-5.451;1.946;0.957
2.6.1992;-5.449;1.94;0.956
3.6.1992;-5.447;1.928;0.955
4.6.1992;-5.445;1.914;0.954
5.6.1992;-5.444;1.908;0.953
6.6.1992;-5.443;1.899;0.952
7.6.1992;-5.44;1.887;0.952
8.6.1992;-5.439;1.878;0.951
9.6.1992;-5.438;1.865;0.95
10.6.1992;-5.436;1.859;0.948
11.6.1992;-5.435;1.847;0.947
12.6.1992;-5.434;1.841;0.947
13.6.1992;-5.431;1.831;0.946
14.6.1992;-5.43;1.816;0.945
15.6.1992;-5.427;1.802;0.944
16.6.1992;-5.426;1.794;0.943
17.6.1992;-5.425;1.787;0.942
18.6.1992;-5.422;1.781;0.941
19.6.1992;-5.42;1.773;0.939
20.6.1992;-5.419;1.758;0.938
21.6.1992;-5.418;1.752;0.937
22.6.1992;-5.416;1.739;0.936
23.6.1992;-5.414;1.731;0.936
24.6.1992;-5.413;1.721;0.934
25.6.1992;-5.412;1.706;0.933
26.6.1992;-5.411;1.698;0.932
27.6.1992;-5.41;1.684;0.931
28.6.1992;-5.408;1.669;0.93
29.6.1992;-5.406;1.662;0.93
30.6.1992;-5.405;1.656;0.928
1.7.1992;-5.404;1.643;0.928
2.7.1992;-5.403;1.636;0.926
3.7.1992;-5.4;1.623;0.925
4.7.1992;-5.399;1.61;0.924
5.7.1992;-5.396;1.598;0.923
6.7.1992;-5.395;1.589;0.922
7.7.1992;-5.392;1.579;0.921
8.7.1992;-5.39;1.568;0.92
9.7.1992;-5.389;1.557;0.919
10.7.1992;-5.387;1.551;0.917
11.7.1992;-5.386;1.543;0.917
12.7.1992;-5.384;1.536;0.915
13.7.1992;-5.382;1.531;0.914
14.7.1992;-5.38;1.517;0.913
15.7.1992;-5.379;1.503;0.913
16.7.1992;-5.377;1.489;0.912
17.7.1992;-5.376;1.478;0.911
18.7.1992;-5.373;1.47;0.91
19.7.1992;-5.372;1.461;0.909
20.7.1992;-5.37;1.454;0.908
21.7.1992;-5.369;1.44;0.908
22.7.1992;-5.367;1.434;0.907
23.7.1992;-5.366;1.421;0.906
24.7.1992;-5.365;1.415;0.905
25.7.1992;-5.363;1.403;0.904
26.7.1992;-5.361;1.391;0.904
27.7.1992;-5.359;1.376;0.903
28.7.1992;-5.357;1.367;0.902
29.7.1992;-5.356;1.353;0.901
30.7.1992;-5.355;1.343;0.9
31.7.1992;-5.354;1.338;0.899
1.8.1992;-5.352;1.33;0.898
2.8.1992;-5.351;1.317;0.897
3.8.1992;-5.349;1.309;0.896
4.8.1992;-5.347;1.295;0.895
5.8.1992;-5.346;1.287;0.895
6.8.1992;-5.345;1.28;0.894
7.8.1992;-5.343;1.266;0.892
8.8.1992;-5.34;1.251;0.892
9.8.1992;-5.338;1.245;0.891
10.8.1992;-5.337;1.232;0.89
11.8.1992;-5.335;1.221;0.89
12.8.1992;-5.333;1.215;0.889
13.8.1992;-5.331;1.201;0.887
14.8.1992;-5.329;1.189;0.886
15.8.1992;-5.328;1.184;0.885
16.8.1992;-5.326;1.173;0.884
17.8.1992;-5.323;1.166;0.883
18.8.1992;-5.322;1.159;0.882
19.8.1992;-5.321;1.145;0.881
20.8.1992;-5.319;1.134;0.88
21.8.1992;-5.317;1.127;0.879
22.8.1992;-5.315;1.117;0.878
23.8.1992;-5.313;1.11;0.877
24.8.1992;-5.311;1.101;0.876
25.8.1992;-5.309;1.094;0.875
26.8.1992;-5.308;1.089;0.874
27.8.1992;-5.306;1.078;0.873
28.8.1992;-5.305;1.065;0.872
29.8.1992;-5.304;1.055;0.871
30.8.1992;-5.303;1.041;0.87
31.8.1992;-5.301;1.031;0.869
1.9.1992;-5.299;1.018;0.868
2.9.1992;-5.297;1.006;0.867
3.9.1992;-5.295;0.992;0.866
4.9.1992;-5.293;0.978;0.865
5.9.1992;-5.291;0.969;0.864
6.9.1992;-5.29;0.96;0.863
7.9.1992;-5.289;0.95;0.862
8.9.1992;-5.287;0.935;0.861
9.9.1992;-5.286;0.927;0.859
10.9.1992;-5.285;0.918;0.859
11.9.1992;-5.283;0.908;0.858
12.9.1992;-5.281;0.896;0.857
13.9.1992;-5.28;0.885;0.856
14.9.1992;-5.278;0.878;0.855
15.9.1992;-5.277;0.867;0.854
16.9.1992;-5.275;0.858;0.853
17.9.1992;-5.274;0.85;0.852
18.9.1992;-5.273;0.84;0.85
19.9.1992;-5.272;0.835;0.85
20.9.1992;-5.271;0.821;0.848
21.9.1992;-5.269;0.813;0.847
22.9.1992;-5.267;0.802;0.847
23.9.1992;-5.265;0.796;0.846
24.9.1992;-5.264;0.787;0.845
25.9.1992;-5.263;0.777;0.844
26.9.1992;-5.262;0.764;0.843
27.9.1992;-5.26;0.75;0.842
28.9.1992;-5.258;0.738;0.842
29.9.1992;-5.255;0.724;0.841
30.9.1992;-5.254;0.714;0.839
1.10.1992;-5.252;0.708;0.838
2.10.1992;-5.251;0.7;0.837
3.10.1992;-5.249;0.695;0.837
4.10.1992;-5.246;0.682;0.836
5.10.1992;-5.245;0.669;0.835
6.10.1992;-5.244;0.663;0.834
7.10.1992;-5.242;0.658;0.833
8.10.1992;-5.24;0.645;0.832
9.10.1992;-5.238;0.634;0.831
10.10.1992;-5.237;0.626;0.83
11.10.1992;-5.236;0.617;0.829
12.10.1992;-5.233;0.608;0.828
13.10.1992;-5.232;0.599;0.827
14.10.1992;-5.231;0.584;0.827
15.10.1992;-5.23;0.57;0.826
16.10.1992;-5.228;0.557;0.826
17.10.1992;-5.226;0.552;0.824
18.10.1992;-5.225;0.545;0.823
19.10.1992;-5.224;0.537;0.822
20.10.1992;-5.222;0.525;0.82
21.10.1992;-5.22;0.511;0.819
22.10.1992;-5.217;0.506;0.818
23.10.1992;-5.216;0.495;0.816
24.10.1992;-5.214;0.481;0.815
25.10.1992;-5.212;0.47;0.814
26.10.1992;-5.211;0.458;0.814
27.10.1992;-5.21;0.453;0.813
28.10.1992;-5.21;0.44;0.812
29.10.1992;-5.208;0.433;0.811
30.10.1992;-5.206;0.42;0.81
31.10.1992;-5.205;0.412;0.809
1.11.1992;-5.204;0.406;0.808
2.11.1992;-5.203;0.391;0.807
3.11.1992;-5.201;0.386;0.807
4.11.1992;-5.199;0.38;0.806
5.11.1992;-5.197;0.371;0.805
6.11.1992;-5.194;0.364;0.804
7.11.1992;-5.192;0.353;0.803
8.11.1992;-5.191;0.343;0.802
9.11.1992;-5.189;0.335;0.801
10.11.1992;-5.188;0.328;0.8
11.11.1992;-5.186;0.319;0.799
12.11.1992;-5.185;0.304;0.798
13.11.1992;-5.183;0.294;0.797
14.11.1992;-5.182;0.288;0.796
15.11.1992;-5.18;0.28;0.795
16.11.1992;-5.178;0.268;0.794
17.11.1992;-5.176;0.259;0.793
18.11.1992;-5.175;0.252;0.792
19.11.1992;-5.173;0.247;0.792
20.11.1992;-5.171;0.233;0.79
21.11.1992;-5.169;0.228;0.789
22.11.1992;-5.167;0.22;0.788
23.11.1992;-5.165;0.213;0.787
24.11.1992;-5.164;0.199;0.786
25.11.1992;-5.163;0.189;0.786
26.11.1992;-5.162;0.176;0.785
27.11.1992;-5.16;0.161;0.784
28.11.1992;-5.16;0.155;0.783
29.11.1992;-5.157;0.144;0.782
30.11.1992;-5.156;0.132;0.781
1.12.1992;-5.155;0.125;0.779
2.12.1992;-5.153;0.111;0.779
3.12.1992;-5.151;0.1;0.777
4.12.1992;-5.15;0.09;0.776
5.12.1992;-5.149;0.08;0.775
6.12.1992;-5.149;0.066;0.774
7.12.1992;-5.148;0.06;0.772
8.12.1992;-5.146;0.049;0.771
9.12.1992;-5.145;0.043;0.77
10.12.1992;-5.144;0.032;0.769
11.12.1992;-5.143;0.02;0.768
12.12.1992;-5.142;0.01;0.767
