#y5 y4 y2 y3 y6 time y1
2.3523 1.6891 -0.6211 0.8863 -0.1223 0.64 1.0188
2.5188 1.8819 -0.5416 0.9484 -0.3663 0.65 0.2482
2.6802 2.1352 -0.5383 0.9152 -0.6387 0.66 -0.3302
2.6277 2.0414 -0.4882 0.8998 -0.9475 0.67 -0.2376
2.7934 2.1017 -0.4238 0.9475 -1.1929 0.68 0.5603
2.597 2.2991 -0.3256 0.8642 -1.2307 0.69 1.3381
2.2896 2.5053 -0.291 0.8298 -1.2819 0.7 1.8707
1.8365 2.3391 -0.2493 0.8046 -1.3552 0.71 1.2198
1.8421 2.3562 -0.2275 0.8006 -1.4841 0.72 0.5202
1.2845 2.237 -0.1694 0.7619 -1.2945 0.73 -0.0405
1.0738 2.0736 -0.1594 0.6559 -1.3386 0.74 0.2134
0.9055 2.2683 -0.1443 0.5696 -1.2519 0.75 1.0288
0.6483 1.9739 -0.1463 0.5128 -0.9758 0.76 1.8494
0.6277 1.7744 -0.1544 0.4618 -0.6316 0.77 1.8967
0.5961 1.6224 -0.1403 0.3811 -0.425 0.78 1.2924
0.709 1.2473 -0.1504 0.3055 -0.1328 0.79 0.4111
0.8816 1.036 -0.1943 0.2519 0.1344 0.8 -0.0436
1.0996 0.9885 -0.2181 0.2182 0.4472 0.81 0.2772
1.4069 0.7518 -0.2075 0.1406 0.6121 0.82 1.048
1.6876 0.5907 -0.2659 0.1088 0.8162 0.83 1.5864
1.7553 0.5008 -0.2807 0.055 1.0332 0.84 1.6321
2.3906 0.427 -0.3068 0.0232 0.9979 0.85 0.8684
2.4034 0.3915 -0.3937 -0.0021 1.1539 0.86 -0.0608
2.5879 0.3749 -0.413 -0.0169 1.0631 0.87 -0.429
2.4564 0.3981 -0.4059 -0.0239 0.9829 0.88 -0.0475
2.245 0.448 -0.436 -0.0172 1.0029 0.89 0.8034
2.1757 0.5164 -0.4671 -0.0034 0.7297 0.9 1.3078
2.2001 0.74 -0.4973 0.0221 0.6311 0.91 0.8715
1.8556 0.8288 -0.5318 0.0614 0.4482 0.92 0.0088
1.3914 0.9428 -0.5741 0.1106 0.2777 0.93 -0.9457
1.0427 1.3354 -0.5268 0.1719 0.1563 0.94 -1.2396
0.8294 1.3577 -0.5534 0.2424 0.055 0.95 -0.6549
0.5501 1.539 -0.5854 0.2968 -0.0168 0.96 0.0756
0.4538 1.822 -0.5718 0.3604 -0.0403 0.97 0.4395
0.3393 1.8017 -0.5682 0.4942 -0.0031 0.98 -0.0449
0.3782 1.9233 -0.533 0.5922 0.0905 0.99 -0.9991
0.4568 2.1086 -0.5063 0.6889 0.2296 1.0 -1.7105
0.6057 2.2966 -0.4401 0.695 0.4661 1.01 -1.7921
0.7968 1.9586 -0.3856 0.8389 0.6735 1.02 -1.3052
1.1101 2.2803 -0.3039 0.8676 0.8605 1.03 -0.5821
1.3168 2.2139 -0.2801 1.0807 1.2715 1.04 -0.427
1.6579 1.9113 -0.1989 1.1834 1.6481 1.05 -1.0623
1.7828 1.8101 -0.1184 1.19 1.9138 1.06 -1.8255
2.231 1.5823 -0.0444 1.3346 2.1895 1.07 -2.5303
2.2989 1.3873 0.0341 1.3508 2.2603 1.08 -2.7298
2.1055 1.2784 0.1074 1.2363 2.3682 1.09 -1.7667
1.8535 1.0559 0.1879 1.3985 2.6078 1.1 -1.0212
1.8264 0.7447 0.273 1.2769 2.5193 1.11 -0.9161
1.414 0.5291 0.3585 1.4072 2.7174 1.12 -1.6648
1.1666 0.3657 0.4275 1.4946 2.8281 1.13 -2.3048
0.8763 0.1736 0.5641 1.4113 2.3536 1.14 -2.8434
0.5692 0.0431 0.673 1.1874 2.3908 1.15 -2.4649
0.3056 -0.0619 0.7343 1.2498 2.3332 1.16 -1.7706
0.0882 -0.1463 0.7448 1.0759 1.7893 1.17 -1.0209
-0.0504 -0.1814 0.8899 1.0351 1.6035 1.18 -1.0473
-0.0955 -0.1559 0.8582 1.0055 1.4893 1.19 -1.8146
-0.0702 -0.1143 1.0193 0.7739 1.3116 1.2 -2.7243
0.0549 -0.0326 1.0677 0.6483 1.0465 1.21 -2.725
0.2303 0.081 1.0403 0.5306 0.8537 1.22 -2.2415
0.5046 0.1994 1.0242 0.3021 0.7147 1.23 -1.3642
0.7588 0.4075 1.1175 0.1474 0.6202 1.24 -0.6236
0.9669 0.5238 1.1451 -0.0595 0.6242 1.25 -0.6453
1.3392 0.6685 1.0599 -0.2549 0.7541 1.26 -1.2813
1.5982 0.9008 1.0033 -0.4257 0.8361 1.27 -2.1812
1.7396 1.0474 1.0569 -0.6634 0.8951 1.28 -2.2396
1.7222 1.1464 0.9029 -0.891 1.0866 1.29 -1.3503
1.6328 1.4384 0.9717 -0.998 1.3039 1.3 -0.4167
1.3744 1.4177 0.8484 -1.2325 1.418 1.31 0.1958
1.3178 1.3913 0.8802 -1.5805 1.4753 1.32 0.0242
0.8704 1.6084 0.754 -1.7139 1.8076 1.33 -0.6589
0.5971 1.5433 0.6474 -1.8268 2.0566 1.34 -1.3223
0.3022 1.4775 0.5974 -1.926 2.1462 1.35 -1.174
0.0174 1.4104 0.5482 -2.1556 1.9127 1.36 -0.4904
-0.2361 1.1012 0.4904 -2.5199 1.9244 1.37 0.4814
-0.4554 1.0591 0.3859 -2.5774 1.8405 1.38 1.0145
-0.5082 0.7883 0.2939 -2.7694 1.9411 1.39 0.5891
-0.5423 0.6472 0.2052 -2.8816 1.5948 1.4 -0.1368
-0.5512 0.4134 0.1128 -2.9507 1.3969 1.41 -0.7356
-0.3838 0.1957 0.0259 -2.9987 1.0948 1.42 -0.553
-0.1469 -0.0067 -0.0536 -2.6865 0.8942 1.43 0.3294
0.1381 -0.2162 -0.1248 -3.0071 0.5744 1.44 1.1403
0.3757 -0.3906 -0.1746 -2.7717 0.2552 1.45 1.3575
0.6686 -0.4988 -0.2715 -3.0833 -0.0047 1.46 1.046
1.009 -0.6055 -0.3371 -2.623 -0.2444 1.47 0.1057
1.0617 -0.6707 -0.354 -2.9775 -0.4536 1.48 -0.3568
1.2244 -0.8482 -0.4103 -2.8217 -0.6792 1.49 -0.1152
1.3014 -0.8156 -0.4418 -2.6478 -0.7941 1.5 0.7658
1.1189 -0.7881 -0.471 -2.6423 -0.7484 1.51 1.5937
1.0171 -0.6383 -0.4733 -2.2177 -0.6964 1.52 1.4989
0.7871 -0.6027 -0.4137 -2.1563 -0.7393 1.53 0.944
0.4731 -0.3924 -0.4004 -1.9279 -0.5371 1.54 -0.0279
0.1516 -0.3002 -0.4413 -1.833 -0.3976 1.55 -0.4429
-0.1706 -0.1051 -0.4104 -1.7931 -0.1933 1.56 -0.1021
-0.4302 0.0913 -0.3384 -1.3629 0.0077 1.57 0.7617
-0.7247 0.2684 -0.3213 -1.3358 0.2159 1.58 1.4686
-0.8881 0.4754 -0.24 -1.184 0.4367 1.59 1.3252
-0.9084 0.6543 -0.1809 -0.8817 0.638 1.6 0.4572
-0.8345 0.7662 -0.1114 -0.8113 0.8048 1.61 -0.4388
-0.7706 0.9292 -0.0389 -0.5282 0.8054 1.62 -0.6949
-0.5827 0.9728 0.0382 -0.4266 0.8626 1.63 -0.2781
-0.3782 1.0401 0.109 -0.269 0.8632 1.64 0.5115
-0.0863 0.9196 0.208 -0.1048 0.8295 1.65 0.9337
0.2241 1.0767 0.2839 0.0248 0.7436 1.66 0.7784
0.4825 0.8281 0.371 0.1498 0.6193 1.67 -0.1462
0.6919 0.8675 0.3993 0.2311 0.4516 1.68 -0.9744
0.8715 0.6367 0.5068 0.3776 0.2642 1.69 -1.1501
0.9568 0.547 0.6109 0.4059 0.0783 1.7 -0.465
0.9188 0.3445 0.6264 0.454 -0.1118 1.71 0.3746
0.8836 0.1164 0.7058 0.4931 -0.2862 1.72 0.7876
0.6407 -0.0926 0.7996 0.5365 -0.4354 1.73 0.3711
0.4517 -0.2827 0.73 0.5853 -0.5646 1.74 -0.588
0.1624 -0.4322 0.7869 0.5688 -0.635 1.75 -1.2416
-0.1304 -0.6929 0.7391 0.5593 -0.7142 1.76 -1.2926
-0.4292 -0.7704 0.7261 0.4775 -0.6029 1.77 -0.442
-0.7216 -0.9638 0.7499 0.499 -0.4829 1.78 0.4241
-0.9236 -0.9801 0.6999 0.3993 -0.3177 1.79 0.7427
-0.9542 -1.0034 0.7206 0.3997 -0.1254 1.8 0.2702
-1.0977 -1.0444 0.6683 0.2773 0.1487 1.81 -0.6261
-0.9112 -0.944 0.5939 0.2438 0.4299 1.82 -1.0181
-0.791 -1.0221 0.5021 0.1304 0.7478 1.83 -0.867
-0.5828 -0.8487 0.4174 0.0557 1.024 1.84 0.0069
-0.3589 -0.7361 0.3124 -0.0342 1.4555 1.85 0.8666
-0.0396 -0.5339 0.2218 -0.129 1.669 1.86 1.1433
0.2681 -0.297 0.0927 -0.1931 1.9361 1.87 0.5563
0.5273 -0.1323 -0.0362 -0.3144 1.9359 1.88 -0.2872
0.7365 0.085 -0.1784 -0.3425 2.1131 1.89 -0.5705
0.9976 0.2629 -0.351 -0.4806 2.0607 1.9 -0.1848
0.9827 0.4946 -0.5072 -0.4689 2.047 1.91 0.8283
0.8924 0.6098 -0.6294 -0.6195 2.119 1.92 1.5965
0.7978 0.7863 -0.7461 -0.6572 2.0555 1.93 1.6062
0.7381 0.8726 -1.0465 -0.7023 2.0988 1.94 1.0842
0.4129 1.0615 -1.0317 -0.6903 1.7124 1.95 0.2955
0.1532 1.089 -1.193 -0.7611 1.5492 1.96 0.0758
-0.1413 1.0313 -1.3463 -0.7171 1.5113 1.97 0.5957
-0.4355 0.9709 -1.568 -0.7152 1.2963 1.98 1.7588
-0.6287 0.945 -1.8369 -0.6928 1.1002 1.99 2.1718
-0.882 0.8054 -1.6348 -0.7441 1.1054 2.0 2.3006
-0.8983 0.661 -1.8377 -0.665 0.9425 2.01 1.4157
-0.9647 0.528 -2.0913 -0.6357 0.9261 2.02 0.7274
-0.7881 0.3491 -2.2405 -0.5375 0.9299 2.03 0.6392
-0.5735 0.1521 -2.1574 -0.5691 0.9103 2.04 1.3099
-0.3574 -0.0249 -2.3001 -0.4923 1.0196 2.05 2.0733
-0.0566 -0.2019 -2.3164 -0.4168 1.162 2.06 3.0525
0.2316 -0.393 -2.4024 -0.3105 1.3417 2.07 2.7524
0.5432 -0.5458 -2.4841 -0.2606 1.7298 2.08 1.8176
0.901 -0.6596 -2.354 -0.1722 1.8717 2.09 0.9714
0.9806 -0.7061 -2.1782 -0.1174 2.1 2.1 1.0041
1.1987 -0.7847 -2.1701 -0.0315 2.4548 2.11 1.7098
1.3325 -0.7714 -2.0264 0.0364 2.5718 2.12 2.4585
1.2884 -0.686 -1.9186 0.1066 2.6379 2.13 3.0013
0.9642 -0.6142 -1.7022 0.1687 3.0914 2.14 2.0983
0.8473 -0.5388 -1.6723 0.2056 2.9817 2.15 1.4408
0.622 -0.3866 -1.3908 0.2958 3.0313 2.16 0.6969
0.3201 -0.1804 -1.4012 0.3124 3.0754 2.17 0.8066
0.0426 0.0102 -1.1794 0.3154 2.6799 2.18 1.5699
-0.205 0.2319 -0.9437 0.336 2.6337 2.19 2.2212
-0.4242 0.4191 -0.6785 0.3828 2.4576 2.2 2.1824
-0.4956 0.6685 -0.472 0.3466 1.9584 2.21 1.4742
-0.5395 0.9235 -0.3096 0.3468 1.8246 2.22 0.6016
-0.532 1.0244 -0.0567 0.363 1.452 2.23 -0.0042
-0.4041 1.147 0.1765 0.3561 1.1871 2.24 0.1759
-0.2037 1.2634 0.421 0.2843 0.8494 2.25 0.8192
0.0775 1.5381 0.5959 0.2463 0.7233 2.26 1.4551
0.3972 1.5713 0.9705 0.231 0.4391 2.27 1.2836
0.6652 1.6622 1.1343 0.1544 0.3033 2.28 0.5111
1.1062 1.7027 1.4185 0.1133 0.2596 2.29 -0.3911
1.2392 1.5658 1.6238 0.0468 0.1863 2.3 -1.0022
1.6072 1.5829 1.6342 -0.0116 0.226 2.31 -0.6681
1.6805 1.3884 2.0369 -0.0733 0.2773 2.32 0.1307
1.6012 1.2843 2.1767 -0.1242 0.406 2.33 0.647
1.4223 1.0196 2.3568 -0.188 0.604 2.34 0.4005
1.298 0.9532 2.3936 -0.274 0.7056 2.35 -0.4886
1.0584 0.6763 2.4833 -0.3189 0.8927 2.36 -1.5463
0.9207 0.5402 2.6668 -0.3714 1.1096 2.37 -1.8839
0.6529 0.4053 2.5539 -0.3858 1.0848 2.38 -1.263
0.334 0.2117 2.7796 -0.3831 1.4286 2.39 -0.4557
0.101 0.1192 2.9621 -0.3949 1.3853 2.4 -0.0366
-0.0761 0.0301 2.8171 -0.4611 1.4816 2.41 -0.3799
-0.1883 -0.0162 2.637 -0.4261 1.3175 2.42 -1.3465
-0.2147 -0.0302 2.7167 -0.3978 1.2489 2.43 -2.1719
-0.1224 -0.0006 2.7752 -0.3291 1.1195 2.44 -2.0522
0.0339 0.0665 2.5735 -0.3225 0.9595 2.45 -1.5149
0.2787 0.168 2.7423 -0.2293 0.6919 2.46 -0.6889
0.5182 0.2893 2.6863 -0.1625 0.5551 2.47 -0.3162
0.8067 0.4609 2.5801 -0.0671 0.222 2.48 -0.7073
1.2345 0.6517 2.4871 0.0317 -0.0419 2.49 -1.4579
1.532 0.8448 2.129 0.1403 -0.2962 2.5 -2.2753
1.5784 1.1925 1.8579 0.2833 -0.5847 2.51 -2.1671
1.995 1.3717 1.8904 0.444 -0.7622 2.52 -1.4343
1.8661 1.5443 1.5979 0.6081 -0.8566 2.53 -0.5185
1.875 1.7059 1.3483 0.7144 -0.9149 2.54 -0.2082
1.9998 1.9082 1.0891 0.824 -0.9937 2.55 -0.632
1.7074 2.1068 0.9084 1.1758 -0.984 2.56 -1.3734
1.5365 2.168 0.819 1.2901 -0.905 2.57 -2.0281
1.1801 2.1726 0.5618 1.3097 -0.7563 2.58 -1.6377
0.8459 2.4329 0.3136 1.5587 -0.6851 2.59 -0.7426
0.5415 2.2121 0.1369 1.8288 -0.4668 2.6 0.0354
0.3266 2.202 -0.0892 2.0087 -0.1911 2.61 0.1809
0.1809 2.4664 -0.2579 2.0769 0.0886 2.62 -0.3511
0.0813 2.0953 -0.4624 2.3876 0.3418 2.63 -1.1896
0.086 2.0106 -0.6069 2.446 0.6301 2.64 -1.4768
0.1755 1.7796 -0.9295 2.5506 0.7486 2.65 -1.157
0.3646 1.6195 -1.0695 2.3604 1.0141 2.66 -0.1142
0.578 1.6485 -1.0788 2.5268 1.1809 2.67 0.5761
0.9359 1.226 -1.376 2.6391 1.1659 2.68 0.6338
1.2504 1.2142 -1.405 2.7473 1.3071 2.69 -0.1025
1.4369 1.1065 -1.6805 2.9675 1.2742 2.7 -0.8979
1.6644 0.897 -1.7943 3.049 1.0259 2.71 -1.1906
1.8083 0.8331 -1.6474 2.803 0.9956 2.72 -0.5727
2.0518 0.6325 -1.8885 2.64 0.817 2.73 0.3811
2.1644 0.6405 -1.8302 2.6621 0.6689 2.74 0.9473
2.058 0.6974 -1.8292 2.548 0.5231 2.75 0.6764
2.0702 0.7402 -1.8578 2.8953 0.3558 2.76 -0.0555
1.8669 0.7806 -1.9605 2.8743 0.1869 2.77 -0.8346
1.347 0.9143 -1.6982 2.5078 0.0674 2.78 -0.9717
1.1984 1.1179 -1.9235 2.134 -0.0168 2.79 -0.3278
0.7943 1.2974 -1.7427 1.9936 -0.0539 2.8 0.5278
0.5904 1.4553 -1.6472 2.0951 -0.0345 2.81 0.9598
0.368 1.5571 -1.7518 1.9912 0.0409 2.82 0.4832
0.206 1.9891 -1.5065 1.7449 0.1668 2.83 -0.353
0.122 2.158 -1.574 1.4914 0.3695 2.84 -1.0424
0.1513 2.1774 -1.5133 1.2839 0.6129 2.85 -1.2104
0.2479 2.2995 -1.3789 1.145 0.7931 2.86 -0.5106
0.4347 2.3317 -1.4208 0.8386 1.1135 2.87 0.3149
0.6329 2.4667 -1.2745 0.6791 1.4124 2.88 0.5506
0.9411 2.7685 -1.2444 0.3724 1.6233 2.89 -0.0289
1.3669 3.0387 -0.9865 0.1813 1.8062 2.9 -0.9572
1.4756 2.7099 -0.8965 -0.0015 2.4294 2.91 -1.7777
1.8373 2.6922 -0.8573 -0.1923 2.3493 2.92 -1.5152
2.0711 2.6199 -0.7048 -0.3549 2.5508 2.93 -0.7876
1.9 2.4116 -0.6672 -0.6019 2.4538 2.94 -0.0721
2.1587 2.3502 -0.6716 -0.7263 2.7823 2.95 -0.0076
1.7901 2.4009 -0.5634 -0.8082 2.3607 2.96 -0.6464
1.5742 2.056 -0.4531 -1.0761 2.6823 2.97 -1.7619
1.4071 1.878 -0.3772 -1.082 2.5566 2.98 -2.3451
1.1536 1.8069 -0.3685 -1.1461 2.3352 2.99 -1.7888
0.9147 1.6408 -0.2718 -1.3057 1.7872 3.0 -1.0354
0.5446 1.4596 -0.2279 -1.3182 1.7449 3.01 -0.408
0.2993 1.1392 -0.2269 -1.2538 1.5744 3.02 -0.3988
0.0769 1.0184 -0.1726 -1.2502 1.3784 3.03 -1.115
-0.0659 0.9932 -0.1427 -1.4583 1.0578 3.04 -2.2029
-0.1254 0.8715 -0.1184 -1.3541 0.8747 3.05 -2.1373
-0.0767 0.797 -0.0951 -1.4344 0.7857 3.06 -1.8798
0.0357 0.8473 -0.0929 -1.3768 0.6481 3.07 -0.9215
0.2468 0.9376 -0.0703 -1.2368 0.7073 3.08 -0.3941
0.5302 0.9107 -0.0652 -1.2423 0.7738 3.09 -0.4743
0.6971 1.1963 -0.0537 -1.1015 0.7466 3.1 -1.1962
0.9657 1.1772 -0.048 -1.0251 0.8271 3.11 -2.0888
1.3261 1.5225 -0.0482 -0.9095 0.9672 3.12 -2.2346
1.5383 1.7329 -0.045 -0.8352 1.1402 3.13 -1.3595
1.5581 1.6457 -0.0331 -0.6078 1.3988 3.14 -0.4307
1.5834 2.1087 -0.0297 -0.5736 1.4606 3.15 0.0832
1.506 2.0234 -0.0181 -0.4148 1.8714 3.16 -0.1242
1.5805 2.1615 -0.0052 -0.2862 1.8336 3.17 -0.832
1.1939 2.2974 0.0111 -0.2012 1.9178 3.18 -1.4579
0.9512 2.6369 0.0287 -0.0912 1.958 3.19 -1.4185
0.6169 2.4653 0.056 0.0085 2.0945 3.2 -0.6134
0.3117 2.7948 0.0918 0.1132 1.9913 3.21 0.4126
-0.0198 2.6373 0.1311 0.1951 2.0019 3.22 0.8515
-0.3117 2.4551 0.153 0.2468 1.7201 3.23 0.5826
-0.4584 2.661 0.2209 0.3003 1.517 3.24 -0.1869
-0.5617 2.2941 0.2427 0.3563 1.125 3.25 -0.6827
-0.7199 2.0987 0.3183 0.4192 0.8334 3.26 -0.4326
-0.616 1.9513 0.3902 0.4272 0.5381 3.27 0.4751
-0.4497 1.9489 0.3874 0.4769 0.2647 3.28 1.3857
-0.2715 1.8667 0.4847 0.4607 -0.0422 3.29 1.7153
-0.0062 1.5764 0.5659 0.4642 -0.2893 3.3 1.293
0.2878 1.4127 0.5925 0.4343 -0.5906 3.31 0.5465
0.4978 1.1141 0.7629 0.3829 -0.7808 3.32 0.1822
0.7573 0.8597 0.7548 0.3448 -0.7808 3.33 0.6002
0.8581 0.7058 0.8459 0.3206 -0.9219 3.34 1.5748
0.9715 0.5618 0.9721 0.279 -0.9789 3.35 2.3837
1.0607 0.5099 1.008 0.1844 -0.8264 3.36 2.2893
0.8755 0.4297 1.0847 0.1114 -0.8779 3.37 1.6947
0.666 0.3922 1.1625 0.033 -0.7222 3.38 1.0018
0.4353 0.3652 1.1497 -0.0566 -0.4591 3.39 0.7127
0.1857 0.4246 1.1742 -0.142 -0.3172 3.4 1.1821
-0.1555 0.4819 1.2339 -0.2232 -0.1022 3.41 2.0412
-0.4482 0.6909 1.2348 -0.2969 0.0844 3.42 2.5859
-0.8248 0.824 1.4228 -0.36 0.2677 3.43 2.8129
-1.1562 0.9145 1.4708 -0.4313 0.3929 3.44 1.9622
-1.2975 1.1512 1.4134 -0.596 0.4437 3.45 1.1007
-1.3158 1.2914 1.4565 -0.5596 0.4824 3.46 0.9355
-1.2688 1.3211 1.3979 -0.6935 0.5342 3.47 1.4595
-1.247 1.5775 1.334 -0.6906 0.4924 3.48 2.451
-1.0506 1.8585 1.3956 -0.7695 0.358 3.49 2.7379
-0.8642 1.9681 1.1797 -0.7528 0.1949 3.5 2.1593
-0.5881 1.8467 1.11 -0.9314 -0.0063 3.51 1.5361
-0.3651 2.15 1.1162 -0.8552 -0.2376 3.52 0.716
-0.134 1.9876 1.1388 -0.9321 -0.4251 3.53 0.5025
0.0781 1.8914 0.9619 -0.8427 -0.7129 3.54 1.001
0.2242 1.7363 0.9472 -0.7974 -0.8183 3.55 1.8193
0.2947 1.6016 0.7714 -0.8621 -1.009 3.56 2.0704
0.2253 1.6589 0.7004 -0.7622 -1.3222 3.57 1.6171
0.1323 1.5589 0.5647 -0.844 -1.3472 3.58 0.7307
-0.0762 1.3244 0.4926 -0.8165 -1.4819 3.59 -0.041
-0.358 0.92 0.3264 -0.754 -1.4267 3.6 -0.0525
-0.637 0.7697 0.1902 -0.6036 -1.3033 3.61 0.6005
-0.9323 0.6068 0.0752 -0.66 -0.995 3.62 1.3622
-1.2565 0.2975 -0.0533 -0.602 -0.9794 3.63 1.611
-1.7039 0.111 -0.1819 -0.5494 -0.6363 3.64 0.8529
-2.0319 -0.0763 -0.2898 -0.4269 -0.3868 3.65 -0.1307
-1.9528 -0.2476 -0.4528 -0.3931 -0.1267 3.66 -0.7848
-2.216 -0.3362 -0.5245 -0.3891 0.1584 3.67 -0.5616
-1.9337 -0.4097 -0.6201 -0.3593 0.4155 3.68 0.1606
-1.8017 -0.4959 -0.7799 -0.3057 0.6913 3.69 0.8377
-1.9258 -0.5469 -0.7986 -0.2638 0.9485 3.7 0.9256
-1.6402 -0.5044 -0.9646 -0.251 1.1981 3.71 0.1624
-1.3375 -0.4503 -1.1357 -0.2604 1.242 3.72 -0.815
-0.9809 -0.3156 -1.0655 -0.2514 1.272 3.73 -1.0955
-0.6745 -0.2069 -1.1631 -0.2807 1.384 3.74 -0.8135
-0.5678 -0.0731 -1.2785 -0.3368 1.424 3.75 -0.0127
-0.4167 0.0861 -1.3852 -0.3454 1.3627 3.76 0.6611
-0.3794 0.2419 -1.3279 -0.4145 1.2036 3.77 0.598
-0.4259 0.4012 -1.3506 -0.4775 0.924 3.78 -0.1773
-0.5977 0.5451 -1.2629 -0.5051 0.8024 3.79 -0.9866
-0.873 0.7573 -1.1596 -0.5911 0.6515 3.8 -1.2382
-1.096 0.7723 -1.107 -0.6422 0.4752 3.81 -0.6915
-1.516 0.9982 -1.2126 -0.8643 0.2478 3.82 0.2053
-1.7864 0.905 -1.015 -0.9157 0.1457 3.83 0.7933
-2.1173 0.9488 -0.9556 -0.9347 0.0535 3.84 0.6478
-2.3977 0.9885 -1.0542 -1.1002 0.0134 3.85 -0.1494
-2.2807 0.9426 -0.947 -1.1952 0.0262 3.86 -0.8887
-2.4323 0.8794 -0.8021 -1.5115 0.0884 3.87 -0.9352
-2.4902 0.7224 -0.7215 -1.511 0.1875 3.88 -0.2693
-2.4209 0.6014 -0.6067 -1.7281 0.3443 3.89 0.6502
-2.6041 0.3314 -0.4806 -1.6592 0.6035 3.9 1.2328
-2.3006 0.1634 -0.306 -1.8379 0.7511 3.91 0.8819
-1.8391 -0.0618 -0.2326 -2.1412 0.9885 3.92 0.0736
