#time y5 y3 y2 y1 y6 y4
0.79 1.1288 1.6061 -0.594 -1.1758 2.0377 0.8392
0.8 0.8533 1.3761 -0.3957 -0.9621 1.7372 0.6588
0.81 0.8157 1.1134 -0.2266 -1.0429 0.9862 0.5069
0.82 0.5636 1.0512 -0.1187 -0.8241 0.1656 0.3031
0.83 0.2326 0.7861 -0.0128 -0.7419 -0.1252 0.0584
0.84 -0.0289 0.6848 0.0701 -0.6686 0.1922 -0.1937
0.85 -0.3409 0.5448 0.1412 -0.473 0.905 -0.428
0.86 -0.5434 0.4787 0.1721 -0.3467 1.4999 -0.7309
0.87 -0.7405 0.4017 0.1833 -0.1817 1.8108 -0.929
0.88 -0.9723 0.3933 0.1768 -0.0288 1.194 -1.0912
0.89 -1.0504 0.3812 0.1733 0.1251 0.4492 -1.1372
0.9 -1.1372 0.4166 0.1312 0.2677 -0.2101 -1.115
0.91 -1.2033 0.4877 0.1042 0.4389 -0.3083 -1.2271
0.92 -1.0786 0.6745 0.0589 0.6196 0.1666 -1.0011
0.93 -0.8391 0.7172 0.0268 0.6977 0.8886 -0.8819
0.94 -0.6714 0.9903 -0.0018 0.9381 1.4687 -0.6159
0.95 -0.3563 1.1773 -0.0201 0.991 1.468 -0.3297
0.96 -0.0276 1.1858 -0.0243 0.9717 0.7605 -0.0663
0.97 0.3555 1.5648 -0.009 1.1221 -0.0184 0.239
0.98 0.7485 1.4909 0.0245 1.2175 -0.5174 0.4942
0.99 1.1116 1.9317 0.0743 1.3631 -0.5125 0.7726
1.0 1.4741 2.0263 0.1778 1.2856 0.1445 1.039
1.01 1.6874 1.8541 0.2873 1.3309 0.8404 1.2009
1.02 1.8466 2.0895 0.4081 1.2841 1.3454 1.1603
1.03 2.0251 2.1956 0.5098 1.1764 1.0895 1.1496
1.04 1.8047 2.0733 0.7452 1.1659 0.368 1.2547
1.05 2.0459 2.0758 0.865 1.0744 -0.4095 0.978
1.06 1.8668 1.9466 1.1231 1.1076 -0.7211 0.816
1.07 1.7149 1.9432 1.4266 1.0035 -0.5414 0.7252
1.08 1.4597 1.5733 1.6108 0.997 0.2047 0.4856
1.09 1.1549 1.6225 1.794 0.8771 0.9012 0.2659
1.1 0.8733 1.3722 1.9982 0.7992 1.085 0.1111
1.11 0.534 1.1134 2.0934 0.7121 0.7698 -0.0443
1.12 0.2719 0.8104 2.3534 0.5977 -0.0313 -0.1418
1.13 0.0224 0.7124 2.3985 0.5344 -0.674 -0.1848
1.14 -0.216 0.4118 2.6179 0.4507 -0.8366 -0.1935
1.15 -0.3583 0.2621 2.9634 0.3873 -0.463 -0.1054
1.16 -0.4521 0.1011 2.9613 0.3893 0.2909 0.0553
1.17 -0.5391 -0.0425 3.0229 0.3796 0.9508 0.2867
1.18 -0.542 -0.1356 2.6013 0.3327 1.0397 0.5342
1.19 -0.5265 -0.2295 2.6342 0.3459 0.4983 0.9006
1.2 -0.4442 -0.2135 2.9696 0.4044 -0.3377 1.1775
1.21 -0.3677 -0.2482 2.5154 0.4837 -0.9304 1.4924
1.22 -0.2534 -0.1728 2.6034 0.5996 -0.8379 1.5828
1.23 -0.1701 -0.0951 2.2291 0.6099 -0.3363 1.8679
1.24 -0.0896 0.0178 2.2308 0.6888 0.4853 2.2415
1.25 -0.0474 0.1515 1.6853 0.7999 1.0127 2.2977
1.26 -0.0559 0.3159 1.4257 1.067 0.7724 2.2569
1.27 -0.1018 0.5008 1.342 1.1997 0.2082 2.5956
1.28 -0.2007 0.6115 0.9783 1.4633 -0.6095 2.3091
1.29 -0.4019 0.808 0.6947 1.5602 -1.0193 2.1102
1.3 -0.6047 0.9689 0.4781 1.6418 -0.7811 2.3805
1.31 -0.78 1.1587 0.1542 1.7533 -0.0715 1.8092
1.32 -1.1312 1.3619 -0.1019 1.9656 0.6318 1.7579
1.33 -1.2767 1.2413 -0.3467 2.0036 1.0726 1.4804
1.34 -1.6158 1.5075 -0.5938 2.2553 0.8042 1.2036
1.35 -1.976 1.4039 -0.7647 2.2758 0.0404 1.1818
1.36 -2.3164 1.4825 -1.0234 2.5041 -0.6319 0.9777
1.37 -2.5312 1.3331 -1.0681 2.7483 -0.8357 1.0009
1.38 -2.5459 1.2927 -1.2022 2.7214 -0.5344 0.871
1.39 -2.2831 1.0825 -1.2873 2.8806 0.2852 0.9854
1.4 -2.6072 0.9808 -1.3769 2.7493 0.8989 1.1108
1.41 -2.0515 0.8667 -1.3286 2.8619 1.1277 1.1853
1.42 -1.9028 0.5605 -1.4317 3.0131 0.6534 1.4356
1.43 -1.7341 0.4286 -1.3652 3.1577 -0.0492 1.7022
1.44 -1.5227 0.1933 -1.4733 2.8137 -0.6127 1.8908
1.45 -1.1046 -0.0274 -1.1943 3.0508 -0.6392 2.4047
1.46 -0.6746 -0.2067 -1.1082 2.5945 -0.17 2.5279
1.47 -0.3747 -0.4165 -1.1018 2.4229 0.7086 2.6729
1.48 -0.0213 -0.6067 -1.0081 2.7883 1.2482 2.9698
1.49 0.2744 -0.6364 -1.0791 2.4978 1.2765 3.0898
1.5 0.5769 -0.8407 -0.8835 2.0748 0.6862 3.1274
1.51 0.7406 -0.891 -0.8527 2.1206 -0.0798 2.6753
1.52 0.807 -0.855 -0.7696 1.8565 -0.5843 2.7837
1.53 0.8485 -0.8044 -0.7347 1.68 -0.4277 2.8277
1.54 0.7515 -0.829 -0.7178 1.6666 0.2504 2.191
1.55 0.6693 -0.6548 -0.7435 1.4821 1.0702 1.9841
1.56 0.4881 -0.5945 -0.8555 1.1174 1.5925 2.012
1.57 0.2845 -0.3823 -0.8598 1.0779 1.4298 1.6339
1.58 0.0185 -0.21 -0.8669 0.8486 0.7042 1.3693
1.59 -0.2536 -0.0369 -0.958 0.7158 -0.0308 1.1227
1.6 -0.579 0.1539 -1.0525 0.5935 -0.3624 0.7764
1.61 -0.7336 0.3292 -1.1622 0.3956 -0.0214 0.6704
1.62 -1.0928 0.5522 -1.2577 0.2849 0.7177 0.5712
1.63 -1.0817 0.7095 -1.5993 0.2239 1.611 0.5923
1.64 -1.2442 0.8696 -1.6181 0.1632 1.7947 0.5805
1.65 -1.4297 0.8503 -1.7569 0.1172 1.536 0.7825
1.66 -1.3256 0.8849 -1.817 0.0855 0.6367 0.8046
1.67 -1.4308 1.0223 -1.7808 0.0693 0.0652 1.0556
1.68 -1.3158 0.942 -2.0347 0.0799 -0.0654 1.1796
1.69 -1.1565 0.8611 -1.9412 0.1054 0.4262 1.4876
1.7 -1.0677 0.906 -1.9908 0.1498 1.344 1.642
1.71 -0.95 0.7634 -2.0719 0.1996 1.9856 1.9254
1.72 -0.7613 0.6387 -2.0038 0.2881 1.8622 2.0022
1.73 -0.7136 0.4716 -1.9498 0.3517 1.3473 1.8451
1.74 -0.6833 0.2968 -1.9314 0.4131 0.6931 2.096
1.75 -0.6248 0.0717 -1.7132 0.4888 0.1815 1.8787
1.76 -0.7249 -0.1067 -1.7027 0.6379 0.2381 1.7122
1.77 -0.8338 -0.2844 -1.531 0.6865 0.8493 1.5094
1.78 -0.9392 -0.4779 -1.0575 0.8051 1.6936 1.1583
1.79 -1.0654 -0.6124 -0.8861 0.8766 2.2832 0.9047
1.8 -1.3564 -0.7605 -0.6229 0.8721 2.2397 0.6932
1.81 -1.6573 -0.8725 -0.3758 0.9098 1.5884 0.3503
1.82 -1.7848 -0.9853 -0.0703 1.0482 0.7925 0.0564
1.83 -1.8898 -0.9057 0.2415 0.978 0.3526 -0.2126
1.84 -2.4142 -0.8977 0.5607 1.1084 0.5274 -0.3805
1.85 -2.6617 -0.9703 0.8619 1.0306 1.3792 -0.5603
1.86 -2.3014 -0.9172 0.9787 0.9101 1.9198 -0.6462
1.87 -2.7498 -0.7029 1.2978 0.9485 2.5429 -0.7069
1.88 -2.7338 -0.569 1.6355 0.8121 1.9131 -0.6782
1.89 -2.474 -0.427 1.9072 0.8008 1.3331 -0.5177
1.9 -2.1002 -0.2234 1.8157 0.6684 0.7072 -0.3459
1.91 -1.9753 -0.0133 1.888 0.5171 0.4908 -0.1852
1.92 -1.7543 0.1837 2.0426 0.4062 0.8678 0.0517
1.93 -1.1895 0.4307 2.3805 0.2798 1.6259 0.2516
1.94 -0.8208 0.5346 2.3937 0.1427 2.3985 0.4652
1.95 -0.4799 0.7314 2.4265 -0.0167 2.4731 0.6973
1.96 -0.0401 0.9412 2.4384 -0.1831 2.0331 0.7779
1.97 0.3138 1.0373 2.0683 -0.338 1.2882 0.9462
1.98 0.6507 1.2292 2.1049 -0.5037 0.6764 0.9608
1.99 0.9704 1.1162 2.0148 -0.5717 0.5339 0.8322
2.0 1.0991 1.2569 1.8495 -0.7022 1.0899 0.6945
2.01 1.2937 1.0868 1.8343 -0.927 2.0297 0.5596
2.02 1.1128 1.1139 1.722 -0.9717 2.674 0.3562
2.03 1.1642 1.0486 1.4969 -1.1009 2.373 0.1609
2.04 1.1617 0.857 1.1835 -1.1866 1.8738 -0.1131
2.05 0.8675 0.7302 1.2401 -1.0569 1.0131 -0.4036
2.06 0.7201 0.5161 1.0543 -1.2113 0.5636 -0.6107
2.07 0.4199 0.4169 0.8424 -1.1832 0.6622 -0.8765
2.08 0.2072 0.2094 0.8179 -1.1004 1.2132 -0.951
2.09 -0.0176 0.0309 0.7245 -1.0277 2.1844 -1.1115
2.1 -0.2461 -0.1268 0.597 -1.089 2.6115 -1.104
2.11 -0.446 -0.2766 0.5866 -1.0034 2.042 -1.1286
2.12 -0.5742 -0.3601 0.5009 -0.9356 1.587 -1.0368
2.13 -0.602 -0.5171 0.5473 -0.777 0.7493 -0.7245
2.14 -0.6521 -0.509 0.5373 -0.5732 0.3973 -0.5367
2.15 -0.5363 -0.4973 0.5895 -0.3977 0.6499 -0.2843
2.16 -0.5409 -0.4555 0.6947 -0.265 1.2724 -0.0252
2.17 -0.3964 -0.4701 0.6395 -0.0757 2.0633 0.2414
2.18 -0.2495 -0.3652 0.7687 0.1056 2.4948 0.5311
2.19 -0.0812 -0.2076 0.8808 0.3097 1.8918 0.8319
2.2 0.0576 -0.0312 0.9069 0.5299 1.0175 0.9555
2.21 0.2019 0.1587 1.0332 0.6919 0.3653 1.2027
2.22 0.2875 0.3299 1.0067 0.9032 0.1666 1.1399
2.23 0.3552 0.6139 0.9598 1.0291 0.6201 1.1702
2.24 0.3342 0.7973 0.968 1.1187 1.4333 1.0959
2.25 0.3053 1.0807 1.1397 1.3066 2.0992 1.071
2.26 0.242 1.1656 1.0457 1.5652 1.9386 0.9107
2.27 0.0831 1.4526 0.9891 1.5669 1.3599 0.6904
2.28 -0.1205 1.4605 0.8536 1.5731 0.5635 0.4932
2.29 -0.3602 1.5654 0.8023 1.6024 -0.0183 0.3317
2.3 -0.5598 1.7499 0.562 1.7959 -0.0301 0.1097
2.31 -0.8369 1.9246 0.4496 1.697 0.5666 -0.0662
2.32 -1.0154 2.0022 0.2223 1.8199 1.3586 -0.1714
2.33 -1.295 1.9876 0.0222 1.8851 1.7432 -0.2394
2.34 -1.3183 1.7252 -0.194 1.567 1.4101 -0.2411
2.35 -1.4625 1.5357 -0.4752 1.6331 0.9321 -0.1612
2.36 -1.3671 1.7116 -0.7308 1.6644 0.0324 -0.0399
2.37 -1.3779 1.5306 -1.0128 1.474 -0.4011 0.1546
2.38 -1.0184 1.3121 -1.2189 1.3315 -0.2769 0.4204
2.39 -0.8815 1.1786 -1.4926 1.3117 0.376 0.6442
2.4 -0.595 0.8599 -1.7463 1.217 0.9912 1.0677
2.41 -0.1983 0.7501 -2.0734 0.9812 1.4937 1.2735
2.42 0.173 0.5777 -2.1209 0.9199 1.0812 1.7056
2.43 0.6087 0.4605 -2.2181 0.8006 0.2469 1.8615
2.44 1.0387 0.3221 -2.5554 0.7077 -0.5083 1.9532
2.45 1.2982 0.255 -2.4584 0.5403 -0.8459 2.3522
2.46 1.7057 0.2152 -2.6455 0.4772 -0.5212 2.3112
2.47 2.0855 0.2201 -2.8211 0.3433 0.2485 2.3304
2.48 2.3104 0.2636 -2.4526 0.285 0.8542 2.3619
2.49 2.3744 0.3522 -2.6197 0.2355 0.8691 2.2155
2.5 2.4327 0.44 -2.374 0.1835 0.4372 1.8324
2.51 2.3904 0.559 -2.4636 0.1509 -0.4015 1.5296
2.52 2.2509 0.6779 -2.0903 0.169 -1.0916 1.4668
2.53 2.2319 0.8868 -2.0862 0.1767 -1.2555 1.0875
2.54 1.8967 1.15 -1.7802 0.1777 -0.6607 0.9285
2.55 1.714 1.2143 -1.765 0.2356 0.0467 0.7651
2.56 1.4788 1.5726 -1.3472 0.2907 0.6036 0.6029
2.57 1.3881 1.8074 -1.2307 0.3711 0.4645 0.4878
2.58 1.0421 2.0843 -0.9937 0.4284 -0.1736 0.3926
2.59 0.8601 1.9893 -0.7247 0.5481 -1.032 0.459
2.6 0.7431 2.181 -0.5133 0.6504 -1.6094 0.5692
2.61 0.5564 2.2194 -0.3642 0.7219 -1.4397 0.6589
2.62 0.5003 2.7249 -0.1749 0.7732 -0.8771 0.8966
2.63 0.5004 2.4815 -0.029 1.0433 -0.1208 0.9898
2.64 0.5111 2.4404 0.1156 0.9729 0.2192 1.2254
2.65 0.6672 2.3406 0.2207 1.0781 -0.0173 1.4426
2.66 0.8062 2.3486 0.2818 1.3165 -0.8238 1.9096
2.67 0.9061 2.4121 0.3526 1.2935 -1.509 2.0682
2.68 1.0092 2.3626 0.3627 1.4081 -2.0094 2.0396
2.69 1.0524 1.8399 0.4241 1.2746 -1.7275 2.2034
2.7 1.1994 2.0316 0.4182 1.4442 -1.0439 2.117
2.71 1.3258 1.8216 0.3692 1.2752 -0.278 2.2175
2.72 1.1926 1.6342 0.3399 1.3193 -0.0905 2.1598
2.73 1.3892 1.312 0.3011 1.2415 -0.4605 1.8737
2.74 1.2505 1.1536 0.197 1.1169 -1.1815 1.4778
2.75 0.965 1.0502 0.1425 1.1521 -1.9833 1.207
2.76 0.7752 0.849 0.0802 0.9237 -2.208 1.0644
2.77 0.6644 0.7922 0.0347 0.8791 -1.6008 0.6939
2.78 0.352 0.7859 -0.0111 0.6727 -1.0595 0.3868
2.79 0.1137 0.7193 -0.0371 0.5946 -0.3797 0.1426
2.8 -0.148 0.6522 -0.0516 0.3889 -0.3565 -0.0971
2.81 -0.3422 0.844 -0.0404 0.1956 -0.9848 -0.2433
2.82 -0.555 0.8442 -0.0079 -0.0014 -1.8938 -0.3416
2.83 -0.7313 0.9937 0.0502 -0.224 -2.3558 -0.386
2.84 -0.7744 1.1653 0.1325 -0.4283 -2.374 -0.3824
2.85 -0.7717 1.2288 0.2212 -0.6023 -1.5818 -0.3203
2.86 -0.6956 1.4799 0.3842 -0.7547 -1.0631 -0.1651
2.87 -0.4409 1.7006 0.518 -1.1138 -0.5021 0.0114
2.88 -0.2628 1.8828 0.7121 -1.2394 -0.6981 0.1847
2.89 0.0411 2.2338 0.9149 -1.4415 -1.4149 0.3829
2.9 0.3595 2.2638 1.099 -1.5525 -2.2354 0.5483
2.91 0.804 2.1867 1.1793 -1.6902 -2.429 0.668
2.92 1.2135 2.3333 1.2884 -1.6692 -2.2602 0.8609
2.93 1.3527 2.5153 1.5116 -1.7758 -1.6208 0.8871
2.94 1.7943 2.6262 1.7704 -1.9947 -0.8656 0.8365
2.95 2.2836 2.9451 1.8339 -1.9931 -0.5623 0.801
2.96 2.5477 2.9044 2.1797 -1.9945 -0.8289 0.6717
2.97 2.6913 2.4202 2.3491 -1.9336 -1.7719 0.422
2.98 2.6166 2.4581 2.2031 -1.9382 -2.559 0.1674
2.99 2.7637 2.2409 2.5396 -2.0192 -2.6004 -0.1224
3.0 2.3809 2.07 2.4697 -1.9734 -2.393 -0.4679
3.01 2.2511 2.1826 2.4996 -1.8917 -1.3803 -0.7902
3.02 2.394 1.7103 2.1869 -1.8834 -0.7198 -1.0177
3.03 1.8957 1.4998 2.2453 -1.7855 -0.624 -1.1989
3.04 1.7072 1.3799 2.2811 -1.6173 -1.0653 -1.6484
3.05 1.2479 1.1548 1.8613 -1.7197 -1.9243 -1.5462
3.06 1.1489 1.1189 1.7753 -1.3325 -2.2484 -1.71
3.07 0.8465 0.8854 1.5169 -1.3458 -2.354 -1.8461
3.08 0.6318 0.7076 1.234 -1.2777 -1.7452 -1.8878
3.09 0.3938 0.6232 1.0899 -1.1649 -1.1052 -1.6235
3.1 0.2907 0.5548 0.8939 -0.9514 -0.507 -1.4261
3.11 0.2071 0.4821 0.6639 -0.8959 -0.5919 -1.4134
3.12 0.1649 0.5167 0.3668 -0.6964 -1.0437 -0.9889
3.13 0.1743 0.6003 0.0894 -0.6216 -2.0678 -0.87
3.14 0.2335 0.6254 -0.1683 -0.5779 -2.3971 -0.6706
3.15 0.3147 0.743 -0.383 -0.5042 -2.3679 -0.4679
3.16 0.4443 0.8115 -0.6045 -0.462 -1.4164 -0.3242
3.17 0.5243 0.9055 -0.7832 -0.4325 -0.7672 -0.203
3.18 0.6235 1.0544 -0.9833 -0.4657 -0.3085 -0.1511
3.19 0.6925 1.2314 -1.1647 -0.447 -0.4949 -0.2039
3.2 0.6728 1.4787 -1.3288 -0.4699 -1.1944 -0.3069
3.21 0.7194 1.5546 -1.329 -0.537 -1.78 -0.4238
3.22 0.5714 1.9191 -1.451 -0.5611 -2.3315 -0.6829
3.23 0.435 1.885 -1.2535 -0.6104 -1.9377 -0.9578
3.24 0.222 1.9636 -1.4885 -0.8068 -1.1354 -1.0515
3.25 0.0076 2.0004 -1.4068 -0.8053 -0.3625 -1.3347
3.26 -0.2449 2.0077 -1.3039 -0.8952 -0.1041 -1.5716
3.27 -0.551 2.2463 -1.2242 -1.1051 -0.4267 -1.7014
3.28 -0.8096 2.1869 -1.0605 -1.1076 -1.2226 -2.0228
3.29 -1.1011 2.1485 -1.0746 -1.1646 -1.7043 -2.0031
3.3 -1.4305 1.8604 -0.8675 -1.369 -1.8836 -2.0287
3.31 -1.4008 1.8054 -0.7254 -1.4693 -1.3132 -2.268
3.32 -1.6451 1.638 -0.6902 -1.6469 -0.6828 -1.7878
3.33 -1.713 1.3086 -0.5774 -1.5174 0.0184 -1.7174
3.34 -1.7788 1.2049 -0.4641 -1.7422 0.1119 -1.547
3.35 -1.6514 0.9721 -0.4168 -1.5854 -0.4258 -1.2204
3.36 -1.4874 0.7436 -0.3907 -1.7247 -1.1125 -1.1047
3.37 -1.2606 0.4531 -0.3395 -1.6685 -1.8089 -0.6652
3.38 -0.9328 0.2456 -0.3712 -1.5739 -1.496 -0.4298
3.39 -0.5558 0.0765 -0.3713 -1.5441 -1.0167 -0.197
3.4 -0.1964 -0.0793 -0.4001 -1.5819 -0.1446 0.0232
3.41 0.1379 -0.2137 -0.4483 -1.4182 0.3545 0.1668
3.42 0.5128 -0.2732 -0.5602 -1.333 0.2312 0.2681
3.43 0.7707 -0.3556 -0.6102 -1.1861 -0.3729 0.3227
3.44 1.0323 -0.3499 -0.7702 -1.2181 -1.2147 0.2583
3.45 1.1565 -0.302 -0.9458 -0.9075 -1.613 0.1552
3.46 1.5023 -0.241 -1.1179 -0.8756 -1.3126 -0.001
3.47 1.3979 -0.1608 -1.1071 -0.694 -0.4802 -0.201
3.48 1.2844 -0.0565 -1.3175 -0.4535 0.25 -0.3911
3.49 1.2358 0.0836 -1.3156 -0.2882 0.6172 -0.6277
3.5 1.0346 0.2477 -1.6289 -0.1021 0.3466 -0.8896
3.51 0.8142 0.4197 -1.7054 0.0754 -0.3404 -0.9939
3.52 0.6331 0.594 -1.4858 0.2522 -1.1378 -1.1772
3.53 0.3153 0.686 -1.6618 0.4029 -1.383 -1.1857
3.54 0.0043 0.7769 -1.5639 0.5536 -0.85 -1.2582
3.55 -0.3075 0.9373 -1.7268 0.6468 -0.0565 -1.181
3.56 -0.5876 1.1186 -1.4578 0.819 0.5769 -1.0238
3.57 -0.6895 1.0087 -1.4904 0.9254 0.7898 -0.8033
3.58 -0.8509 1.0324 -1.3647 0.9884 0.3089 -0.5953
3.59 -1.0593 1.0167 -1.3742 0.9316 -0.4251 -0.3412
3.6 -1.0235 1.0743 -0.9927 1.1514 -1.0011 -0.0299
3.61 -1.0555 0.9072 -0.8759 0.9952 -1.1442 0.279
3.62 -1.0128 0.8541 -0.699 0.9616 -0.5314 0.5213
3.63 -0.9761 0.7421 -0.3946 0.9647 0.3204 0.7359
3.64 -0.9678 0.4666 -0.17 0.9892 0.8959 1.037
3.65 -0.8029 0.2553 0.0711 0.8363 0.8969 1.1685
3.66 -0.6228 0.0631 0.3542 0.7313 0.2351 1.2864
3.67 -0.5994 -0.1769 0.5529 0.6609 -0.5051 1.2141
3.68 -0.5676 -0.3713 0.7849 0.548 -1.0225 1.1156
3.69 -0.5641 -0.5762 1.1322 0.4115 -0.8719 1.0409
3.7 -0.5343 -0.8979 1.3738 0.2028 -0.1769 0.8938
3.71 -0.6801 -0.9443 1.4993 0.0612 0.555 0.5782
3.72 -0.7962 -1.046 1.5823 -0.1134 0.9723 0.3702
3.73 -0.9746 -1.2415 1.8957 -0.2907 0.6944 0.1105
3.74 -1.2335 -1.3935 1.9274 -0.4627 0.0597 -0.1242
3.75 -1.4922 -1.3148 2.045 -0.654 -0.7377 -0.3383
3.76 -1.9332 -1.5229 2.0839 -0.8031 -0.992 -0.4939
3.77 -1.8402 -1.3669 2.0007 -0.9147 -0.7221 -0.6483
3.78 -2.3898 -1.1936 1.9166 -1.0001 0.0477 -0.66
3.79 -2.3031 -1.1112 1.8493 -1.2065 0.8022 -0.678
3.8 -2.6784 -0.9886 1.6178 -1.272 0.9145 -0.5825
3.81 -2.869 -0.8976 1.6736 -1.3935 0.5776 -0.5006
3.82 -2.8883 -0.7691 1.4911 -1.5188 -0.1903 -0.3536
3.83 -2.8778 -0.5735 1.3321 -1.3689 -0.8731 -0.1122
3.84 -2.3086 -0.4451 1.1225 -1.5168 -1.0402 0.1023
3.85 -2.3045 -0.2683 0.981 -1.6383 -0.566 0.3393
3.86 -1.7926 -0.1188 0.8608 -1.6103 0.2215 0.5721
3.87 -1.4634 -0.0047 0.7149 -1.5191 0.8773 0.7742
3.88 -1.2219 0.0935 0.5038 -1.5409 0.8233 0.9254
3.89 -0.9387 0.15 0.3845 -1.3609 0.2439 0.8801
3.9 -0.4367 0.1671 0.2547 -1.3266 -0.5856 1.0066
3.91 -0.1152 0.1595 0.1527 -1.2743 -1.1756 0.8959
3.92 0.1958 0.1185 0.0775 -1.0688 -1.1084 0.8485
