#y1 y4 y2 time y3
0.4133 1.5867 2.4251 4.06 -0.4982
0.598 1.8488 2.5497 4.07 -0.5489
0.7834 2.0379 2.4268 4.08 -0.5545
0.7685 1.9684 2.0438 4.09 -0.5882
0.9072 2.3373 1.6829 4.1 -0.7055
0.773 2.1862 1.4662 4.11 -0.7173
0.5608 2.4407 1.1652 4.12 -0.8593
0.3956 2.591 0.879 4.13 -0.8567
0.1447 2.1762 0.5027 4.14 -1.0905
-0.1208 2.2918 0.1312 4.15 -1.0885
-0.3741 1.919 -0.1743 4.16 -1.1502
-0.6199 1.7941 -0.5233 4.17 -1.3546
-0.8382 1.7571 -0.7195 4.18 -1.434
-0.9143 1.5607 -0.9413 4.19 -1.4226
-0.9287 1.2099 -1.2886 4.2 -1.5892
-0.8634 0.9779 -1.2868 4.21 -1.8309
-0.8246 0.6943 -1.3231 4.22 -1.9493
-0.5434 0.3997 -1.5576 4.23 -1.9018
-0.3319 0.1125 -1.4379 4.24 -2.0109
-0.0548 -0.1251 -1.4921 4.25 -2.4397
0.2399 -0.3816 -1.246 4.26 -2.3543
0.4964 -0.5384 -1.337 4.27 -2.249
0.8333 -0.6964 -1.0627 4.28 -2.782
1.0998 -0.9424 -0.8217 4.29 -2.4646
1.2459 -0.9088 -0.6579 4.3 -2.4514
1.3751 -1.0006 -0.4973 4.31 -2.8522
1.2611 -0.9746 -0.2358 4.32 -2.5918
1.3297 -1.105 -0.0003 4.33 -2.6509
1.1273 -1.0188 0.225 4.34 -2.9797
1.0393 -0.7735 0.4478 4.35 -2.7073
0.7999 -0.7033 0.5544 4.36 -3.1198
0.4876 -0.5354 0.7603 4.37 -2.6662
0.2485 -0.2993 0.8891 4.38 -2.8784
-0.0072 -0.1156 0.8979 4.39 -2.8071
-0.219 0.1221 1.0033 4.4 -2.6191
-0.3099 0.3526 1.1308 4.41 -2.763
-0.383 0.6323 1.0669 4.42 -2.5821
-0.4437 0.8379 0.9122 4.43 -2.3939
-0.2947 1.0389 0.8278 4.44 -2.2255
-0.1715 1.3251 0.8501 4.45 -2.2263
0.0525 1.4804 0.6897 4.46 -2.0729
0.3234 1.5643 0.5311 4.47 -2.0993
0.5801 1.8743 0.3637 4.48 -1.726
0.8334 1.8776 0.2527 4.49 -1.7413
1.124 1.6812 0.1008 4.5 -1.5602
1.3986 1.8726 -0.0306 4.51 -1.4436
1.6011 1.7155 -0.1612 4.52 -1.3278
1.6531 1.5495 -0.2564 4.53 -1.4034
1.6777 1.4692 -0.3578 4.54 -1.2204
1.6312 1.4265 -0.4032 4.55 -1.1284
1.7685 1.141 -0.448 4.56 -1.0404
1.4735 1.0809 -0.4825 4.57 -0.8358
1.1522 0.7653 -0.5726 4.58 -0.8461
1.0348 0.5347 -0.514 4.59 -0.7639
0.7003 0.278 -0.448 4.6 -0.7142
0.4945 -0.0201 -0.4929 4.61 -0.6916
0.2582 -0.3045 -0.3905 4.62 -0.65
0.066 -0.6004 -0.3455 4.63 -0.6297
-0.0437 -0.8171 -0.2984 4.64 -0.5833
-0.0874 -1.1088 -0.3185 4.65 -0.6628
-0.0522 -1.3383 -0.2854 4.66 -0.6642
0.0609 -1.4501 -0.2809 4.67 -0.7515
0.2262 -1.7927 -0.2918 4.68 -0.7571
0.5192 -2.0302 -0.2905 4.69 -0.8549
0.7037 -1.9155 -0.3974 4.7 -0.8372
0.9639 -1.9456 -0.427 4.71 -0.8642
1.3413 -1.9559 -0.5943 4.72 -0.9865
1.4253 -2.1624 -0.7164 4.73 -0.9964
1.7437 -2.1657 -0.7423 4.74 -1.126
1.8363 -1.8837 -0.924 4.75 -1.327
1.7971 -2.1631 -1.1784 4.76 -1.4007
1.8919 -2.0162 -1.2951 4.77 -1.5135
1.8848 -1.7122 -1.3743 4.78 -1.5273
1.5033 -1.583 -1.5842 4.79 -1.7222
1.546 -1.488 -1.8776 4.8 -1.6084
1.1599 -1.2565 -1.7185 4.81 -1.6263
0.8848 -1.103 -2.0296 4.82 -1.6485
0.6304 -1.097 -1.9008 4.83 -1.9955
0.3507 -1.0303 -1.9606 4.84 -1.9329
0.1383 -0.8132 -2.2332 4.85 -2.0236
-0.0155 -0.7117 -1.913 4.86 -2.1482
-0.1086 -0.6013 -1.8511 4.87 -1.8693
-0.1074 -0.4962 -1.9675 4.88 -2.2072
-0.0558 -0.3802 -1.566 4.89 -2.2218
0.0753 -0.375 -1.3908 4.9 -2.0811
0.261 -0.3001 -1.3738 4.91 -2.1251
0.5042 -0.2496 -1.0684 4.92 -2.0889
0.8251 -0.2477 -0.8346 4.93 -1.9045
1.0469 -0.2096 -0.5453 4.94 -1.8156
1.1645 -0.2146 -0.3143 4.95 -1.6448
1.5119 -0.1892 -0.0546 4.96 -1.621
1.5949 -0.2114 0.2032 4.97 -1.5047
1.6348 -0.1695 0.3818 4.98 -1.5544
1.8412 -0.1688 0.6073 4.99 -1.3278
1.7313 -0.1641 0.6713 5.0 -1.2332
1.5673 -0.1254 0.8219 5.01 -1.1874
1.1559 -0.0732 0.8798 5.02 -1.0695
0.8818 -0.0215 0.9815 5.03 -0.8756
0.7155 0.0411 0.8963 5.04 -0.6749
0.3603 0.1287 0.7434 5.05 -0.5702
0.0877 0.2218 0.7199 5.06 -0.475
-0.1762 0.2955 0.5076 5.07 -0.3242
-0.3688 0.4503 0.2828 5.08 -0.2094
-0.4839 0.5805 0.0278 5.09 -0.0731
-0.6031 0.683 -0.261 5.1 0.0499
-0.5754 0.8869 -0.5481 5.11 0.1625
-0.4622 0.9781 -0.7894 5.12 0.2744
-0.2753 1.0216 -1.1623 5.13 0.3847
-0.0887 1.1472 -1.3719 5.14 0.4796
0.1522 1.2468 -1.8095 5.15 0.5121
0.3698 1.2427 -2.097 5.16 0.6307
0.5786 1.3653 -2.4894 5.17 0.6801
0.8967 1.4366 -2.5515 5.18 0.5991
0.9104 1.5952 -2.7248 5.19 0.6292
1.1397 1.5205 -2.9616 5.2 0.6366
1.0867 1.5101 -2.706 5.21 0.7541
0.9694 1.5532 -2.9482 5.22 0.7386
0.9598 1.2531 -3.0291 5.23 0.6418
0.6974 1.221 -2.8004 5.24 0.643
0.4702 1.0783 -2.8593 5.25 0.5243
0.1477 0.9856 -2.4657 5.26 0.5259
-0.1864 0.9415 -2.0995 5.27 0.4091
-0.4619 0.7659 -1.9179 5.28 0.3849
-0.7727 0.5589 -1.6599 5.29 0.2826
-1.0753 0.3514 -1.5784 5.3 0.199
-1.0938 0.2059 -1.2964 5.31 0.0897
-1.2463 0.0223 -0.9333 5.32 0.004
-1.171 -0.1296 -0.6937 5.33 -0.0887
-1.237 -0.2589 -0.4319 5.34 -0.1986
-1.1075 -0.4229 -0.2005 5.35 -0.2753
-0.9069 -0.5134 -0.0028 5.36 -0.3552
-0.6641 -0.6037 0.1707 5.37 -0.4688
-0.4851 -0.6334 0.2606 5.38 -0.4992
-0.2523 -0.6366 0.4041 5.39 -0.6711
-0.0135 -0.6207 0.4683 5.4 -0.7411
0.1671 -0.5398 0.4115 5.41 -0.7632
0.2606 -0.437 0.4239 5.42 -0.8628
0.3016 -0.3366 0.3546 5.43 -0.7954
0.2918 -0.2483 0.2853 5.44 -0.7747
0.1873 -0.0616 0.2003 5.45 -0.7987
0.0045 0.1153 0.0729 5.46 -0.7986
-0.2402 0.2881 -0.069 5.47 -0.863
-0.5228 0.5254 -0.2074 5.48 -0.8141
-0.8205 0.7087 -0.3433 5.49 -0.8199
-1.0352 0.9256 -0.4497 5.5 -0.7085
-1.2867 1.1454 -0.5501 5.51 -0.7723
-1.8069 1.2329 -0.7185 5.52 -0.5901
