#y1 y3 time y2
0.5314 1.0236 2.49 1.0198
0.5861 1.3737 2.5 0.8132
0.6121 1.7639 2.51 0.2624
0.7309 2.0407 2.52 -0.326
0.8519 2.3246 2.53 -0.7914
0.9115 2.0792 2.54 -1.0813
0.8127 2.1812 2.55 -0.9314
0.9714 1.9082 2.56 -0.6427
0.8543 1.9296 2.57 -0.1656
0.9361 1.4173 2.58 0.3456
0.8625 1.2385 2.59 0.6434
0.6956 0.8931 2.6 0.7882
0.6866 0.6086 2.61 0.7629
0.6098 0.4617 2.62 0.313
0.4187 0.404 2.63 -0.1978
0.3027 0.509 2.64 -0.6777
0.1765 0.6609 2.65 -1.2184
0.0361 0.9856 2.66 -1.2655
-0.1209 1.4489 2.67 -1.0845
-0.2481 1.537 2.68 -0.7674
-0.4515 2.0498 2.69 -0.2168
-0.5767 2.1069 2.7 0.2989
-0.7304 2.3062 2.71 0.5789
-0.7524 2.5443 2.72 0.7281
-0.9559 2.4631 2.73 0.4469
-1.0823 2.3938 2.74 0.0511
-1.0011 2.1235 2.75 -0.4462
-1.0181 1.6194 2.76 -1.0097
-1.034 1.3568 2.77 -1.2339
-1.0242 0.8573 2.78 -1.2281
-0.9394 0.7225 2.79 -0.9368
-0.8577 0.6179 2.8 -0.5786
-0.8175 0.5551 2.81 -0.0237
-0.6923 0.6697 2.82 0.4844
-0.5167 0.7866 2.83 0.7848
-0.3342 1.1738 2.84 0.7535
-0.1455 1.4425 2.85 0.4945
0.0655 1.7324 2.86 0.0157
0.3043 2.0805 2.87 -0.4789
0.5151 2.3447 2.88 -0.8776
0.7669 2.583 2.89 -1.2033
0.9771 2.3431 2.9 -1.0799
1.2887 2.2113 2.91 -0.702
1.6547 2.3306 2.92 -0.202
1.8036 1.7025 2.93 0.3892
2.0109 1.5143 2.94 0.7311
2.3889 1.2376 2.95 1.1041
2.3265 0.8488 2.96 0.9963
2.7304 0.6216 2.97 0.5863
2.9629 0.4306 2.98 0.1461
3.0313 0.4052 2.99 -0.3423
3.0352 0.5738 3.0 -0.7488
3.0684 0.7305 3.01 -0.8224
2.8563 1.0106 3.02 -0.5701
2.9972 1.2836 3.03 -0.2269
2.6785 1.5943 3.04 0.3011
2.5937 2.0274 3.05 0.8257
2.4656 2.0892 3.06 1.3343
2.5288 2.1985 3.07 1.3277
2.0996 2.4208 3.08 1.1291
1.7984 2.2675 3.09 0.9176
1.5676 1.6723 3.1 0.3554
1.3923 1.5573 3.11 -0.104
1.2095 1.2493 3.12 -0.3553
0.8901 0.7123 3.13 -0.4003
0.693 0.4464 3.14 -0.1514
0.399 0.2181 3.15 0.3076
0.1932 0.0921 3.16 0.7991
-0.0402 0.0909 3.17 1.5186
-0.2403 0.2052 3.18 1.7936
-0.4214 0.4082 3.19 1.823
-0.5479 0.716 3.2 1.4696
-0.693 1.0441 3.21 0.9637
-0.7383 1.32 3.22 0.5347
-0.9131 1.6926 3.23 0.1289
-0.9493 1.7455 3.24 -0.0816
-0.8676 1.9318 3.25 -0.019
-0.8606 1.7351 3.26 0.3155
-0.7283 1.6318 3.27 0.7427
-0.7078 1.2287 3.28 1.4378
-0.5479 0.8707 3.29 1.8763
-0.3956 0.6431 3.3 1.9583
-0.2567 0.2 3.31 1.8256
-0.0862 -0.0939 3.32 1.6809
0.0977 -0.2952 3.33 1.086
0.3214 -0.4091 3.34 0.5825
0.4992 -0.4092 3.35 0.2617
0.7359 -0.2899 3.36 0.1012
0.8793 -0.0714 3.37 0.2213
1.0927 0.2222 3.38 0.6716
1.3043 0.4772 3.39 1.1823
1.6333 0.832 3.4 1.689
1.5104 1.1444 3.41 2.0891
1.9629 1.1254 3.42 2.1085
2.0969 1.1455 3.43 2.1194
1.817 1.1034 3.44 1.4272
2.0793 0.9927 3.45 0.9676
2.2481 0.6905 3.46 0.5257
1.9349 0.313 3.47 0.1644
2.1852 -0.0906 3.48 0.0971
1.8865 -0.5067 3.49 0.301
2.0655 -0.7 3.5 0.6888
1.9819 -0.9752 3.51 1.2684
1.6457 -1.1551 3.52 1.8175
1.8493 -1.0376 3.53 1.9253
1.6733 -0.8204 3.54 1.9772
1.2931 -0.6392 3.55 1.8707
1.3625 -0.3815 3.56 1.1603
1.1655 -0.0472 3.57 0.7069
0.9683 0.2214 3.58 0.1849
0.7839 0.4663 3.59 -0.09
0.5803 0.6098 3.6 -0.1041
0.4888 0.5914 3.61 0.1356
0.3196 0.4585 3.62 0.5578
0.2148 0.2787 3.63 1.0778
0.1141 -0.0363 3.64 1.5662
0.0074 -0.3926 3.65 1.6907
-0.0838 -0.8498 3.66 1.6029
-0.1514 -1.2423 3.67 1.1869
-0.2045 -1.5182 3.68 0.6366
-0.2528 -1.5522 3.69 0.1072
-0.268 -1.8403 3.7 -0.3307
-0.2435 -1.6619 3.71 -0.6129
-0.2736 -1.5661 3.72 -0.5171
-0.2481 -1.1459 3.73 -0.1697
-0.2414 -0.8161 3.74 0.2919
-0.2068 -0.6053 3.75 0.7025
-0.1757 -0.276 3.76 1.1181
-0.1621 -0.0872 3.77 1.1713
-0.1237 0.032 3.78 0.8842
-0.0889 0.0354 3.79 0.5115
-0.0684 -0.0932 3.8 -0.0304
-0.0487 -0.3087 3.81 -0.5888
-0.0354 -0.597 3.82 -1.0372
-0.032 -1.0397 3.83 -1.1444
-0.0454 -1.3072 3.84 -0.9298
-0.0581 -1.7751 3.85 -0.6325
-0.1011 -1.9392 3.86 -0.1332
-0.126 -2.0764 3.87 0.2794
-0.1845 -2.1724 3.88 0.5484
-0.2212 -2.0893 3.89 0.5758
-0.3203 -1.8043 3.9 0.2622
-0.4071 -1.6017 3.91 -0.199
-0.4129 -1.3874 3.92 -0.8124
-0.556 -0.9826 3.93 -1.2162
-0.5961 -0.676 3.94 -1.5445
-0.7445 -0.4765 3.95 -1.7807
-0.7194 -0.3324 3.96 -1.3778
-0.8879 -0.4079 3.97 -1.1244
-0.8163 -0.5252 3.98 -0.5213
-0.9664 -0.8242 3.99 -0.1258
-1.0184 -1.0675 4.0 0.0534
-0.9613 -1.512 4.01 -0.0251
-0.9792 -1.9467 4.02 -0.3588
-1.0846 -2.0896 4.03 -0.9555
-0.9223 -2.1648 4.04 -1.3877
-0.8803 -2.4868 4.05 -1.755
-0.7998 -2.3204 4.06 -2.2633
-0.7284 -2.4479 4.07 -2.2101
-0.7712 -2.0363 4.08 -1.6736
-0.6021 -1.7566 4.09 -1.3027
-0.4683 -1.4123 4.1 -0.7494
-0.3742 -1.0552 4.11 -0.4595
-0.2513 -0.7738 4.12 -0.3411
-0.1557 -0.624 4.13 -0.4982
-0.0208 -0.5231 4.14 -0.8626
0.0852 -0.5477 4.15 -1.5671
0.2049 -0.6511 4.16 -2.0319
0.3216 -0.9926 4.17 -2.1444
0.3855 -1.2624 4.18 -2.4373
0.4344 -1.6908 4.19 -2.3803
0.5161 -1.9165 4.2 -2.0419
0.5537 -2.2929 4.21 -1.5491
0.5147 -2.2169 4.22 -0.9451
0.4829 -2.5896 4.23 -0.5915
0.4905 -2.5562 4.24 -0.5472
0.4277 -2.3726 4.25 -0.8367
0.3224 -2.1419 4.26 -1.1805
0.1895 -1.833 4.27 -1.8116
0.0343 -1.3249 4.28 -2.4278
-0.1358 -1.0477 4.29 -2.6314
-0.3053 -0.7241 4.3 -2.5854
-0.4642 -0.5904 4.31 -2.4127
-0.7139 -0.4737 4.32 -1.9736
-0.8672 -0.467 4.33 -1.1522
-1.1551 -0.6472 4.34 -0.7885
-1.3151 -0.8791 4.35 -0.5834
-1.4655 -1.254 4.36 -0.5121
-1.7295 -1.6216 4.37 -0.7596
-2.0348 -1.6984 4.38 -1.2885
-2.4426 -2.3386 4.39 -1.6745
-2.2765 -2.4198 4.4 -2.0189
-2.6749 -2.3399 4.41 -2.5441
-2.7651 -2.4499 4.42 -2.2614
-2.9337 -1.9943 4.43 -1.9068
-2.7354 -1.7771 4.44 -1.4336
-2.6883 -1.5171 4.45 -0.8645
-3.1025 -1.0504 4.46 -0.4378
-2.585 -0.853 4.47 -0.3061
-2.843 -0.5074 4.48 -0.3399
-2.8571 -0.3192 4.49 -0.756
-2.3442 -0.2095 4.5 -1.2321
-2.4545 -0.2717 4.51 -1.569
-2.0963 -0.4511 4.52 -1.9922
-1.7898 -0.6212 4.53 -1.909
-1.7652 -0.975 4.54 -1.7927
-1.6524 -1.3999 4.55 -1.4451
-1.1555 -1.6707 4.56 -0.924
-0.9827 -1.9857 4.57 -0.3751
-0.7182 -2.1222 4.58 -0.0273
-0.4691 -1.892 4.59 0.0932
-0.1825 -2.0439 4.6 -0.0614
0.0438 -1.9048 4.61 -0.4239
0.2677 -1.3526 4.62 -0.9779
0.4838 -0.9962 4.63 -1.2901
0.6762 -0.6757 4.64 -1.8112
0.7808 -0.4001 4.65 -1.5268
0.9944 -0.0958 4.66 -1.5197
1.0759 0.0937 4.67 -1.0052
1.1259 0.1617 4.68 -0.3279
1.1277 0.0885 4.69 0.142
1.0303 -0.0781 4.7 0.4657
1.0282 -0.3249 4.71 0.4326
1.0154 -0.6567 4.72 0.2263
0.8462 -0.9571 4.73 -0.1925
0.8361 -1.1841 4.74 -0.6516
0.6496 -1.6251 4.75 -1.0307
0.4143 -1.6703 4.76 -1.3989
0.2473 -1.6043 4.77 -1.3139
0.0553 -1.5867 4.78 -0.9037
-0.1583 -1.4152 4.79 -0.3945
-0.3768 -1.0715 4.8 0.1938
-0.5959 -0.6789 4.81 0.681
-0.8236 -0.2486 4.82 0.8252
-1.0167 0.0806 4.83 0.7108
-1.2521 0.3646 4.84 0.4159
-1.5171 0.4566 4.85 -0.0406
-1.6149 0.53 4.86 -0.5479
-1.8382 0.4379 4.87 -0.8915
-1.7735 0.2715 4.88 -1.1241
-1.9835 -0.0137 4.89 -0.949
-1.8689 -0.3102 4.9 -0.4821
-2.0599 -0.6537 4.91 0.0305
-1.8979 -0.8707 4.92 0.5955
-2.1485 -1.2253 4.93 0.9325
-1.842 -1.2487 4.94 1.0686
-1.8114 -1.3684 4.95 0.9342
-1.8399 -1.0788 4.96 0.4688
-1.5045 -0.8107 4.97 -0.0588
-1.3879 -0.5984 4.98 -0.5254
-1.3185 -0.2117 4.99 -0.798
-1.1179 0.1411 5.0 -0.8506
-1.009 0.4249 5.01 -0.7013
-0.7785 0.7343 5.02 -0.2962
-0.507 0.8026 5.03 0.2303
-0.3228 0.8871 5.04 0.7145
-0.1523 0.736 5.05 1.0091
0.0305 0.4687 5.06 1.0744
0.2096 0.2087 5.07 0.7351
0.4029 -0.1123 5.08 0.2514
0.5605 -0.4234 5.09 -0.289
0.6927 -0.8022 5.1 -0.733
0.7297 -0.9516 5.11 -0.9325
0.8314 -1.103 5.12 -1.0636
0.8736 -0.9267 5.13 -0.804
0.924 -0.9232 5.14 -0.3194
1.0028 -0.6958 5.15 0.1969
0.9784 -0.2849 5.16 0.5835
1.0069 0.0414 5.17 0.8086
0.9293 0.3574 5.18 0.705
0.9733 0.6299 5.19 0.3571
0.9819 0.862 5.2 -0.1812
0.9848 1.0122 5.21 -0.6848
0.7839 1.0012 5.22 -1.2466
0.82 0.8455 5.23 -1.3077
0.7158 0.5356 5.24 -1.3528
0.6202 0.2748 5.25 -1.0325
0.5632 -0.0846 5.26 -0.4882
0.5122 -0.4031 5.27 -0.0122
0.5537 -0.7387 5.28 0.318
0.4606 -0.9241 5.29 0.4317
0.3985 -0.9762 5.3 0.1919
0.4126 -0.9448 5.31 -0.2292
0.3815 -0.8667 5.32 -0.8315
0.398 -0.5232 5.33 -1.2171
0.4351 -0.2338 5.34 -1.7882
0.4827 0.0988 5.35 -1.9894
0.4641 0.4197 5.36 -1.6333
0.527 0.7127 5.37 -1.3895
0.6349 0.7901 5.38 -0.8477
0.6788 1.0209 5.39 -0.3229
0.7203 0.8854 5.4 -0.083
0.7551 0.692 5.41 -0.0841
0.8535 0.4035 5.42 -0.3848
0.964 0.0992 5.43 -0.9104
1.0206 -0.2889 5.44 -1.466
0.9871 -0.5533 5.45 -1.7588
0.9891 -0.8825 5.46 -2.3337
1.1264 -1.0644 5.47 -2.1728
1.0982 -1.1659 5.48 -2.0502
1.0445 -1.1574 5.49 -1.6253
0.9222 -0.8728 5.5 -1.0126
0.9016 -0.629 5.51 -0.6454
0.9449 -0.4142 5.52 -0.4994
0.8673 -0.0453 5.53 -0.612
0.8553 0.248 5.54 -1.0167
0.7124 0.5206 5.55 -1.3299
0.6249 0.6954 5.56 -1.9968
0.6242 0.6503 5.57 -2.2286
0.4974 0.6102 5.58 -2.9186
0.4136 0.4485 5.59 -2.7925
0.2993 0.1028 5.6 -2.23
0.2171 -0.2281 5.61 -1.8968
0.1482 -0.6152 5.62 -1.3766
0.0659 -0.9616 5.63 -0.9911
0.0154 -1.2442 5.64 -0.7886
-0.0305 -1.3123 5.65 -1.0702
-0.0576 -1.4816 5.66 -1.3396
-0.072 -1.452 5.67 -1.8218
-0.0528 -1.3565 5.68 -2.6404
-0.0266 -0.922 5.69 -2.8021
0.0283 -0.6244 5.7 -3.1895
0.106 -0.3432 5.71 -2.8152
0.1878 -0.0341 5.72 -2.4311
0.32 0.1814 5.73 -1.902
0.4726 0.3506 5.74 -1.2449
0.6305 0.3474 5.75 -1.0216
0.7762 0.208 5.76 -0.9374
0.8627 -0.0113 5.77 -1.1449
1.1582 -0.3508 5.78 -1.7625
1.3206 -0.7515 5.79 -2.2527
1.5854 -1.1014 5.8 -2.6722
1.7472 -1.3568 5.81 -2.8507
1.906 -1.6508 5.82 -2.9966
2.1885 -1.8608 5.83 -2.571
2.233 -2.037 5.84 -2.0906
2.1555 -1.6885 5.85 -1.4921
2.3855 -1.5653 5.86 -1.1932
2.4704 -1.3477 5.87 -0.9084
2.8144 -1.0092 5.88 -0.8634
2.5452 -0.66 5.89 -1.0546
2.5911 -0.4073 5.9 -1.4538
2.8481 -0.1619 5.91 -2.2726
2.4338 -0.0662 5.92 -2.4921
2.595 -0.0757 5.93 -2.6836
2.4119 -0.1979 5.94 -2.7106
2.0826 -0.4227 5.95 -2.1055
2.0801 -0.7469 5.96 -1.8455
1.7105 -1.1291 5.97 -1.2308
1.5314 -1.5603 5.98 -0.7507
1.3985 -1.7313 5.99 -0.5206
1.2069 -1.9899 6.0 -0.6419
0.9615 -2.3304 6.01 -0.9884
0.61 -2.0604 6.02 -1.2619
0.3556 -2.1417 6.03 -1.9277
0.0991 -1.8528 6.04 -2.2605
-0.1537 -1.6469 6.05 -2.3787
-0.4338 -1.2532 6.06 -2.2136
-0.6696 -0.9807 6.07 -1.715
-0.8818 -0.6222 6.08 -1.0418
-0.971 -0.4345 6.09 -0.5187
-1.0815 -0.371 6.1 -0.1546
-1.2062 -0.4233 6.11 -0.0214
-1.4089 -0.5542 6.12 -0.1813
-1.4823 -0.7987 6.13 -0.5799
-1.5531 -1.2295 6.14 -0.9674
-1.3614 -1.6023 6.15 -1.4194
-1.368 -1.9834 6.16 -1.6255
-1.4123 -2.165 6.17 -1.657
-1.1232 -2.4459 6.18 -1.2967
-1.0772 -2.4844 6.19 -0.8559
-0.8307 -2.4319 6.2 -0.3218
-0.7244 -2.1738 6.21 0.1669
-0.4797 -2.232 6.22 0.4189
-0.2773 -1.7742 6.23 0.5201
-0.0649 -1.4027 6.24 0.2301
0.1578 -1.0581 6.25 -0.1742
0.3956 -0.7798 6.26 -0.64
0.6091 -0.5728 6.27 -0.9826
0.7797 -0.4892 6.28 -1.1723
1.0352 -0.6119 6.29 -1.1862
1.272 -0.7128 6.3 -0.7539
1.311 -0.8792 6.31 -0.2317
1.5188 -1.2988 6.32 0.3224
1.5605 -1.6892 6.33 0.7189
1.6795 -2.1094 6.34 1.0747
1.735 -2.2873 6.35 0.9509
1.8525 -2.2268 6.36 0.6539
1.96 -2.5968 6.37 0.1343
1.6953 -2.5065 6.38 -0.3142
1.6755 -2.1271 6.39 -0.6684
1.5041 -1.8877 6.4 -0.7709
1.5457 -1.7623 6.41 -0.6594
1.4333 -1.4584 6.42 -0.2317
1.1382 -1.0256 6.43 0.3196
0.862 -0.6622 6.44 0.7823
0.789 -0.5414 6.45 1.1343
0.5112 -0.434 6.46 1.3772
0.2863 -0.5407 6.47 1.0977
0.0672 -0.6143 6.48 0.7912
-0.1652 -0.9249 6.49 0.2724
-0.3957 -1.1338 6.5 -0.1924
-0.6573 -1.7063 6.51 -0.4479
-0.8249 -1.8287 6.52 -0.4844
-1.0787 -2.1589 6.53 -0.3211
-1.0959 -2.3011 6.54 0.1447
-1.4348 -2.3269 6.55 0.678
-1.5883 -2.4458 6.56 1.182
-1.5258 -2.0854 6.57 1.5994
-1.6073 -1.7251 6.58 1.4108
-1.6452 -1.2623 6.59 1.212
-1.9032 -0.9789 6.6 0.8056
-1.9296 -0.7298 6.61 0.1933
-1.6617 -0.4171 6.62 -0.2599
-1.7242 -0.2022 6.63 -0.5061
-1.8315 -0.1468 6.64 -0.4682
-1.7461 -0.1823 6.65 -0.1723
-1.5701 -0.3528 6.66 0.3292
-1.5551 -0.5874 6.67 0.7856
-1.4726 -0.9519 6.68 1.3192
-1.3355 -1.3333 6.69 1.4844
-1.2243 -1.4311 6.7 1.3298
-1.0965 -1.8509 6.71 0.8929
-0.875 -1.829 6.72 0.4358
-0.8004 -1.9088 6.73 -0.0939
-0.8137 -1.774 6.74 -0.4548
-0.6636 -1.675 6.75 -0.6483
-0.6167 -1.2796 6.76 -0.5809
-0.5661 -0.9271 6.77 -0.2307
-0.5015 -0.4799 6.78 0.2503
-0.5299 -0.1263 6.79 0.8125
-0.5169 0.1348 6.8 1.0411
-0.4542 0.3145 6.81 1.1847
-0.4784 0.3473 6.82 0.9042
-0.4792 0.2791 6.83 0.5167
-0.5606 0.118 6.84 -0.0114
-0.6469 -0.1396 6.85 -0.5619
-0.682 -0.425 6.86 -0.8252
-0.6986 -0.7218 6.87 -0.9017
-0.6988 -1.0851 6.88 -0.844
-0.7239 -1.3407 6.89 -0.4335
-0.7998 -1.4616 6.9 0.0808
-0.9094 -1.4125 6.91 0.4788
-0.8831 -1.2084 6.92 0.8355
